,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed,distance_to_center_of_lane_completed
0,5|67,32m,865.0,0,0,0,0,0,0.6103653907775879,,4,0.4934489130973816
1,10|64,32m,607.75,0,0,0,0,0,0.4421505928039551,,4,0.4934489130973816
2,66|67,32m,754.75,0,0,0,0,0,0.7068018913269043,,4,0.4934489130973816
3,66|46,32m,600.5,0,0,0,0,0,0.532554566860199,,4,0.4934489130973816
4,21|48,32m,1047.5,0,0,0,0,0,0.5041496157646179,,4,0.4934489130973816
5,21|64,32m,898.5,0,0,0,0,0,0.7539119124412537,,4,0.4934489130973816
6,4|64,32m,701.0,0,0,0,0,0,0.6258220076560974,,4,0.4934489130973816
7,10|9,32m,815.5,0,0,0,0,0,0.7820767164230347,,4,0.4934489130973816
8,35|9,32m,1301.0,0,0,0,0,0,0.39852023124694824,,4,0.4934489130973816
9,35|48,32m,1856.0,0,0,0,0,0,0.5073803663253784,,4,0.4934489130973816
10,21|9,32m,493.5,0,0,0,0,0,0.5433789491653442,,4,0.4934489130973816
11,29|36,32m,299.75,0,0,0,0,0,0.6478778123855591,,4,0.4934489130973816
12,29|55,32m,486.5,0,0,0,0,0,0.5204479098320007,,4,0.4934489130973816
13,117|120,double,258.0,0,0,0,3,0,0.42144298553466797,,1,0.4934489130973816
14,40|42,double,195.5,0,0,0,0,0,0.5454171895980835,,4,0.4934489130973816
15,40|10,double,363.5,0,0,0,0,0,0.43251556158065796,,4,0.4934489130973816
16,34|112,double,308.5,0,0,0,0,0,0.8621358275413513,,4,0.4934489130973816
17,11|10,double,227.25,0,0,0,0,0,0.5846090912818909,,4,0.4934489130973816
18,11|3,double,300.5,0,0,0,0,0,0.28666967153549194,,4,0.4934489130973816
19,5|41,double,348.25,0,0,0,0,0,0.41853249073028564,,4,0.4934489130973816
20,97|95,double,376.75,0,0,0,0,0,0.48330214619636536,,4,0.4934489130973816
21,119|37,double,454.75,0,0,0,0,0,0.6012403964996338,,4,0.4934489130973816
22,119|103,double,474.0,0,0,0,0,4,0.40149617195129395,,0,0.4934489130973816
23,22|105,double,530.75,0,0,0,0,0,0.5011758208274841,,4,0.4934489130973816
24,22|26,double,716.25,0,0,0,0,0,0.6537270545959473,,4,0.4934489130973816
25,22|76,double,1006.5,0,0,0,0,0,0.7611430883407593,,4,0.4934489130973816
26,16|103,double,129.5,0,0,0,0,4,0.6313979625701904,,0,0.4934489130973816
27,16|111,double,445.75,0,0,0,0,0,0.483811616897583,,4,0.4934489130973816
28,96|26,double,431.75,0,0,0,0,0,0.44597142934799194,,4,0.4934489130973816
29,96|76,double,717.25,0,0,0,0,0,0.6402039527893066,,4,0.4934489130973816
30,58|111,double,323.75,0,0,0,0,0,0.6211953163146973,,4,0.4934489130973816
31,31|120,double,428.75,0,0,0,1,0,0.7064211964607239,,3,0.4934489130973816
32,31|112,double,402.25,0,0,0,0,3,0.9732391834259033,,1,0.4934489130973816
33,117|112,double,318.25,0,0,0,0,2,0.723021388053894,,2,0.4934489130973816
34,117|41,double,340.25,0,0,0,0,4,0.9602149128913879,,0,0.4934489130973816
35,34|41,double,239.5,0,0,0,0,4,0.7676830291748047,,0,0.4934489130973816
36,34|43,double,249.75,0,0,0,0,4,0.8323984742164612,,0,0.4934489130973816
37,5|43,double,363.5,0,0,0,0,0,0.805571436882019,,4,0.4934489130973816
38,5|120,double,460.75,0,0,0,2,0,0.9818712472915649,,2,0.4934489130973816
39,73|74,double,125.0,0,0,0,0,4,0.6377545595169067,,0,0.4934489130973816
40,73|37,double,120.5,0,0,0,0,4,0.6427704691886902,,0,0.4934489130973816
41,15|94,double,745.0,0,0,0,0,0,0.4791366755962372,,4,0.4934489130973816
42,15|105,double,803.5,0,0,0,0,0,0.6791576743125916,,4,0.4934489130973816
43,15|26,double,988.5,0,0,0,0,0,0.7983203530311584,,4,0.4934489130973816
44,55|94,double,924.5,0,0,0,0,0,0.6226226091384888,,4,0.4934489130973816
45,55|105,double,965.75,0,0,0,0,0,0.8104652762413025,,4,0.4934489130973816
46,96|94,double,1046.75,0,0,0,0,0,0.6952812671661377,,4,0.4934489130973816
47,58|74,double,606.75,0,0,0,0,0,0.4705648124217987,,4,0.4934489130973816
48,55|76,double,595.5,0,0,0,0,0,0.5470256805419922,,4,0.4934489130973816
49,31|43,double,305.5,0,0,0,0,0,0.4419627785682678,,4,0.4934489130973816
50,61|95,double,309.25,0,0,0,0,0,0.7413176894187927,,4,0.4934489130973816
51,61|42,double,321.5,0,0,0,0,0,0.4934489130973816,,4,0.4934489130973816
