route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|67,872,False,False,False,False,False,0.6211172681127002,True
10|64,610,False,False,False,False,False,0.4486021477827875,True
66|67,756,False,False,False,False,False,0.7152394097544348,True
66|46,597,False,False,False,False,False,0.5267859117129257,True
21|48,1053,False,False,False,False,False,0.512211889801918,True
21|64,904,False,False,False,False,False,0.7526062995592084,True
4|64,701,False,False,False,False,False,0.6309063094097396,True
10|9,810,False,False,False,False,False,0.7782993858159656,True
35|9,1299,False,False,False,False,False,0.4143168254548798,True
35|48,1851,False,False,False,False,False,0.5107610124203744,True
21|9,496,False,False,False,False,False,0.5622903694425679,True
29|36,297,False,False,False,False,False,0.6067999243849114,True
29|55,490,False,False,False,False,False,0.5224862478217968,True
5|67,862,False,False,False,False,False,0.6068186067285424,True
10|64,605,False,False,False,False,False,0.41377336499782336,True
66|67,754,False,False,False,False,False,0.705228406734926,True
66|46,604,False,False,False,False,False,0.5230966167442472,True
21|48,1045,False,False,False,False,False,0.5072348675543072,True
21|64,900,False,False,False,False,False,0.7366853030370911,True
4|64,702,False,False,False,False,False,0.6263917329569848,True
10|9,815,False,False,False,False,False,0.793829337148532,True
35|9,1304,False,False,False,False,False,0.40140090831401504,True
35|48,1858,False,False,False,False,False,0.5027716407963265,True
21|9,499,False,False,False,False,False,0.549577017823141,True
29|36,301,False,False,False,False,False,0.6690736909287209,True
29|55,485,False,False,False,False,False,0.5227792761300586,True
5|67,863,False,False,False,False,False,0.6095861891412004,True
10|64,607,False,False,False,False,False,0.4505036566524377,True
66|67,756,False,False,False,False,False,0.7151069158092108,True
66|46,600,False,False,False,False,False,0.5376203772847322,True
21|48,1049,False,False,False,False,False,0.4980030635404387,True
21|64,890,False,False,False,False,False,0.7535089116215694,True
4|64,701,False,False,False,False,False,0.614584936056803,True
10|9,824,False,False,False,False,False,0.7900191969834955,True
35|9,1297,False,False,False,False,False,0.3768412763664126,True
35|48,1853,False,False,False,False,False,0.5120903485214086,True
21|9,493,False,False,False,False,False,0.5393375642912511,True
29|36,300,False,False,False,False,False,0.6412859963280333,True
29|55,485,False,False,False,False,False,0.5208107772096384,True
5|67,863,False,False,False,False,False,0.6039393934059422,True
10|64,609,False,False,False,False,False,0.4557232792261794,True
66|67,753,False,False,False,False,False,0.6916326226373829,True
66|46,601,False,False,False,False,False,0.5427152601021156,True
21|48,1043,False,False,False,False,False,0.4991486633818123,True
21|64,900,False,False,False,False,False,0.772847193431477,True
4|64,700,False,False,False,False,False,0.6314050996901038,True
10|9,813,False,False,False,False,False,0.7661588241379438,True
35|9,1304,False,False,False,False,False,0.4015219398174562,True
35|48,1862,False,False,False,False,False,0.5038986380241509,True
21|9,486,False,False,False,False,False,0.522310643365407,True
29|36,301,False,False,False,False,False,0.6743516640128265,True
29|55,486,False,False,False,False,False,0.5157152899277718,True
