,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,5|67,32m,881.8,0,0,0,0,0,0.5659455776214599,,5
1,10|64,32m,623.8,0,0,0,0,0,0.4496117115020752,,5
2,66|67,32m,769.6,0,0,0,0,0,0.6466381549835205,,5
3,66|46,32m,614.4,0,0,0,0,0,0.5221424102783203,,5
4,21|48,32m,1076.4,0,0,0,0,0,0.5153162956237793,,5
5,21|64,32m,912.2,0,0,0,0,0,0.7294295310974122,,5
6,4|64,32m,716.4,0,0,0,0,0,0.6069892406463623,,5
7,10|9,32m,827.0,0,0,0,0,0,0.786159896850586,,5
8,35|9,32m,1338.4,0,0,0,0,0,0.41286506652832033,,5
9,35|48,32m,793.4,0,0,0,5,0,0.17678637504577638,,0
10,21|9,32m,508.6,0,0,0,0,0,0.5664250373840332,,5
11,29|36,32m,306.4,0,0,0,0,0,0.6264019966125488,,5
12,29|55,32m,496.8,0,0,0,0,0,0.5423422813415527,,5
13,117|120,double,298.2,0,0,0,2,0,0.4228670120239258,,3
14,40|42,double,197.6,0,0,0,0,0,0.5355829715728759,,5
15,40|10,double,370.2,0,0,0,0,0,0.43004283905029295,,5
16,34|112,double,316.0,0,0,0,0,0,0.9224324226379395,,5
17,11|10,double,230.4,0,0,0,0,0,0.6136913776397706,,5
18,11|3,double,310.6,0,0,0,0,0,0.41333622932434083,,5
19,5|41,double,296.0,0,0,0,1,0,0.44123687744140627,,4
20,97|95,double,379.8,0,0,0,0,0,0.483887767791748,,5
21,119|37,double,460.8,0,0,0,0,0,0.584052324295044,,5
22,119|103,double,487.2,0,0,0,0,4,0.4344435214996338,,1
23,22|105,double,449.0,0,0,0,1,0,0.46628713607788086,,4
24,22|26,double,723.0,0,0,0,0,0,0.6422437191009521,,5
25,22|76,double,1014.6,0,0,0,0,0,0.7273635387420654,,5
26,16|103,double,130.0,0,0,0,0,5,0.5824865341186524,,0
27,16|111,double,417.0,0,0,0,1,0,0.4486820697784424,,4
28,96|26,double,438.4,0,0,0,0,0,0.45700716972351074,,5
29,96|76,double,727.0,0,0,0,0,0,0.6234893321990966,,5
30,58|111,double,327.0,0,0,0,0,0,0.580244493484497,,5
31,31|120,double,395.8,0,0,0,3,0,0.7486007690429688,,2
32,31|112,double,449.6,0,0,0,1,0,0.9420750617980957,,4
33,117|112,double,421.0,0,0,0,0,0,0.9935404777526855,,5
34,117|41,double,348.2,0,0,0,0,5,0.9559654235839844,,0
35,34|41,double,240.8,0,0,0,0,5,0.7278298377990723,,0
36,34|43,double,253.6,0,0,0,0,5,0.7910195350646972,,0
37,5|43,double,307.0,0,0,0,1,0,0.7706166744232178,,4
38,5|120,double,455.6,0,0,0,3,0,1.0019638061523437,,2
39,73|74,double,126.4,0,0,0,0,5,0.6445307254791259,,0
40,73|37,double,121.4,0,0,0,0,5,0.670338487625122,,0
41,15|94,double,759.2,0,0,0,0,0,0.47949819564819335,,5
42,15|105,double,802.6,0,0,0,1,0,0.6711468696594238,,4
43,15|26,double,998.2,0,0,0,0,0,0.7673807144165039,,5
44,55|94,double,938.2,0,0,0,0,0,0.6116756439208985,,5
45,55|105,double,977.0,0,0,0,0,0,0.7844367027282715,,5
46,96|94,double,1059.8,0,0,0,0,0,0.6691289901733398,,5
47,58|74,double,611.4,0,0,0,0,0,0.4498162746429443,,5
48,55|76,double,605.6,0,0,0,0,0,0.5457475662231446,,5
49,31|43,double,313.2,0,0,0,0,0,0.48639798164367676,,5
50,61|95,double,312.8,0,0,0,0,0,0.7144043922424317,,5
51,61|42,double,326.6,0,0,0,0,0,0.49521989822387696,,5
