169760sd,,,,,,,,,,,,,,,,,98bf3ef,,,,,,,,,,,,
,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed,,truck difference,trailer difference,,,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
1,5|67,32m,878.4,0,0,0,0,0,0.605796051025391,0.580410957336426,,5,,0.254792046546936,0.23832950592041,,1,5|67,32m,626.6,0,0,0,0,0,0.351004004478455,0.342081451416016,,5
2,40|42,16m,198.4,0,0,0,0,0,0.529066514968872,0.208633422851562,,5,,0.058951139450073,-0.006066489219666,,2,40|42,16m,211.6,0,0,0,0,0,0.470115375518799,0.214699912071228,,5
3,40|10,16m,372.2,0,0,0,0,0,0.427607250213623,0.351171326637268,,5,,0.067524433135986,0.030595874786377,,3,10|64,32m,424,0,0,0,0,0,0.360082817077637,0.320575451850891,,5
4,10|64,32m,621,0,0,0,0,0,0.441217088699341,0.418404388427734,,5,,0.074246168136597,0.096776676177978,,4,40|10,16m,310.6,0,0,0,0,0,0.366970920562744,0.321627712249756,,5
5,34|112,16m,315,0,0,0,0,0,0.806097888946533,0.673075294494629,,5,,0.245681381225586,0.133024597167969,,5,34|112,16m,234.6,0,0,0,0,0,0.560416507720947,0.54005069732666,,5
6,11|10,16m,233,0,0,0,0,0,0.631390619277954,0.268697166442871,,5,,0.207757186889648,0.06617169380188,,6,11|10,16m,234,0,0,0,0,0,0.423633432388306,0.202525472640991,,5
7,11|3,16m,310.6,0,0,0,0,0,0.311141490936279,0.27661542892456,,5,,-0.064461517333985,0.073575258255005,,7,66|67,32m,586.8,0,0,0,0,0,0.375603008270264,0.203040170669556,,5
8,66|67,32m,769,0,0,0,0,0,0.696417856216431,0.527872848510742,,5,,0.425521850585938,0.278057193756103,,8,11|3,16m,261.6,0,0,0,0,0,0.270896005630493,0.249815654754639,,5
9,5|41,16m,354.4,0,0,0,0,0,0.418390417098999,0.556198596954346,,5,,0.066109108924866,0.035742425918579,,9,5|41,16m,220.6,0,0,0,0,2,0.352281308174133,0.520456171035767,,3
10,66|46,32m,618,0,0,0,0,0,0.53598165512085,0.399145364761352,,5,,0.218612813949585,0.103118276596069,,10,66|46,32m,484,0,0,0,0,0,0.317368841171265,0.296027088165283,,5
11,97|95,16m,384.2,0,0,0,0,0,0.489048624038696,0.483103227615356,,5,,0.131650352478027,0.142511296272277,,11,97|95,16m,307.2,0,0,0,0,0,0.357398271560669,0.340591931343079,,5
12,119|37,50m,460.4,0,0,0,0,0,0.587898302078247,0.272794342041016,,5,,0.134575510025024,0.129132151603699,,12,119|37,50m,392.6,0,0,0,0,0,0.453322792053223,0.143662190437317,,5
