PPO169760e0 TRAINING,,,,,,,,,,,,,,SAC 2f20aba7,,,,,,,,
,route,roundabout,timesteps,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed,,,Tractor distance PPO TO SAC,TRAiler unit distance PPO to SAC,,,route,roundabout,timesteps,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
11,97|95,16m,384.2,0,0,0.489048624038696,0.483103227615356,5,,,-1.27717909812927,-1.11197009086609,,13,97|95,16m,360.6,0,0,1.76622772216797,1.59507331848145,5
46,96|94,50m,1052.8,0,0,0.679237842559814,0.418325614929199,5,,,-0.425508117675786,-0.509750175476074,,46,96|94,50m,996.6,0,0,1.1047459602356,0.928075790405273,5
25,96|76,50m,727.6,0,0,0.651488351821899,0.39632682800293,5,,,-0.643719244003301,-0.6143572807312,,29,96|76,50m,695,0,0,1.2952075958252,1.01068410873413,5
23,96|26,50m,439.4,0,0,0.45171594619751,0.35987606048584,5,,,-0.59066905975342,-0.69097633361816,,27,96|26,50m,412.6,0,0,1.04238500595093,1.050852394104,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
8,66|67,32m,769,0,0,0.696417856216431,0.527872848510742,5,,,-2.00536017417908,-1.89678421020508,,2,66|67,32m,764.6,0,0,2.70177803039551,2.42465705871582,5
10,66|46,32m,618,0,0,0.53598165512085,0.399145364761352,5,,,-1.53197832107544,-1.55044054985047,,5,66|46,32m,585,0,0,2.06795997619629,1.94958591461182,5
50,61|95,16m,313.8,0,0,0.730648231506348,0.375294733047485,5,,,-1.50651302337646,-1.3441192150116,,50,61|95,16m,316,0,0,2.23716125488281,1.71941394805908,5
51,61|42,16m,268.8,2,0,0.521748638153076,0.47883734703064,3,,,-1.2079716682434,-1.34888615608215,,51,61|42,16m,302.8,0,0,1.72972030639648,1.82772350311279,5
47,58|74,50m,609.4,0,0,0.46582145690918,0.519928741455078,5,,,-1.43963832855225,-1.46925029754638,,47,58|74,50m,588.2,0,0,1.90545978546143,1.98917903900146,5
26,58|111,50m,331,0,0,0.610989332199097,0.400386953353882,5,,,-1.57356839179992,-1.42209458351135,,30,58|111,50m,324,0,0,2.18455772399902,1.82248153686523,5
44,55|94,50m,930.6,0,0,0.625629901885986,0.430129957199097,5,,,-0.571162223815914,-0.664876985549923,,44,55|94,50m,880.2,0,0,1.1967921257019,1.09500694274902,5
48,55|76,50m,599.2,0,0,0.544988203048706,0.393236756324768,5,,,-0.880286645889284,-0.848233771324162,,48,55|76,50m,573.2,0,0,1.42527484893799,1.24147052764893,5
45,55|105,50m,976.2,0,0,0.833542442321777,0.48737359046936,5,,,-0.210638236999513,-0.230834388732911,,45,55|105,50m,925,0,0,1.04418067932129,0.718207979202271,5
1,5|67,32m,878.4,0,0,0.605796051025391,0.580410957336426,5,,,-2.13631763458252,-2.0879919052124,,0,5|67,32m,841.6,0,0,2.74211368560791,2.66840286254883,5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2,40|42,16m,198.4,0,0,0.529066514968872,0.208633422851562,5,,,-1.14819540977478,-0.72332353591919,,4,40|42,16m,207,0,0,1.67726192474365,0.931956958770752,5
3,40|10,16m,372.2,0,0,0.427607250213623,0.351171326637268,5,,,-1.31014432907105,-1.22877461910248,,6,40|10,16m,353,0,0,1.73775157928467,1.57994594573975,5
