route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,346,False,False,False,False,False,0.3795212756926473,0.4018981363912604,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,872,False,False,False,False,False,0.6049956422642979,0.5759722987404414,True
40|42,204,False,False,False,False,False,0.5345027369976361,0.19773550606978327,True
40|10,383,False,False,False,False,False,0.4193867316472854,0.3487114533017887,True
10|64,622,False,False,False,False,False,0.4279765032677035,0.40375746077637725,True
34|112,319,False,False,False,False,False,0.7727949583303256,0.6535567287883656,True
11|10,238,False,False,False,False,False,0.6537640276458967,0.3051156655837252,True
11|3,317,False,False,False,False,False,0.30619540940176704,0.28173270699366454,True
66|67,772,False,False,False,False,False,0.67484822979306,0.49770904316795955,True
5|41,361,False,False,False,False,False,0.42264303572637313,0.5480278135276907,True
66|46,623,False,False,False,False,False,0.5332336636997467,0.38305447295911216,True
97|95,392,False,False,False,False,False,0.4744475005233817,0.46639375227561347,True
119|37,468,False,False,False,False,False,0.582884829402048,0.2684937936103836,True
119|103,484,False,False,False,False,True,0.4068940983342358,0.3521941096349179,False
21|48,1070,False,False,False,False,False,0.5204820386762208,0.36203070782590424,True
22|105,546,False,False,False,False,False,0.5313904193286633,0.5616975082082158,True
21|64,915,False,False,False,False,False,0.7361791171369362,0.3981553958201199,True
22|26,733,False,False,False,False,False,0.6759730435485667,0.431291360984319,True
4|64,715,False,False,False,False,False,0.654540477082347,0.3816174990079347,True
22|76,1024,False,False,False,False,False,0.7815611171536384,0.47465686566529314,True
10|9,833,False,False,False,False,False,0.7843953640045777,0.4050754373484748,True
16|103,134,False,False,False,False,True,0.594287157282071,0.2463573629350093,False
16|111,470,False,False,False,False,False,0.44088128873754523,0.45623082196558806,True
96|26,449,False,False,False,False,False,0.4683983709498284,0.3838329121985531,True
35|9,1325,False,False,False,False,False,0.412617671407465,0.2933844616616354,True
96|76,739,False,False,False,False,False,0.6550226162983116,0.402947523331405,True
58|111,337,False,False,False,False,False,0.6488151270846488,0.4340972665449629,True
31|120,467,False,False,False,False,False,0.6752298454844615,0.38566203148089195,True
35|48,1872,False,False,False,False,False,0.5020314648384758,0.33102341085722814,True
31|112,555,False,False,False,False,False,1.0550821200909895,0.46144031426947757,True
21|9,508,False,False,False,False,False,0.5597463259139117,0.5037233475861798,True
117|112,430,False,False,False,False,False,0.9304116007952843,0.6050800776077714,True
29|36,312,False,False,False,False,False,0.6790664495467033,0.21199219933813587,True
117|41,362,False,False,False,False,True,0.9988954578547923,0.3018299527530005,False
34|41,242,False,False,False,False,True,0.6952546040856998,0.3685691053343275,False
29|55,504,False,False,False,False,False,0.5656950700746727,0.3230117667582711,True
34|43,298,False,False,False,False,True,1.0040823006417503,0.39398968726913736,False
5|43,381,False,False,False,False,False,0.8726413949975255,0.523318871624185,True
5|67,884,False,False,False,False,False,0.606976296306742,0.5690997172692628,True
5|120,531,False,False,False,False,False,0.8906766117897577,0.4680220670760442,True
73|74,127,False,False,False,False,True,0.6578201713006251,0.3410443195631684,False
73|37,127,False,False,False,False,True,0.6128543442425629,0.3019588386490391,False
10|64,624,False,False,False,False,False,0.44841177141889443,0.4207259343655609,True
