,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,5|67,32m,841.0,0,0,0,0,0,0.13589704036712646,0.2927065134048462,,5
1,10|64,32m,608.6,0,0,0,0,0,0.4756021499633789,0.4959419250488281,,5
2,66|67,32m,726.4,0,0,0,0,0,0.10028380155563354,0.18886080980300904,,5
3,66|46,32m,585.0,0,0,0,0,0,0.13393685817718506,0.3297487735748291,,5
4,21|48,32m,740.6,0,0,0,0,2,0.4835862636566162,0.36876630783081055,,3
5,21|64,32m,875.2,0,0,0,0,0,0.6115553855895997,0.43697633743286135,,5
6,4|64,32m,690.2,0,0,0,0,0,0.5277768611907959,0.41779117584228515,,5
7,10|9,32m,794.2,0,0,0,0,0,0.6470300674438476,0.4467931747436523,,5
8,117|120,double,292.4,0,0,0,2,0,0.3643492698669434,0.41738142967224123,,3
9,40|42,double,129.0,0,0,0,0,5,0.1296340584754944,0.31110870838165283,,0
10,40|10,double,358.6,0,0,0,0,0,0.15313565731048584,0.3528076410293579,,5
11,35|9,32m,1288.8,0,0,0,0,0,0.3803842067718506,0.32204294204711914,,5
12,34|112,double,310.0,0,0,0,0,0,0.5136489868164062,0.5429464817047119,,5
13,11|10,double,103.8,0,0,0,0,5,0.1458323836326599,0.3073515176773071,,0
14,11|3,double,305.4,0,0,0,0,0,0.4521125316619873,0.4738000869750977,,5
15,35|48,32m,773.2,0,0,0,5,0,0.22109217643737794,0.225819730758667,,0
16,5|41,double,350.2,0,0,0,0,0,0.4694201946258545,0.6272160530090332,,5
17,97|95,double,296.2,0,0,0,2,0,0.14891539812088012,0.33943934440612794,,3
18,21|9,32m,492.6,0,0,0,0,0,0.5449386596679687,0.5342190265655518,,5
19,29|36,32m,291.8,0,0,0,0,0,0.09893771409988403,0.36406846046447755,,5
20,119|37,double,359.2,0,0,0,0,5,0.08051005601882935,0.26560990810394286,,0
21,29|55,32m,475.2,0,0,0,0,0,0.14504555463790894,0.30749735832214353,,5
22,119|103,double,433.6,0,0,0,0,5,0.14786167144775392,0.3424219131469727,,0
23,22|105,double,522.4,0,0,0,0,0,0.5961415767669678,0.625498104095459,,5
24,22|26,double,702.6,0,0,0,0,0,0.5658684730529785,0.3721750259399414,,5
25,22|76,double,976.4,0,0,0,0,0,0.6497444152832031,0.3724604845046997,,5
26,16|103,double,111.0,0,0,0,2,3,0.11715338230133057,0.15642979145050048,,0
27,16|111,double,261.4,0,0,0,5,0,0.11955783367156983,0.2515972852706909,,0
28,96|26,double,428.6,0,0,0,0,0,0.485418701171875,0.4165964126586914,,5
29,96|76,double,708.0,0,0,0,0,0,0.6177245140075683,0.39461729526519773,,5
30,58|111,double,311.8,0,0,0,0,0,0.07949349284172058,0.14312009811401366,,5
31,31|120,double,221.6,0,0,0,0,5,0.47318711280822756,0.6159771919250489,,0
32,31|112,double,215.2,0,0,0,0,5,0.44231486320495605,0.6072940349578857,,0
33,117|112,double,197.4,0,0,0,0,5,0.30778207778930666,0.44129509925842286,,0
34,117|41,double,199.2,0,0,0,0,5,0.34759836196899413,0.43004612922668456,,0
35,34|41,double,186.6,0,0,0,0,5,0.4691776752471924,0.4298370838165283,,0
36,34|43,double,190.4,0,0,0,0,5,0.5252182960510254,0.46543021202087403,,0
37,5|43,double,187.0,0,0,0,0,5,0.40208611488342283,0.6653326034545899,,0
38,5|120,double,186.2,0,0,0,0,5,0.4010756969451904,0.6951929092407226,,0
39,73|74,double,101.2,0,0,0,0,5,0.38422107696533203,0.43318586349487304,,0
40,73|37,double,104.8,0,0,0,0,5,0.3606522560119629,0.43103885650634766,,0
41,15|94,double,735.0,0,0,0,0,0,0.5101252555847168,0.6360185623168946,,5
42,15|105,double,783.0,0,0,0,0,0,0.6176918029785157,0.5373205184936524,,5
43,15|26,double,958.4,0,0,0,0,0,0.6256688117980957,0.38081095218658445,,5
44,55|94,double,901.6,0,0,0,0,0,0.5977931499481202,0.43991503715515134,,5
45,55|105,double,926.6,0,0,0,1,0,0.6899929046630859,0.3538384437561035,,4
46,96|94,double,1018.4,0,0,0,0,0,0.5950998306274414,0.3865673065185547,,5
47,58|74,double,445.4,0,0,0,5,0,0.13899463415145874,0.4428706645965576,,0
48,55|76,double,586.4,0,0,0,0,0,0.5873245239257813,0.4619165897369385,,5
49,31|43,double,296.6,0,0,0,1,0,0.503835916519165,0.5929290294647217,,4
50,61|95,double,297.8,0,0,0,0,0,0.1422858715057373,0.3206886053085327,,5
51,61|42,double,313.6,0,0,0,0,0,0.22359147071838378,0.5169711589813233,,5
