route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,834,False,False,False,False,False,0.13750153527524459,0.29044389867142056,True
10|64,601,False,False,False,False,False,0.5020772888874179,0.5099121999483157,True
66|67,717,False,False,False,False,False,0.10314233740686907,0.1837488163559408,True
66|46,576,False,False,False,False,False,0.11936319352292125,0.31634798945142745,True
21|48,291,False,False,False,False,True,0.5688702112698858,0.41915616629117713,False
21|64,858,False,False,False,False,False,0.6108416331218944,0.4302217025350688,True
4|64,682,False,False,False,False,False,0.5581084107309071,0.411353380623973,True
10|9,787,False,False,False,False,False,0.6772258861255267,0.42214414207685264,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,230,False,False,False,True,False,0.3744131492233475,0.3546354178955021,False
40|42,130,False,False,False,False,True,0.13265681422208314,0.31383125414960683,False
40|10,357,False,False,False,False,False,0.11897754859149504,0.3684634452523818,True
35|9,1274,False,False,False,False,False,0.38599543039265966,0.3191363209299996,True
34|112,306,False,False,False,False,False,0.4933776754195477,0.5295256873239758,True
11|10,98,False,False,False,False,True,0.1491891279899477,0.31142142951608487,False
11|3,308,False,False,False,False,False,0.4551122769919287,0.4976206255784537,True
35|48,769,False,False,False,True,False,0.20742169530083707,0.20956061203810755,False
5|41,355,False,False,False,False,False,0.4813505116822563,0.6313225982857609,True
97|95,182,False,False,False,True,False,0.1792046124857455,0.3263972991527547,False
21|9,496,False,False,False,False,False,0.5588745837063263,0.5661202222029664,True
29|36,295,False,False,False,False,False,0.09939627706655157,0.36745825031526996,True
119|37,367,False,False,False,False,True,0.07390838781808415,0.25200749539712797,False
29|55,479,False,False,False,False,False,0.16172738048453428,0.2992765553126734,True
119|103,439,False,False,False,False,True,0.1291058706786761,0.34474973182676627,False
22|105,528,False,False,False,False,False,0.645421866078219,0.671532383031539,True
5|67,846,False,False,False,False,False,0.14829199301450455,0.28873462236217673,True
22|26,710,False,False,False,False,False,0.5878966603113842,0.38685046406681456,True
10|64,611,False,False,False,False,False,0.475964664124486,0.4919405471821443,True
66|67,732,False,False,False,False,False,0.1007493766030902,0.19421928359748325,True
22|76,982,False,False,False,False,False,0.6559305383409653,0.37420725410203404,True
16|103,118,False,False,False,False,True,0.1533846410443811,0.1740524820171771,False
16|111,272,False,False,False,True,False,0.11873244889384016,0.23368620949886518,False
66|46,593,False,False,False,False,False,0.14668215144078256,0.3389960952827597,True
96|26,438,False,False,False,False,False,0.46614796603421854,0.41105987613791856,True
21|48,1044,False,False,False,False,False,0.4348909711573716,0.31640527664399853,True
96|76,717,False,False,False,False,False,0.5901944599215827,0.37595449569667877,True
58|111,318,False,False,False,False,False,0.083667924134075,0.15206122090048346,True
31|120,251,False,False,False,False,True,0.6147791873578111,0.575385488432757,False
21|64,881,False,False,False,False,False,0.5986686040722078,0.4222686803411739,True
31|112,216,False,False,False,False,True,0.46051825585882855,0.6568815714514649,False
117|112,199,False,False,False,False,True,0.24747060237600704,0.43038974416458275,False
117|41,209,False,False,False,False,True,0.3642249083459857,0.40346450395149264,False
4|64,696,False,False,False,False,False,0.5097749494556342,0.40757733411315267,True
34|41,187,False,False,False,False,True,0.46386374517215123,0.44759494599580113,False
34|43,187,False,False,False,False,True,0.430993370518678,0.48890827557279926,False
5|43,190,False,False,False,False,True,0.36450240613190626,0.6647396077035591,False
