,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,5|67,32m,835.8,0,0,0,0,0,1.6629978179931642,1.6135770797729492,,5
1,10|64,32m,547.6,0,0,0,1,0,0.3612526416778564,0.41509833335876467,,4
2,117|120,double,223.6,0,0,0,5,0,0.25341148376464845,0.3871859312057495,,0
3,66|67,32m,740.8,0,0,0,0,0,1.8487548828125,1.5906482696533204,,5
4,40|42,double,194.2,0,0,0,0,0,0.7273324012756348,0.1640048384666443,,5
5,66|46,32m,522.4,0,0,0,1,0,1.2686007499694825,1.093895435333252,,4
6,40|10,double,301.8,0,0,0,2,0,1.1276716232299804,0.9812732696533203,,3
7,21|48,32m,296.2,0,0,0,0,5,0.383467698097229,0.30040531158447265,,0
8,34|112,double,306.6,0,0,0,0,0,1.0603739738464355,0.850059986114502,,5
9,11|10,double,228.6,0,0,0,0,0,1.0621862411499023,0.49081172943115237,,5
10,21|64,32m,850.2,0,0,0,0,0,0.5153044700622559,0.4506507396697998,,5
11,11|3,double,306.6,0,0,0,0,0,0.8772377967834473,0.712305736541748,,5
12,5|41,double,121.6,0,0,0,5,0,0.6112027168273926,0.6407564163208008,,0
13,97|95,double,295.8,0,0,0,2,0,1.1701851844787599,1.0299061775207519,,3
14,4|64,32m,548.0,0,0,0,1,1,0.3586034059524536,0.41487321853637693,,3
15,119|37,double,448.6,0,0,0,0,0,0.7877415657043457,0.4307061195373535,,5
16,10|9,32m,705.2,0,0,0,0,1,0.3920174837112427,0.41011824607849123,,4
17,119|103,double,500.4,0,0,0,0,0,0.703685712814331,0.6217791080474854,,5
18,22|105,double,503.4,0,0,0,1,0,0.257904052734375,0.42386393547058104,,4
19,35|9,32m,1257.6,0,0,0,0,0,0.39706809520721437,0.42760510444641114,,5
20,22|26,double,556.6,0,0,0,1,0,0.2775197267532349,0.2729177474975586,,4
21,35|48,32m,757.6,0,0,0,5,0,0.4555500030517578,0.44350566864013674,,0
22,22|76,double,932.0,0,0,0,1,0,0.39092040061950684,0.29557127952575685,,4
23,21|9,32m,479.0,0,0,0,0,0,0.26180708408355713,0.29007678031921386,,5
24,16|103,double,121.2,0,0,0,0,5,0.47351875305175783,0.19046175479888916,,0
25,29|36,32m,301.6,0,0,0,0,0,1.2318146705627442,0.6480716228485107,,5
26,16|111,double,441.0,0,0,0,0,0,1.017905044555664,1.0162511825561524,,5
27,29|55,32m,380.2,0,0,0,2,0,1.1374127388000488,0.9876469612121582,,3
28,96|26,double,418.6,0,0,0,0,0,0.18973093032836913,0.20002083778381347,,5
29,96|76,double,682.4,0,0,0,0,0,0.3032520294189453,0.2772880792617798,,5
30,58|111,double,317.8,0,0,0,0,0,1.0224248886108398,0.759997034072876,,5
31,31|120,double,264.0,0,0,0,5,0,1.6342391967773438,0.9521763801574707,,0
32,31|112,double,246.0,0,0,0,4,1,1.440757656097412,0.8706750869750977,,0
33,117|112,double,181.4,0,0,0,0,5,0.25292994976043703,0.3304222583770752,,0
34,117|41,double,198.2,0,0,0,2,3,0.456956672668457,0.3988733053207397,,0
35,34|41,double,209.6,0,0,0,4,1,0.9982938766479492,0.5402394294738769,,0
36,34|43,double,190.4,0,0,0,2,3,0.5721445560455323,0.43250374794006347,,0
37,5|43,double,95.2,0,0,0,3,2,0.5229913711547851,0.6488278388977051,,0
38,5|120,double,189.4,0,0,0,2,3,0.567997932434082,0.555077075958252,,0
39,73|74,double,112.8,0,0,0,0,5,0.5297121524810791,0.39349324703216554,,0
40,73|37,double,111.4,0,0,0,0,5,0.5035965442657471,0.3749169588088989,,0
41,15|94,double,717.8,0,0,0,0,0,0.3314493656158447,0.44160308837890627,,5
42,15|105,double,758.2,0,0,0,0,0,0.38254847526550295,0.4358072280883789,,5
43,15|26,double,923.4,0,0,0,0,0,0.4120047569274902,0.34487524032592776,,5
44,55|94,double,875.2,0,0,0,0,0,0.36912150382995607,0.3072982311248779,,5
45,55|105,double,907.8,0,0,0,0,0,0.497618579864502,0.23776302337646485,,5
46,96|94,double,986.8,0,0,0,0,0,0.4200678825378418,0.26668381690979004,,5
47,58|74,double,511.8,0,0,0,1,0,0.8786842346191406,0.9063214302062989,,4
48,55|76,double,569.0,0,0,0,0,0,0.22011909484863282,0.3355109214782715,,5
49,31|43,double,202.4,0,0,0,1,4,0.5555569648742675,0.5401989936828613,,0
50,61|95,double,307.8,0,0,0,0,0,1.4071430206298827,0.9319415092468262,,5
51,61|42,double,217.6,0,0,0,5,0,1.6695123672485352,1.618010902404785,,0
