route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,834,False,False,False,False,False,1.6027465345531866,1.549425488631743,True
10|64,362,False,False,False,True,False,0.27117682008049915,0.36697026442701935,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,222,False,False,False,True,False,0.2815029486775853,0.43990724293168243,False
66|67,735,False,False,False,False,False,1.8515926157746019,1.5949685159732876,True
40|42,192,False,False,False,False,False,0.7162852577979919,0.16359850450037092,True
66|46,264,False,False,False,True,False,1.1765939721820022,1.112755841148342,False
40|10,360,False,False,False,False,False,1.0341255377453813,0.841774023583152,True
21|48,281,False,False,False,False,True,0.3501539133022417,0.2817436782091551,False
34|112,309,False,False,False,False,False,0.8850818837984236,0.7205953325416022,True
11|10,232,False,False,False,False,False,1.0781501223082979,0.4666161210790082,True
21|64,850,False,False,False,False,False,0.4536124261424049,0.4484756671985902,True
11|3,308,False,False,False,False,False,0.8646191071067556,0.7064642398263812,True
5|41,235,False,False,False,True,False,0.5441707305813224,0.47723083360628404,False
97|95,371,False,False,False,False,False,1.3124010547695981,1.1231166971618147,True
4|64,674,False,False,False,False,False,0.3877423425832572,0.4080971554033928,True
119|37,453,False,False,False,False,False,0.8021441738955196,0.4299960400704761,True
10|9,771,False,False,False,False,False,0.38919036110066263,0.37591666252384,True
119|103,504,False,False,False,False,False,0.6903813581142642,0.6110368508967677,True
22|105,516,False,False,False,False,False,0.25574669134630873,0.4209122370890169,True
35|9,1264,False,False,False,False,False,0.4303065243678629,0.4020305022963053,True
22|26,683,False,False,False,False,False,0.27638381410528146,0.28353601306981635,True
35|48,762,False,False,False,True,False,0.4462316070388256,0.4349498646034896,False
22|76,951,False,False,False,False,False,0.3816242208701952,0.2982347158982493,True
21|9,485,False,False,False,False,False,0.2938422469769224,0.24886915700481244,True
16|103,125,False,False,False,False,True,0.4916958585587368,0.19761584705854768,False
29|36,304,False,False,False,False,False,1.2681418213988738,0.6721814442044087,True
16|111,449,False,False,False,False,False,1.046197666048381,1.041971689487306,True
29|55,473,False,False,False,False,False,1.099341929062228,1.0042348928650526,True
96|26,426,False,False,False,False,False,0.20859132573693404,0.19862336765770325,True
5|67,839,False,False,False,False,False,1.6809927994651974,1.6253111808874914,True
96|76,688,False,False,False,False,False,0.29407790073781254,0.26792857570373924,True
58|111,324,False,False,False,False,False,1.0730078403948011,0.8094232030146827,True
10|64,597,False,False,False,False,False,0.4088413881172431,0.46741164401545415,True
31|120,274,False,False,False,True,False,1.768947201806193,1.0402794601535061,False
31|112,269,False,False,False,True,False,1.5535403010518118,0.8771404955095049,False
117|112,188,False,False,False,False,True,0.24668430922989626,0.2674152545635344,False
66|67,744,False,False,False,False,False,1.8223241422955654,1.5740966299186436,True
117|41,187,False,False,False,False,True,0.20736204117739945,0.3799983325554029,False
34|41,230,False,False,False,True,False,1.2626101947343351,0.6043935216472479,False
66|46,588,False,False,False,False,False,1.3063427485871106,1.1036956390688262,True
34|43,228,False,False,False,True,False,1.0848355947315331,0.5521923602008305,False
5|43,48,False,False,False,True,False,0.6304572042610171,0.7432210114174541,False
5|120,177,False,False,False,False,True,0.2621207776277799,0.5200549977800732,False
73|74,118,False,False,False,False,True,0.532930956608299,0.3893885062645486,False
21|48,387,False,False,False,False,True,0.5110102801548714,0.27539598297391027,False
73|37,117,False,False,False,False,True,0.45802354767849396,0.3779068555640335,False
21|64,853,False,False,False,False,False,0.46624044269710735,0.43459609087158485,True
15|94,732,False,False,False,False,False,0.3011997969394042,0.46539505764199957,True
4|64,245,False,False,False,False,True,0.24510433691990327,0.3969189672906564,False
10|9,462,False,False,False,False,True,0.42579670234767913,0.4434686247464323,False
15|105,767,False,False,False,False,False,0.37564963915772087,0.45673023191905204,True
15|26,931,False,False,False,False,False,0.4172842019822659,0.3593332156978832,True
35|9,1261,False,False,False,False,False,0.4153935494727394,0.4512323921661199,True
35|48,762,False,False,False,True,False,0.4499816463120703,0.4397686294008699,False
55|94,882,False,False,False,False,False,0.35057701330851426,0.327533921520409,True
21|9,481,False,False,False,False,False,0.25699417441229766,0.3116527105957437,True
29|36,304,False,False,False,False,False,1.1994917516202617,0.6299492546363865,True
55|105,916,False,False,False,False,False,0.5214261098486689,0.2607734734804997,True
29|55,244,False,False,False,True,False,1.2814323919841162,1.144924841158733,False
5|67,840,False,False,False,False,False,1.6044841271502475,1.5540640864516744,True
96|94,995,False,False,False,False,False,0.4023924075616896,0.25639425187514986,True
10|64,596,False,False,False,False,False,0.37994043557841917,0.40994881491031665,True
58|74,587,False,False,False,False,False,0.8412528390896944,0.907025304450733,True
