,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,117|120,double,284.6,0,0,0,2,0,0.425042724609375,0.3699310302734375,,3
1,40|42,double,111.6,0,0,0,0,5,0.09955509901046752,0.34669830799102785,,0
2,40|10,double,348.6,0,0,0,0,0,0.2216555118560791,0.35332133769989016,,5
3,34|112,double,248.4,0,0,0,5,0,0.4407539367675781,0.5306699752807618,,0
4,11|10,double,87.2,0,0,0,0,5,0.12122225761413574,0.3141690731048584,,0
5,11|3,double,257.4,0,0,0,1,0,0.5369194507598877,0.4825874328613281,,4
6,5|41,double,337.8,0,0,0,0,0,0.47379064559936523,0.5442511081695557,,5
7,97|95,double,177.4,0,0,0,5,0,0.19931418895721437,0.3359217166900635,,0
8,119|37,double,347.4,0,0,0,0,5,0.11119046211242675,0.301631236076355,,0
9,119|103,double,326.4,0,0,0,4,1,0.1803122043609619,0.25545353889465333,,0
10,5|67,32m,359.4,0,0,0,0,5,0.226989483833313,0.40973587036132814,,0
11,22|105,double,505.6,0,0,0,0,0,0.34520416259765624,0.41036481857299806,,5
12,10|64,32m,590.6,0,0,0,0,0,0.36988077163696287,0.42375845909118653,,5
13,66|67,32m,235.0,0,0,0,0,5,0.1142204761505127,0.3997992992401123,,0
14,22|26,double,675.0,0,0,0,0,0,0.395764422416687,0.26064319610595704,,5
15,66|46,32m,524.8,0,0,0,1,0,0.21274545192718505,0.3369526624679565,,4
16,21|48,32m,273.8,0,0,0,0,5,0.3171058654785156,0.2649912118911743,,0
17,22|76,double,940.8,0,0,0,0,0,0.420957612991333,0.27547273635864256,,5
18,16|103,double,102.2,0,0,0,5,0,0.11167347431182861,0.18686997890472412,,0
19,16|111,double,246.4,0,0,0,5,0,0.17290139198303223,0.17492514848709106,,0
20,21|64,32m,850.4,0,0,0,0,0,0.4240915775299072,0.40695533752441404,,5
21,96|26,double,413.0,0,0,0,0,0,0.34195613861083984,0.26539037227630613,,5
22,4|64,32m,672.6,0,0,0,0,0,0.44508886337280273,0.42040281295776366,,5
23,96|76,double,677.4,0,0,0,0,0,0.4061096668243408,0.2605767726898193,,5
24,58|111,double,310.0,0,0,0,0,0,0.1533381462097168,0.2945103645324707,,5
25,31|120,double,203.6,0,0,0,0,5,0.2854169845581055,0.5276408195495605,,0
26,10|9,32m,770.0,0,0,0,0,0,0.43422436714172363,0.36441736221313475,,5
27,31|112,double,205.0,0,0,0,0,5,0.295439338684082,0.4533353328704834,,0
28,117|112,double,195.4,0,0,0,0,5,0.3191098213195801,0.37542698383331297,,0
29,117|41,double,194.0,0,0,0,0,5,0.2976315975189209,0.33612167835235596,,0
30,34|41,double,179.4,0,0,0,0,5,0.3729679107666016,0.3281336545944214,,0
31,34|43,double,175.0,0,0,0,0,5,0.34027116298675536,0.3110297203063965,,0
32,5|43,double,186.4,0,0,0,0,5,0.34854223728179934,0.5469225883483887,,0
33,35|9,32m,1252.2,0,0,0,0,0,0.34327614307403564,0.339229416847229,,5
34,5|120,double,182.6,0,0,0,0,5,0.30904808044433596,0.5319291114807129,,0
35,73|74,double,94.0,0,0,0,0,5,0.4466660976409912,0.407014274597168,,0
36,73|37,double,96.6,0,0,0,0,5,0.40845746994018556,0.4049325942993164,,0
37,35|48,32m,745.6,0,0,0,5,0,0.2500315189361572,0.2800127029418945,,0
38,15|94,double,706.4,0,0,0,0,0,0.3579105377197266,0.5008493900299072,,5
39,21|9,32m,475.4,0,0,0,0,0,0.39935760498046874,0.3924513816833496,,5
40,29|36,32m,197.0,0,0,0,0,5,0.1294570803642273,0.4640397548675537,,0
41,29|55,32m,427.6,0,0,0,1,0,0.2546051263809204,0.3128371715545654,,4
42,15|105,double,757.8,0,0,0,0,0,0.4162289142608643,0.429994010925293,,5
43,15|26,double,922.2,0,0,0,0,0,0.44350900650024416,0.3033594608306885,,5
44,55|94,double,870.8,0,0,0,0,0,0.41550569534301757,0.31171674728393556,,5
45,55|105,double,900.6,0,0,0,0,0,0.48303976058959963,0.26468720436096194,,5
46,96|94,double,981.4,0,0,0,0,0,0.43138651847839354,0.2755310535430908,,5
47,58|74,double,437.4,0,0,0,5,0,0.164361310005188,0.28122386932373045,,0
48,55|76,double,563.4,0,0,0,0,0,0.4043265342712402,0.32891340255737306,,5
49,31|43,double,297.8,0,0,0,0,0,0.4159766674041748,0.471054744720459,,5
50,61|95,double,184.0,0,0,0,0,5,0.1820523500442505,0.502154541015625,,0
51,61|42,double,256.8,0,2,0,0,0,0.26198554039001465,0.40657854080200195,,3
