route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,327,False,False,False,False,False,0.4047192299409212,0.4362827844201059,True
40|42,108,False,False,False,False,True,0.1259551090357284,0.3642072902914912,False
40|10,340,False,False,False,False,False,0.23664504915523582,0.3353946140904132,True
34|112,241,False,False,False,True,False,0.4553834259306826,0.5519322521303724,False
11|10,87,False,False,False,False,True,0.12433520653961533,0.31604783369131495,False
11|3,279,False,False,False,False,False,0.6293076833492147,0.5296844181602397,True
5|41,332,False,False,False,False,False,0.4483709677228272,0.5183470224163298,True
97|95,173,False,False,False,True,False,0.1798179976649936,0.3211520679407509,False
119|37,343,False,False,False,False,True,0.11731708410349999,0.31172808882234,False
119|103,302,False,False,False,True,False,0.15090851227586788,0.24969439864258922,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,359,False,False,False,False,True,0.2217397160379405,0.40635880534714697,False
22|105,513,False,False,False,False,False,0.3154139809862612,0.3760933618822423,True
10|64,593,False,False,False,False,False,0.36842835181162686,0.4230605314324961,True
66|67,238,False,False,False,False,True,0.1046563167072809,0.3932894215561592,False
22|26,682,False,False,False,False,False,0.3803428820246158,0.25435853133783226,True
66|46,588,False,False,False,False,False,0.23635041377552235,0.3484542600877776,True
21|48,279,False,False,False,False,True,0.3406868710279932,0.2737844839510632,False
22|76,948,False,False,False,False,False,0.4247424776859564,0.26926819779267214,True
16|103,100,False,False,False,True,False,0.13895061214317683,0.21096048790125171,False
16|111,260,False,False,False,True,False,0.1638565781320373,0.17919447204729363,False
21|64,852,False,False,False,False,False,0.4165394233708988,0.4183909001777372,True
96|26,424,False,False,False,False,False,0.33261253714977856,0.27228820830764583,True
4|64,675,False,False,False,False,False,0.44351585789403386,0.4325066650211253,True
96|76,686,False,False,False,False,False,0.41019875929262,0.24644037669359045,True
58|111,316,False,False,False,False,False,0.1685708715413835,0.3121963091246389,True
31|120,207,False,False,False,False,True,0.22359211637606394,0.5595805940447016,False
10|9,773,False,False,False,False,False,0.43117862975829796,0.348150759294194,True
31|112,205,False,False,False,False,True,0.18819460557329398,0.45339119700177344,False
117|112,198,False,False,False,False,True,0.2660819613882816,0.39589940954498903,False
117|41,199,False,False,False,False,True,0.26852499647755573,0.37058846090575404,False
34|41,190,False,False,False,False,True,0.41776594721935395,0.3731658122365598,False
34|43,184,False,False,False,False,True,0.33152790061476667,0.33307881733574873,False
5|43,199,False,False,False,False,True,0.36126259805054456,0.5403309460865277,False
35|9,1254,False,False,False,False,False,0.3391911743616819,0.34935630904413684,True
5|120,189,False,False,False,False,True,0.2907072157121138,0.5653940232820431,False
73|74,94,False,False,False,False,True,0.4710817451642676,0.41301514584473004,False
73|37,102,False,False,False,False,True,0.3879126954654121,0.41417019092956786,False
35|48,749,False,False,False,True,False,0.23820873122286018,0.2724189028949885,False
15|94,727,False,False,False,False,False,0.3793752646048014,0.5237370546627701,True
21|9,480,False,False,False,False,False,0.3811186317149359,0.4227253568655079,True
29|36,203,False,False,False,False,True,0.13195847850757197,0.4642084732966145,False
29|55,476,False,False,False,False,False,0.2865805301651327,0.33625732907498895,True
15|105,767,False,False,False,False,False,0.4112228537663903,0.4340532544080763,True
5|67,363,False,False,False,False,True,0.23692273381992873,0.42087547245563117,False
10|64,594,False,False,False,False,False,0.388183613498576,0.4338829798870826,True
15|26,932,False,False,False,False,False,0.4309434828062824,0.32047918423892385,True
66|67,239,False,False,False,False,True,0.12484872662047466,0.42912189544453944,False
66|46,293,False,False,False,True,False,0.18227576937591136,0.314024232244036,False
21|48,302,False,False,False,False,True,0.37834654321750905,0.2532318040175071,False
55|94,880,False,False,False,False,False,0.3853117677485135,0.35429422484476136,True
21|64,853,False,False,False,False,False,0.40993135734810576,0.4051068893570693,True
55|105,912,False,False,False,False,False,0.47024257631978633,0.2806487092402268,True
4|64,676,False,False,False,False,False,0.44549220404197526,0.43837808090827696,True
96|94,991,False,False,False,False,False,0.43511996406105236,0.30615975678704005,True
10|9,773,False,False,False,False,False,0.42554843954979815,0.3862990956356033,True
58|74,449,False,False,False,True,False,0.14750069833824178,0.30790822687211805,False
55|76,574,False,False,False,False,False,0.3950948336018332,0.33426869384518065,True
35|9,1255,False,False,False,False,False,0.3502642724765156,0.3520246166742944,True
31|43,307,False,False,False,False,False,0.44013830785088387,0.4301505619312432,True
61|95,194,False,False,False,False,True,0.172398412037326,0.49047125091764726,False
61|42,321,False,False,False,False,False,0.278414822966729,0.4223704380684871,True
35|48,750,False,False,False,True,False,0.2532068112141766,0.283895768585876,False
117|120,332,False,False,False,False,False,0.3622955562949772,0.4189633205225618,True
40|42,112,False,False,False,False,True,0.1025157647183999,0.3608626235949567,False
21|9,481,False,False,False,False,False,0.43306077134071685,0.3990643669967359,True
40|10,364,False,False,False,False,False,0.19084405677490984,0.35947838909989993,True
29|36,200,False,False,False,False,True,0.11850249016457491,0.45380999393393234,False
34|112,269,False,False,False,True,False,0.38258968736741683,0.4705032046334697,False
29|55,263,False,False,False,True,False,0.2882467106736313,0.26137200754844286,False
11|10,88,False,False,False,False,True,0.12372771340671142,0.32371993272618943,False
11|3,131,False,False,False,True,False,0.19742219176812673,0.2417649332201483,False
5|67,367,False,False,False,False,True,0.19851160791470007,0.42175209559979693,False
5|41,349,False,False,False,False,False,0.49862226366901496,0.6077562650310859,True
97|95,195,False,False,False,True,False,0.25440965506097496,0.3578676873638499,False
10|64,594,False,False,False,False,False,0.36849761784373175,0.427622014264405,True
119|37,357,False,False,False,False,True,0.11465380908887927,0.3144937499821645,False
66|67,237,False,False,False,False,True,0.1061325652699889,0.3753742528664547,False
119|103,310,False,False,False,True,False,0.1906507040470291,0.2746374811909886,False
66|46,587,False,False,False,False,False,0.20884441929581857,0.32464697145808624,True
22|105,511,False,False,False,False,False,0.3414638312927693,0.4127478979291934,True
21|48,272,False,False,False,False,True,0.3173188778586178,0.28496739430062135,False
22|26,683,False,False,False,False,False,0.387330917551888,0.2799160897881744,True
21|64,854,False,False,False,False,False,0.43246333822736244,0.40082173932896825,True
4|64,677,False,False,False,False,False,0.4491414464338718,0.40600163727477034,True
22|76,947,False,False,False,False,False,0.4291812702916894,0.2764420211775777,True
16|103,103,False,False,False,True,False,0.08290438744035668,0.1629029744771416,False
16|111,255,False,False,False,True,False,0.19271592307396074,0.2084001177407197,False
10|9,773,False,False,False,False,False,0.435042539328182,0.3349722833472868,True
96|26,423,False,False,False,False,False,0.30186387435103923,0.2585158325687552,True
96|76,686,False,False,False,False,False,0.4075046264468693,0.2535976874019305,True
58|111,310,False,False,False,False,False,0.1766225006069635,0.3086677565098748,True
35|9,1255,False,False,False,False,False,0.35175752823506706,0.35099506358044896,True
31|120,207,False,False,False,False,True,0.27706176302363034,0.4766913736676346,False
31|112,207,False,False,False,False,True,0.30498421420901334,0.470657944278613,False
117|112,195,False,False,False,False,True,0.3172654126017678,0.3782974773305368,False
35|48,743,False,False,False,True,False,0.2576718709984294,0.28074142518347284,False
117|41,200,False,False,False,False,True,0.3216429403240563,0.329937669798505,False
34|41,174,False,False,False,False,True,0.3052620165941291,0.3103265662206153,False
34|43,174,False,False,False,False,True,0.30441163186082587,0.33355688571424225,False
21|9,472,False,False,False,False,False,0.36963041748184045,0.37147489991323773,True
5|43,188,False,False,False,False,True,0.32458179672927145,0.5374653630289733,False
