,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,5|67,32m,841.6,0,0,0,0,0,2.7421136856079102,2.6684028625488283,,5
1,10|64,32m,576.6,0,0,0,0,0,1.3548553466796875,1.464939498901367,,5
2,66|67,32m,764.6,0,0,0,0,0,2.701778030395508,2.4246570587158205,,5
3,117|120,16m,320.2,0,0,0,0,0,1.3193349838256836,1.300130271911621,,5
4,40|42,16m,207.0,0,0,0,0,0,1.6772619247436524,0.9319569587707519,,5
5,66|46,32m,585.0,0,0,0,0,0,2.0679599761962892,1.9495859146118164,,5
6,40|10,16m,353.0,0,0,0,0,0,1.737751579284668,1.579945945739746,,5
7,34|112,16m,297.8,0,0,0,0,0,1.6605657577514648,1.3974974632263184,,5
8,21|48,32m,366.0,0,0,0,0,5,1.1083035469055176,0.8705987930297852,,0
9,11|10,16m,232.4,0,0,0,0,0,2.080718994140625,1.2705339431762694,,5
10,11|3,16m,291.8,0,0,0,0,0,1.23846492767334,1.173890972137451,,5
11,5|41,16m,175.2,0,0,0,0,5,1.4072100639343261,1.5798145294189454,,0
12,21|64,32m,858.6,0,0,0,0,0,1.2241211891174317,1.0279668807983398,,5
13,97|95,16m,360.6,0,0,0,0,0,1.7662277221679688,1.5950733184814454,,5
14,4|64,32m,673.4,0,0,0,0,0,1.1362887382507325,1.0599191665649415,,5
15,119|37,50m,460.6,0,0,0,0,0,1.7485786437988282,1.3058976173400878,,5
16,119|103,50m,504.6,0,0,0,0,0,2.007271957397461,1.86693115234375,,5
17,10|9,32m,787.6,0,0,0,0,0,1.3574952125549316,1.0144033432006836,,5
18,22|105,50m,495.8,0,0,0,0,0,1.2687897682189941,1.3245624542236327,,5
19,22|26,50m,688.0,0,0,0,0,0,1.0436062812805176,0.9360814094543457,,5
20,35|9,32m,1245.2,0,0,0,0,0,1.2096986770629883,1.1195913314819337,,5
21,22|76,50m,970.4,0,0,0,0,0,1.1888838768005372,0.8684346199035644,,5
22,16|103,50m,236.4,0,0,0,0,0,2.1951873779296873,1.3503414154052735,,5
23,35|48,32m,1082.4,0,0,0,0,5,1.1461263656616212,0.9436229705810547,,0
24,16|111,50m,439.6,0,0,0,0,0,2.012058067321777,1.9373439788818358,,5
25,21|9,32m,470.0,0,0,0,0,0,1.4595993995666503,1.4644731521606444,,5
26,29|36,32m,313.4,0,0,0,0,0,2.2318538665771483,1.602695846557617,,5
27,96|26,50m,412.6,0,0,0,0,0,1.0423850059509276,1.050852394104004,,5
28,29|55,32m,464.6,0,0,0,0,0,1.8886112213134765,1.8222728729248048,,5
29,96|76,50m,695.0,0,0,0,0,0,1.2952075958251954,1.010684108734131,,5
30,58|111,50m,324.0,0,0,0,0,0,2.1845577239990233,1.8224815368652343,,5
31,31|120,16m,247.6,0,0,0,0,5,1.1170003890991211,0.9822004318237305,,0
32,31|112,16m,310.4,0,0,0,0,5,1.224901008605957,0.7490990161895752,,0
33,117|112,16m,219.0,0,0,0,0,5,1.3137253761291503,1.2040993690490722,,0
34,117|41,16m,283.0,0,0,0,0,5,1.2785552978515624,0.8230941772460938,,0
35,34|41,16m,216.6,0,0,0,0,5,1.332412052154541,1.0841373443603515,,0
36,34|43,16m,237.8,0,0,0,0,5,1.2984187126159668,0.8633335113525391,,0
37,5|43,16m,210.2,0,0,0,0,5,1.5202593803405762,1.5383880615234375,,0
38,5|120,16m,255.4,0,0,0,0,5,1.318549633026123,1.0799129486083985,,0
39,73|74,50m,414.2,0,0,0,0,0,2.1480457305908205,1.707550621032715,,5
40,73|37,50m,721.6,0,0,0,0,0,2.406830978393555,2.256402587890625,,5
41,15|94,50m,709.0,0,0,0,0,0,1.1507841110229493,1.3516298294067384,,5
42,15|105,50m,758.8,0,0,0,0,0,1.0407354354858398,0.988976001739502,,5
43,15|26,50m,952.6,0,0,0,0,0,1.0022236824035644,0.7615698337554931,,5
44,55|94,50m,880.2,0,0,0,0,0,1.1967921257019043,1.0950069427490234,,5
45,55|105,50m,925.0,0,0,0,0,0,1.044180679321289,0.7182079792022705,,5
46,96|94,50m,996.6,0,0,0,0,0,1.1047459602355958,0.9280757904052734,,5
47,58|74,50m,588.2,0,0,0,0,0,1.9054597854614257,1.9891790390014648,,5
48,55|76,50m,573.2,0,0,0,0,0,1.4252748489379883,1.2414705276489257,,5
49,31|43,16m,221.8,0,0,0,0,4,0.9341260910034179,1.2198176383972168,,1
50,61|95,16m,316.0,0,0,0,0,0,2.2371612548828126,1.719413948059082,,5
51,61|42,16m,302.8,0,0,0,0,0,1.7297203063964843,1.827723503112793,,5
