route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,849,False,False,False,False,False,2.722456248678523,2.647734206644791,True
10|64,575,False,False,False,False,False,1.348012511924528,1.455748852628571,True
66|67,763,False,False,False,False,False,2.6787612858390277,2.403287108842912,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,323,False,False,False,False,False,1.3281762096633618,1.3092250485927472,True
40|42,207,False,False,False,False,False,1.7037916084584583,0.9520239932975856,True
66|46,585,False,False,False,False,False,2.035542075923622,1.920448587785388,True
40|10,352,False,False,False,False,False,1.729250132104617,1.576752297743373,True
34|112,299,False,False,False,False,False,1.6977869498605742,1.4335996460790539,True
21|48,361,False,False,False,False,True,1.0670385516224867,0.8471394431573378,False
11|10,237,False,False,False,False,False,2.05466701728888,1.248450890064864,True
11|3,293,False,False,False,False,False,1.233820059112288,1.1740697286349722,True
5|41,174,False,False,False,False,True,1.4067748030400093,1.5871255888009588,False
21|64,859,False,False,False,False,False,1.2158464426791038,1.0353998702214116,True
97|95,362,False,False,False,False,False,1.7576910385494589,1.5876948434232854,True
4|64,672,False,False,False,False,False,1.1464981130605445,1.070054863386799,True
119|37,464,False,False,False,False,False,1.7676171120538586,1.3208966905281283,True
119|103,506,False,False,False,False,False,2.012436848137039,1.8698372496050144,True
10|9,790,False,False,False,False,False,1.3592073403366343,1.0078619968146167,True
22|105,499,False,False,False,False,False,1.256210484924317,1.3235737453163594,True
22|26,690,False,False,False,False,False,1.0378684162607117,0.9347325089079347,True
35|9,1244,False,False,False,False,False,1.2406979657932729,1.1562736322306857,True
22|76,969,False,False,False,False,False,1.1880006387050044,0.8527995981638188,True
16|103,236,False,False,False,False,False,2.2115864258318316,1.3665995606722752,True
35|48,1091,False,False,False,False,True,1.2222332776210723,1.0038763158573478,False
16|111,441,False,False,False,False,False,1.988229832053101,1.9128165239863875,True
21|9,470,False,False,False,False,False,1.4709792000665054,1.462721805508188,True
29|36,315,False,False,False,False,False,2.2479124047060846,1.619762876744225,True
96|26,412,False,False,False,False,False,1.0418973319636917,1.0490074741735842,True
29|55,464,False,False,False,False,False,1.8963903383560223,1.8327907097340235,True
96|76,694,False,False,False,False,False,1.287806202049951,1.0033969779181868,True
58|111,323,False,False,False,False,False,2.2025556507473927,1.841168991933087,True
5|67,838,False,False,False,False,False,2.746710462287982,2.674930249353807,True
31|120,248,False,False,False,False,True,1.1282361648883827,0.9756761759921806,False
31|112,321,False,False,False,False,True,1.2472927422472984,0.7433445402370311,False
10|64,576,False,False,False,False,False,1.3494167347497485,1.4603188694415052,True
117|112,221,False,False,False,False,True,1.3359296908734828,1.2038684229249403,False
117|41,279,False,False,False,False,True,1.2650359219775957,0.8153327110395823,False
34|41,219,False,False,False,False,True,1.3354271218333689,1.0699873072333492,False
66|67,765,False,False,False,False,False,2.7276119747708494,2.449921472480095,True
34|43,237,False,False,False,False,True,1.2891737037712954,0.8568526588667158,False
5|43,209,False,False,False,False,True,1.5159710663909745,1.5411528859109178,False
66|46,587,False,False,False,False,False,2.1020107185377945,1.9816063993665496,True
5|120,249,False,False,False,False,True,1.3169110213235036,1.1057326821949867,False
21|48,365,False,False,False,False,True,1.1316188132860503,0.8779052219832507,False
73|74,414,False,False,False,False,False,2.141636978341872,1.7016365143811931,True
21|64,864,False,False,False,False,False,1.219007413808492,1.0235892230159924,True
73|37,724,False,False,False,False,False,2.3963944938236823,2.250435859174575,True
4|64,674,False,False,False,False,False,1.152328040944487,1.0499976319865014,True
15|94,712,False,False,False,False,False,1.136729555391794,1.3458056147747939,True
10|9,787,False,False,False,False,False,1.3488550325308752,1.0103082588501067,True
15|105,759,False,False,False,False,False,1.053549860871491,0.9945583148527025,True
15|26,951,False,False,False,False,False,1.0108592823788842,0.7757405538351266,True
35|9,1245,False,False,False,False,False,1.191582630135031,1.1034235550964202,True
55|94,881,False,False,False,False,False,1.1824128925421291,1.0919976489634642,True
35|48,1091,False,False,False,False,True,1.0445128826771433,0.8458023682493827,False
21|9,469,False,False,False,False,False,1.4677295730352595,1.4579027768499078,True
55|105,922,False,False,False,False,False,1.0554952186211817,0.7210485223410279,True
29|36,313,False,False,False,False,False,2.224879515246331,1.5954049545207984,True
29|55,467,False,False,False,False,False,1.9031503329578536,1.8348635071342623,True
96|94,996,False,False,False,False,False,1.090028388473662,0.9220699876611005,True
5|67,840,False,False,False,False,False,2.7518076572111942,2.6772771817715246,True
58|74,586,False,False,False,False,False,1.8987417925811603,1.9819108517430755,True
10|64,578,False,False,False,False,False,1.3608129757543834,1.4777001798361113,True
55|76,574,False,False,False,False,False,1.4171202641505498,1.2406569219804895,True
31|43,201,False,False,False,False,True,0.8550222625678046,1.2038263396046482,False
66|67,765,False,False,False,False,False,2.715460835558874,2.436687795678807,True
61|95,318,False,False,False,False,False,2.230165621570214,1.7179773957559417,True
61|42,304,False,False,False,False,False,1.690857342974059,1.8011739026281153,True
66|46,583,False,False,False,False,False,2.047115558005497,1.9304688406871715,True
117|120,318,False,False,False,False,False,1.3387761989204383,1.3066650143685135,True
21|48,369,False,False,False,False,True,1.116200289598629,0.8683607969037946,False
40|42,206,False,False,False,False,False,1.6866222277619356,0.9405057403388962,True
40|10,355,False,False,False,False,False,1.7825196162470542,1.6335214351708607,True
34|112,298,False,False,False,False,False,1.664729833210398,1.392553568317519,True
21|64,859,False,False,False,False,False,1.2185618379081533,1.019741612390333,True
11|10,237,False,False,False,False,False,2.124539584108515,1.3109317685282806,True
11|3,295,False,False,False,False,False,1.2437636562047072,1.1831151401364202,True
5|41,176,False,False,False,False,True,1.400048129433296,1.5681584201228904,False
4|64,674,False,False,False,False,False,1.1359529392031853,1.0711889499445786,True
97|95,362,False,False,False,False,False,1.767638293284803,1.600730333327987,True
10|9,786,False,False,False,False,False,1.3289243789654024,0.9941181255271289,True
119|37,458,False,False,False,False,False,1.7134003946610554,1.276210040008926,True
119|103,505,False,False,False,False,False,1.9784142538626726,1.838443830100399,True
22|105,495,False,False,False,False,False,1.2750919227361355,1.3249864343828994,True
35|9,1244,False,False,False,False,False,1.1883800263235713,1.0897448965918541,True
22|26,688,False,False,False,False,False,1.0448425257222698,0.9301533699489183,True
35|48,1061,False,False,False,False,True,1.169438529926856,0.975975663869273,False
21|9,471,False,False,False,False,False,1.462458784281105,1.473069550858571,True
22|76,973,False,False,False,False,False,1.1866341230423925,0.8713453180244761,True
29|36,313,False,False,False,False,False,2.246498441658426,1.6170498300771892,True
16|103,237,False,False,False,False,False,2.210113290851603,1.3689850925425138,True
29|55,464,False,False,False,False,False,1.8910962907643813,1.825205487481203,True
16|111,441,False,False,False,False,False,1.998605181845751,1.9263772301625572,True
96|26,413,False,False,False,False,False,1.028774968757708,1.0470138693483955,True
5|67,840,False,False,False,False,False,2.7617518881807555,2.6887787514006827,True
96|76,695,False,False,False,False,False,1.2997411853662086,1.0226099399026927,True
10|64,578,False,False,False,False,False,1.3476639643969528,1.4507640728443683,True
58|111,324,False,False,False,False,False,2.216078407748838,1.8557714312014977,True
31|120,244,False,False,False,False,True,1.0811143973233075,0.9853474265125819,False
66|67,763,False,False,False,False,False,2.663273045223338,2.387490008416001,True
31|112,307,False,False,False,False,True,1.2019563481098077,0.7451332606902256,False
117|112,218,False,False,False,False,True,1.301060490289303,1.1940907053512173,False
117|41,286,False,False,False,False,True,1.2802127486234247,0.8190263301476949,False
66|46,588,False,False,False,False,False,2.073716568552432,1.9536140010001866,True
34|41,212,False,False,False,False,True,1.2951261776998044,1.0700749564649819,False
21|48,366,False,False,False,False,True,1.0935954515785344,0.8601362114645771,False
34|43,236,False,False,False,False,True,1.306129169258898,0.8756944845626974,False
5|43,209,False,False,False,False,True,1.523804884613143,1.562956011515329,False
5|120,284,False,False,False,False,True,1.3720279483694664,0.9957586076030562,False
21|64,855,False,False,False,False,False,1.2370695671582765,1.0383263156194358,True
73|74,418,False,False,False,False,False,2.1620530280867754,1.7284763287757317,True
4|64,673,False,False,False,False,False,1.1211688518653684,1.0578534035310192,True
73|37,721,False,False,False,False,False,2.4127508651541496,2.2617003102971234,True
10|9,787,False,False,False,False,False,1.3796845836789282,1.030804551134554,True
15|94,706,False,False,False,False,False,1.132694833739979,1.3483605415031916,True
15|105,757,False,False,False,False,False,1.0184472136109652,0.986407291605644,True
35|9,1248,False,False,False,False,False,1.1802342881866383,1.0926822385263915,True
15|26,952,False,False,False,False,False,0.9944559479027626,0.7455147555241262,True
35|48,1082,False,False,False,False,True,1.1616719976110543,0.956352520725821,False
21|9,470,False,False,False,False,False,1.437985609570271,1.4570931956621078,True
55|94,878,False,False,False,False,False,1.1930171036026944,1.0977081319049666,True
29|36,315,False,False,False,False,False,2.2405082191857297,1.6105387237958273,True
