,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,117|120,16m,319.4,0,0,0,0,0,1.317011260986328,0.0,,5
1,40|42,16m,206.8,0,0,0,0,0,1.7101892471313476,0.0,,5
2,5|67,32m,842.2,0,0,0,0,0,2.743320083618164,0.0,,5
3,40|10,16m,353.4,0,0,0,0,0,1.7293567657470703,0.0,,5
4,10|64,32m,577.6,0,0,0,0,0,1.3485003471374513,0.0,,5
5,34|112,16m,298.6,0,0,0,0,0,1.6726982116699218,0.0,,5
6,11|10,16m,238.8,0,0,0,0,0,2.0372095108032227,0.0,,5
7,11|3,16m,295.4,0,0,0,0,0,1.2436100959777832,0.0,,5
8,66|67,32m,765.6,0,0,0,0,0,2.693769073486328,0.0,,5
9,5|41,16m,174.4,0,0,0,0,5,1.4265050888061523,0.0,,0
10,97|95,16m,361.0,0,0,0,0,0,1.7581222534179688,0.0,,5
11,66|46,32m,583.0,0,0,0,0,0,2.082552909851074,0.0,,5
12,119|37,50m,461.2,0,0,0,0,0,1.7478973388671875,0.0,,5
13,21|48,32m,365.8,0,0,0,0,5,1.0793975830078124,0.0,,0
14,119|103,50m,504.6,0,0,0,0,0,2.0046260833740233,0.0,,5
15,21|64,32m,858.2,0,0,0,0,0,1.2088828086853027,0.0,,5
16,22|105,50m,496.4,0,0,0,0,0,1.2863553047180176,0.0,,5
17,4|64,32m,675.6,0,0,0,0,0,1.1420559883117676,0.0,,5
18,22|26,50m,686.2,0,0,0,0,0,1.0381256103515626,0.0,,5
19,10|9,32m,788.0,0,0,0,0,0,1.3697071075439453,0.0,,5
20,22|76,50m,970.2,0,0,0,0,0,1.1801487922668457,0.0,,5
21,16|103,50m,237.4,0,0,0,0,0,2.150785446166992,0.0,,5
22,16|111,50m,439.4,0,0,0,0,0,2.0297826766967773,0.0,,5
23,35|9,32m,1246.0,0,0,0,0,0,1.2172459602355956,0.0,,5
24,96|26,50m,412.6,0,0,0,0,0,1.0369376182556151,0.0,,5
25,96|76,50m,694.8,0,0,0,0,0,1.3031309127807618,0.0,,5
26,35|48,32m,1086.0,0,0,0,0,5,1.1487310409545899,0.0,,0
27,58|111,50m,323.4,0,0,0,0,0,2.1723392486572264,0.0,,5
28,21|9,32m,470.6,0,0,0,0,0,1.4664320945739746,0.0,,5
29,31|120,16m,245.2,0,0,0,0,5,1.1057209968566895,0.0,,0
30,29|36,32m,311.8,0,0,0,0,0,2.2151912689208983,0.0,,5
31,31|112,16m,306.8,0,0,0,0,5,1.2165266036987306,0.0,,0
32,117|112,16m,221.6,0,0,0,0,5,1.3127020835876464,0.0,,0
33,29|55,32m,464.6,0,0,0,0,0,1.891097068786621,0.0,,5
34,117|41,16m,285.6,0,0,0,0,5,1.2595278739929199,0.0,,0
35,34|41,16m,215.8,0,0,0,0,5,1.3180164337158202,0.0,,0
36,34|43,16m,239.4,0,0,0,0,5,1.2962121963500977,0.0,,0
37,5|43,16m,211.6,0,0,0,0,5,1.5367263793945312,0.0,,0
38,5|120,16m,267.0,0,0,0,0,5,1.3250798225402831,0.0,,0
39,73|74,50m,412.8,0,0,0,0,0,2.1327392578125,0.0,,5
40,73|37,50m,721.8,0,0,0,0,0,2.3993316650390626,0.0,,5
41,15|94,50m,710.0,0,0,0,0,0,1.1385988235473632,0.0,,5
42,15|105,50m,757.8,0,0,0,0,0,1.032161808013916,0.0,,5
43,15|26,50m,950.2,0,0,0,0,0,1.0017165184020995,0.0,,5
44,55|94,50m,879.0,0,0,0,0,0,1.184644889831543,0.0,,5
45,55|105,50m,924.4,0,0,0,0,0,1.0378745079040528,0.0,,5
46,96|94,50m,999.4,0,0,0,0,0,1.1108184814453126,0.0,,5
47,58|74,50m,584.6,0,0,0,0,0,1.9153030395507813,0.0,,5
48,55|76,50m,570.4,0,0,0,0,0,1.4156564712524413,0.0,,5
49,31|43,16m,221.4,0,0,0,0,4,0.9483691215515136,0.0,,1
50,61|95,16m,316.8,0,0,0,0,0,2.234886360168457,0.0,,5
51,61|42,16m,304.4,0,0,0,0,0,1.727762222290039,0.0,,5
