,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,5|67,32m,830.2,0,0,0,0,0,0.1514174222946167,0.21579864025115966,,5
1,10|64,32m,591.0,0,0,0,0,0,0.34710988998413084,0.32668490409851075,,5
2,66|67,32m,723.8,0,0,0,0,0,0.12547388076782226,0.14086613655090333,,5
3,117|120,double,227.2,0,0,0,5,0,0.39276418685913084,0.33575873374938964,,0
4,66|46,32m,580.6,0,0,0,0,0,0.16051403284072877,0.21934609413146972,,5
5,40|42,double,168.8,0,0,0,0,5,0.26006619930267333,0.31029605865478516,,0
6,40|10,double,359.4,0,0,0,0,0,0.18048068284988403,0.28142950534820554,,5
7,34|112,double,308.8,0,0,0,0,0,0.3377683162689209,0.414536714553833,,5
8,11|10,double,130.6,0,0,0,0,5,0.2367913007736206,0.30316598415374757,,0
9,21|48,32m,895.4,0,0,0,0,1,0.46164813041687014,0.24108023643493653,,4
10,11|3,double,238.8,0,0,0,4,0,0.23780395984649658,0.22938153743743897,,1
11,5|41,double,347.4,0,0,0,0,0,0.4181021213531494,0.4956399917602539,,5
12,21|64,32m,869.8,0,0,0,0,0,0.6382874488830567,0.3429781198501587,,5
13,97|95,double,367.4,0,0,0,0,0,0.14654884338378907,0.28367831707000735,,5
14,119|37,double,368.2,0,0,0,0,5,0.09718136787414551,0.2333892822265625,,0
15,4|64,32m,678.0,0,0,0,0,0,0.4945060253143311,0.2768617868423462,,5
16,119|103,double,441.6,0,0,0,0,5,0.14963916540145875,0.2857940912246704,,0
17,10|9,32m,788.0,0,0,0,0,0,0.6816318511962891,0.3519587516784668,,5
18,22|105,double,514.2,0,0,0,0,0,0.3963902950286865,0.4564845561981201,,5
19,22|26,double,684.0,0,0,0,0,0,0.5195436477661133,0.32359087467193604,,5
20,35|9,32m,1253.4,0,0,0,0,0,0.2786125659942627,0.1806856632232666,,5
21,22|76,double,965.0,0,0,0,0,0,0.6143198490142823,0.3508291721343994,,5
22,16|103,double,117.8,0,0,0,0,5,0.19469749927520752,0.0819556474685669,,0
23,16|111,double,256.6,0,0,0,5,0,0.10385820865631104,0.17387874126434327,,0
24,35|48,32m,1026.0,0,0,0,0,5,0.3649861812591553,0.20157268047332763,,0
25,96|26,double,418.4,0,0,0,0,0,0.33443238735198977,0.24890542030334473,,5
26,21|9,32m,480.0,0,0,0,0,0,0.391542911529541,0.35129246711730955,,5
27,29|36,32m,293.0,0,0,0,0,0,0.19198609590530397,0.2469858169555664,,5
28,96|76,double,691.8,0,0,0,0,0,0.5114306449890137,0.2929541110992432,,5
29,29|55,32m,469.4,0,0,0,0,0,0.19169608354568482,0.1982138991355896,,5
30,58|111,double,310.0,0,0,0,0,0,0.1035956621170044,0.09661483168601989,,5
31,31|120,double,325.0,0,0,0,4,1,0.787878942489624,0.447600269317627,,0
32,31|112,double,369.4,0,0,0,0,4,0.9195692062377929,0.39552323818206786,,1
33,117|112,double,408.4,0,0,0,0,0,0.608602237701416,0.42129149436950686,,5
34,117|41,double,332.4,0,0,0,0,5,0.9350662231445312,0.3146164894104004,,0
35,34|41,double,242.6,0,0,0,0,5,0.823830509185791,0.3608712911605835,,0
36,34|43,double,287.4,0,0,0,0,4,0.8911313056945801,0.39341909885406495,,1
37,5|43,double,355.6,0,0,0,0,0,0.759226655960083,0.44037656784057616,,5
38,5|120,double,380.6,0,0,0,4,1,1.0438454627990723,0.4621435642242432,,0
39,73|74,double,112.6,0,0,0,0,5,0.3881504058837891,0.37041845321655276,,0
40,73|37,double,109.4,0,0,0,0,5,0.3620887756347656,0.3750619888305664,,0
41,15|94,double,726.2,0,0,0,0,0,0.39388654232025144,0.48270320892333984,,5
42,15|105,double,772.6,0,0,0,0,0,0.506909704208374,0.4329692363739014,,5
43,15|26,double,940.2,0,0,0,0,0,0.602742862701416,0.3566873073577881,,5
44,55|94,double,885.6,0,0,0,0,0,0.5050739288330078,0.3364871501922607,,5
45,55|105,double,923.0,0,0,0,0,0,0.6176324367523194,0.29533910751342773,,5
46,96|94,double,1004.4,0,0,0,0,0,0.5591156959533692,0.3202401876449585,,5
47,58|74,double,552.6,0,0,0,1,0,0.13077189922332763,0.3106038808822632,,4
48,55|76,double,574.0,0,0,0,0,0,0.4344923973083496,0.3254848957061768,,5
49,31|43,double,303.0,0,0,0,0,0,0.46689209938049314,0.4171309471130371,,5
50,61|95,double,299.0,0,0,0,0,0,0.22063615322113037,0.24701154232025146,,5
51,61|42,double,202.0,0,0,0,4,0,0.27166996002197263,0.3804155349731445,,1
