route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,822,False,False,False,False,False,0.15180553522910625,0.20592972130773138,True
10|64,578,False,False,False,False,False,0.337031386705998,0.32512087814989116,True
66|67,715,False,False,False,False,False,0.11627403384919469,0.14326528435612515,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,224,False,False,False,True,False,0.39532117691704005,0.3471391263910358,False
66|46,575,False,False,False,False,False,0.14187723660231832,0.23130148513599882,True
40|42,166,False,False,False,False,True,0.24359586214728252,0.32498858127494684,False
40|10,358,False,False,False,False,False,0.195300994285511,0.26983821939606,True
34|112,312,False,False,False,False,False,0.33781164812884706,0.4193325267344463,True
11|10,124,False,False,False,False,True,0.19697592644963482,0.31519770165890093,False
21|48,1009,False,False,False,False,False,0.36888382997514463,0.21740761979308,True
11|3,224,False,False,False,True,False,0.18795563823880054,0.17937193835435805,False
5|41,351,False,False,False,False,False,0.42310588503498914,0.49872872891851755,True
21|64,868,False,False,False,False,False,0.6235768232677185,0.33958374337119795,True
97|95,370,False,False,False,False,False,0.14251451490290215,0.2770799136061994,True
119|37,371,False,False,False,False,True,0.08892919446341767,0.2268807187978461,False
4|64,680,False,False,False,False,False,0.49530062777752476,0.29021431469615516,True
119|103,447,False,False,False,False,True,0.16333548762172062,0.27570665968145797,False
10|9,792,False,False,False,False,False,0.6784498754222157,0.3716516576559823,True
22|105,518,False,False,False,False,False,0.41644068652876054,0.4700612216883709,True
22|26,689,False,False,False,False,False,0.5097055298168142,0.3093691408311582,True
35|9,1255,False,False,False,False,False,0.28329145158677577,0.17936606450614986,True
22|76,970,False,False,False,False,False,0.5979033770690633,0.3367222408437706,True
16|103,121,False,False,False,False,True,0.1981360611161411,0.07527155225702903,False
16|111,262,False,False,False,True,False,0.08841644333832399,0.1876180048668369,False
35|48,1035,False,False,False,False,True,0.3695531350929959,0.195100162165819,False
96|26,425,False,False,False,False,False,0.30782073188533615,0.24568979685908673,True
21|9,483,False,False,False,False,False,0.37596817707990715,0.33475897041607316,True
29|36,296,False,False,False,False,False,0.2023937421436147,0.23815410720097233,True
96|76,696,False,False,False,False,False,0.4969253491109279,0.2888099557820634,True
29|55,472,False,False,False,False,False,0.21444920909585874,0.1811244337730052,True
58|111,315,False,False,False,False,False,0.09140596168261371,0.10359144565703138,True
31|120,264,False,False,False,False,True,0.6571567399224,0.4742523403410167,False
31|112,284,False,False,False,False,True,0.8078787743964241,0.4369531308996901,False
5|67,833,False,False,False,False,False,0.1484649293881029,0.21250474049490278,True
117|112,414,False,False,False,False,False,0.6228124988089415,0.4480079441013579,True
10|64,596,False,False,False,False,False,0.36690929907748177,0.34173045762491033,True
117|41,330,False,False,False,False,True,0.9292237134520177,0.31194469682949205,False
34|41,250,False,False,False,False,True,0.8210934386430406,0.35185974003609777,False
34|43,268,False,False,False,False,True,0.8946220459174392,0.3897910949502019,False
66|67,727,False,False,False,False,False,0.1267861697731522,0.1349915917922461,True
5|43,365,False,False,False,False,False,0.7548045734325345,0.4382888580804342,True
66|46,583,False,False,False,False,False,0.1733500915757434,0.2237823375117313,True
5|120,401,False,False,False,True,False,1.0365105613009427,0.46032007574648776,False
73|74,115,False,False,False,False,True,0.3753803337423924,0.37890507506194715,False
73|37,116,False,False,False,False,True,0.33875401249482745,0.37929787387071334,False
21|48,434,False,False,False,False,True,0.7889183606890534,0.31301346351192655,False
15|94,737,False,False,False,False,False,0.3759146213168138,0.4781525099960336,True
21|64,871,False,False,False,False,False,0.6294239212208892,0.3406013394525034,True
15|105,778,False,False,False,False,False,0.4709962937774564,0.41795088791030827,True
4|64,680,False,False,False,False,False,0.5096979836970496,0.2947138921761708,True
10|9,787,False,False,False,False,False,0.6836919498896762,0.35595989810123635,True
15|26,946,False,False,False,False,False,0.5924063440442072,0.3486739249678734,True
55|94,892,False,False,False,False,False,0.5039181305908185,0.32954147142385143,True
35|9,1255,False,False,False,False,False,0.2658878073729918,0.18066112136874338,True
55|105,931,False,False,False,False,False,0.6038697786547511,0.2760346586630007,True
35|48,1029,False,False,False,False,True,0.36837327003155246,0.20481729276681063,False
21|9,482,False,False,False,False,False,0.3895660869095242,0.3667590491928642,True
29|36,296,False,False,False,False,False,0.20448911601643138,0.23379274455798482,True
96|94,1010,False,False,False,False,False,0.5427679856357938,0.3062841288185425,True
29|55,472,False,False,False,False,False,0.18117981263567076,0.21497009933934152,True
58|74,449,False,False,False,True,False,0.12180388998262111,0.31371590512677855,False
55|76,578,False,False,False,False,False,0.4097187095508765,0.3280212858672282,True
5|67,833,False,False,False,False,False,0.1496650233103007,0.23362121691233517,True
31|43,308,False,False,False,False,False,0.4685065423371601,0.40875420498048404,True
61|95,304,False,False,False,False,False,0.2241290809207101,0.2429392313857941,True
10|64,596,False,False,False,False,False,0.34958346135729446,0.33489311619178797,True
61|42,179,False,False,False,True,False,0.283587665694019,0.36805978749316115,False
117|120,233,False,False,False,True,False,0.4018839304466879,0.345680191776008,False
40|42,164,False,False,False,False,True,0.2542404830744455,0.2857823474933451,False
66|67,729,False,False,False,False,False,0.13113988505748772,0.1354807546969251,True
40|10,365,False,False,False,False,False,0.19199987446476643,0.2689033275745307,True
34|112,311,False,False,False,False,False,0.3291885101368538,0.4103136973234302,True
66|46,585,False,False,False,False,False,0.1680029602398293,0.20486478256166035,True
11|10,137,False,False,False,False,True,0.24462851662250537,0.2940436208457342,False
11|3,223,False,False,False,True,False,0.18014211459763005,0.18773613365112654,False
5|41,349,False,False,False,False,False,0.39300852112136425,0.45756149356539655,True
