,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,117|120,16m,178.2,0,0,0,5,0,0.29326643943786623,0.2830000162124634,,0
1,5|67,32m,626.6,0,0,0,0,0,0.3510040044784546,0.34208145141601565,,5
2,40|42,16m,211.6,0,0,0,0,0,0.47011537551879884,0.21469991207122802,,5
3,10|64,32m,424.0,0,0,0,0,0,0.36008281707763673,0.3205754518508911,,5
4,40|10,16m,310.6,0,0,0,0,0,0.36697092056274416,0.32162771224975584,,5
5,34|112,16m,234.6,0,0,0,0,0,0.5604165077209473,0.5400506973266601,,5
6,11|10,16m,234.0,0,0,0,0,0,0.42363343238830564,0.20252547264099122,,5
7,66|67,32m,586.8,0,0,0,0,0,0.37560300827026366,0.20304017066955565,,5
8,11|3,16m,261.6,0,0,0,0,0,0.27089600563049315,0.24981565475463868,,5
9,5|41,16m,220.6,0,0,0,0,2,0.3522813081741333,0.5204561710357666,,3
10,66|46,32m,484.0,0,0,0,0,0,0.3173688411712646,0.2960270881652832,,5
11,97|95,16m,307.2,0,0,0,0,0,0.35739827156066895,0.34059193134307864,,5
12,119|37,50m,392.6,0,0,0,0,0,0.4533227920532227,0.1436621904373169,,5
13,21|48,32m,705.6,0,0,0,0,0,0.4198542594909668,0.25190722942352295,,5
14,119|103,50m,404.4,0,0,0,0,4,0.3789299488067627,0.3011037588119507,,1
15,21|64,32m,614.8,0,0,0,0,0,0.5916225910186768,0.2837486743927002,,5
16,22|105,50m,402.6,0,0,0,0,0,0.4127204895019531,0.4457808494567871,,5
17,4|64,32m,492.8,0,0,0,0,0,0.47514686584472654,0.23496930599212645,,5
18,22|26,50m,516.4,0,0,0,0,0,0.5595658779144287,0.31773579120635986,,5
19,10|9,32m,563.2,0,0,0,0,0,0.6421863079071045,0.31484007835388184,,5
20,22|76,50m,701.0,0,0,0,0,0,0.6337923049926758,0.3064348459243774,,5
21,16|103,50m,125.8,0,0,0,0,5,0.45276808738708496,0.10352505445480346,,0
22,35|9,32m,903.2,0,0,0,0,0,0.3280023097991943,0.2226538896560669,,5
23,16|111,50m,360.8,0,0,0,0,0,0.3176445722579956,0.35041677951812744,,5
24,96|26,50m,323.0,0,0,0,0,0,0.392584490776062,0.27769553661346436,,5
25,35|48,32m,681.6,0,0,0,4,0,0.2059563636779785,0.14108622074127197,,1
26,96|76,50m,520.8,0,0,0,0,0,0.5774637699127197,0.3148691177368164,,5
27,21|9,32m,366.6,0,0,0,0,0,0.4270742416381836,0.38185744285583495,,5
28,58|111,50m,265.0,0,0,0,0,0,0.3453341245651245,0.15874085426330567,,5
29,29|36,32m,277.0,0,0,0,0,0,0.44785351753234864,0.09117325544357299,,5
30,31|120,16m,172.0,0,0,0,0,5,0.272770619392395,0.4840341567993164,,0
31,31|112,16m,174.4,0,0,0,0,5,0.32403671741485596,0.392165207862854,,0
32,29|55,32m,383.4,0,0,0,0,0,0.31647939682006837,0.25437536239624026,,5
33,117|112,16m,170.6,0,0,0,0,5,0.28658599853515626,0.3307812690734863,,0
34,117|41,16m,165.0,0,0,0,0,5,0.3218144416809082,0.3405418395996094,,0
35,34|41,16m,151.6,0,0,0,0,5,0.41663179397583006,0.3607450246810913,,0
36,34|43,16m,145.6,0,0,0,0,5,0.47446436882019044,0.42414350509643556,,0
37,5|43,16m,162.0,0,1,0,0,4,0.4308761119842529,0.5914961814880371,,0
38,5|120,16m,160.4,0,0,0,0,5,0.4337268829345703,0.6149426460266113,,0
39,73|74,50m,125.2,0,0,0,0,5,0.5382180213928223,0.26484568119049073,,0
40,73|37,50m,131.4,0,0,0,0,5,0.5704894065856934,0.27045750617980957,,0
41,15|94,50m,586.0,0,0,0,0,0,0.41441192626953127,0.4810661792755127,,5
42,15|105,50m,595.2,0,0,0,0,0,0.6006934642791748,0.4563004016876221,,5
43,15|26,50m,712.0,0,0,0,0,0,0.6782924175262451,0.3711799144744873,,5
44,55|94,50m,662.4,0,0,0,0,0,0.5530778884887695,0.3320333242416382,,5
45,55|105,50m,691.2,0,0,0,0,0,0.7529222011566162,0.40476408004760744,,5
46,96|94,50m,765.8,0,0,0,0,0,0.5996199607849121,0.3319023609161377,,5
47,58|74,50m,484.8,0,0,0,0,0,0.34664216041564944,0.45148568153381347,,5
48,55|76,50m,443.0,0,0,0,0,0,0.4863705635070801,0.31498725414276124,,5
49,31|43,16m,232.6,0,0,0,0,0,0.30681045055389405,0.4694193363189697,,5
50,61|95,16m,282.2,0,0,0,0,0,0.4758790969848633,0.19796816110610962,,5
51,61|42,16m,266.0,0,0,0,0,0,0.39173140525817873,0.44269747734069825,,5
