route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,175,False,False,False,True,False,0.3111734406042251,0.2812737538220722,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,653,False,False,False,False,False,0.3628709198138847,0.36157984303377133,True
40|42,216,False,False,False,False,False,0.442085651104914,0.2439379353306131,True
10|64,428,False,False,False,False,False,0.3677959757640391,0.3151072966222919,True
40|10,323,False,False,False,False,False,0.33277431631087523,0.30818366802226643,True
34|112,228,False,False,False,False,False,0.5157526597613734,0.5156736848149377,True
11|10,227,False,False,False,False,False,0.4555190191383101,0.2041584553006226,True
66|67,559,False,False,False,False,False,0.34265732379486263,0.17155586528949546,True
11|3,234,False,False,False,False,False,0.2556707526736826,0.17327416689912503,True
5|41,259,False,False,False,False,False,0.34967756428015456,0.4927876179321616,True
66|46,487,False,False,False,False,False,0.3027664102383067,0.2876236773389909,True
97|95,300,False,False,False,False,False,0.3760121462336074,0.3568641126666987,True
119|37,385,False,False,False,False,False,0.41620292426903743,0.11508051948316486,True
21|48,705,False,False,False,False,False,0.41677483532153214,0.2274004924994152,True
119|103,417,False,False,False,False,False,0.4138004751298779,0.2691288302988169,True
21|64,641,False,False,False,False,False,0.5838550696611893,0.2954839797845313,True
22|105,396,False,False,False,False,False,0.40536039137058105,0.4291150073497017,True
4|64,468,False,False,False,False,False,0.509244808844612,0.2391523209937523,True
22|26,529,False,False,False,False,False,0.5351298026054174,0.3056915529680761,True
10|9,586,False,False,False,False,False,0.6321768779370328,0.3289798583744138,True
22|76,697,False,False,False,False,False,0.6314917048197158,0.29364890134756355,True
16|103,128,False,False,False,False,True,0.46754123721919005,0.0997650848974334,False
35|9,919,False,False,False,False,False,0.32858611604812205,0.21293675600205803,True
16|111,368,False,False,False,False,False,0.31321545314037347,0.34509390169495024,True
96|26,315,False,False,False,False,False,0.4106717087542355,0.29196490658394647,True
35|48,553,False,False,False,True,False,0.1487456549080667,0.12510439915296795,False
96|76,528,False,False,False,False,False,0.5787288389173331,0.3127433420505725,True
21|9,388,False,False,False,False,False,0.42847469568790647,0.38220958027579444,True
58|111,261,False,False,False,False,False,0.34798873714484474,0.15723178200438298,True
29|36,276,False,False,False,False,False,0.44973302729575737,0.08575825812962751,True
31|120,169,False,False,False,False,True,0.2849794110337641,0.4700079027483356,False
31|112,179,False,False,False,False,True,0.32106115615476993,0.37830467282809116,False
29|55,378,False,False,False,False,False,0.3119350617252667,0.23849247843872468,True
117|112,160,False,False,False,False,True,0.31194355840956284,0.33704957728082624,False
