,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed,distance_to_center_of_lane_completed
0,5|67,32m,858.75,0,0,0,0,0,0.4553932845592499,,4,0.3508238395055135
1,10|64,32m,603.25,0,0,0,0,0,0.8165173530578613,,4,0.3508238395055135
2,66|67,32m,746.25,0,0,0,0,0,0.46438169479370117,,4,0.3508238395055135
3,66|46,32m,597.5,0,0,0,0,0,0.33146268129348755,,4,0.3508238395055135
4,21|48,32m,1052.75,0,0,0,0,0,0.7876347303390503,,4,0.3508238395055135
5,21|64,32m,894.5,0,0,0,0,0,1.154427409172058,,4,0.3508238395055135
6,4|64,32m,702.25,0,0,0,0,0,0.9869188666343689,,4,0.3508238395055135
7,10|9,32m,813.0,0,0,0,0,0,1.3037831783294678,,4,0.3508238395055135
8,35|9,32m,1306.0,0,0,0,0,0,0.6729499101638794,,4,0.3508238395055135
9,35|48,32m,1863.5,0,0,0,0,0,0.7282663583755493,,4,0.3508238395055135
10,21|9,32m,490.5,0,0,0,0,0,0.9471890926361084,,4,0.3508238395055135
11,29|36,32m,296.75,0,0,0,0,0,0.30166110396385193,,4,0.3508238395055135
12,29|55,32m,480.75,0,0,0,0,0,0.29154154658317566,,4,0.3508238395055135
13,117|120,double,329.25,0,0,0,0,0,0.7140482664108276,,4,0.3508238395055135
14,40|42,double,118.75,0,0,0,0,4,0.14653293788433075,,0,0.3508238395055135
15,40|10,double,354.0,0,0,0,0,0,0.30354365706443787,,4,0.3508238395055135
16,34|112,double,302.25,0,0,0,0,0,1.2520428895950317,,4,0.3508238395055135
17,11|10,double,94.0,0,0,0,0,4,0.13820010423660278,,0,0.3508238395055135
18,11|3,double,292.0,0,0,0,0,0,0.30369582772254944,,4,0.3508238395055135
19,5|41,double,343.5,0,0,0,0,0,0.727435827255249,,4,0.3508238395055135
20,97|95,double,372.75,0,0,0,0,0,0.42757466435432434,,4,0.3508238395055135
21,119|37,double,362.0,0,0,0,0,4,0.26622018218040466,,0,0.3508238395055135
22,119|103,double,449.75,0,0,0,0,4,0.27493816614151,,0,0.3508238395055135
23,22|105,double,520.5,0,0,0,0,0,1.0050647258758545,,4,0.3508238395055135
24,22|26,double,710.0,0,0,0,0,0,1.0914089679718018,,4,0.3508238395055135
25,22|76,double,995.0,0,0,0,0,0,1.1956820487976074,,4,0.3508238395055135
26,16|103,double,109.75,0,0,0,4,0,0.20725354552268982,,0,0.3508238395055135
27,16|111,double,440.0,0,0,0,0,0,0.34032872319221497,,4,0.3508238395055135
28,96|26,double,427.25,0,0,0,0,0,0.818732500076294,,4,0.3508238395055135
29,96|76,double,707.0,0,0,0,0,0,1.1106352806091309,,4,0.3508238395055135
30,58|111,double,318.25,0,0,0,0,0,0.27764779329299927,,4,0.3508238395055135
31,31|120,double,453.25,0,0,0,0,0,1.0329006910324097,,4,0.3508238395055135
32,31|112,double,534.25,0,0,0,0,0,1.4398633241653442,,4,0.3508238395055135
33,117|112,double,412.25,0,0,0,0,0,1.2922757863998413,,4,0.3508238395055135
34,117|41,double,442.5,0,0,0,0,2,1.326619029045105,,2,0.3508238395055135
35,34|41,double,412.25,0,0,0,0,0,1.0795471668243408,,4,0.3508238395055135
36,34|43,double,429.5,0,0,0,0,0,1.41277277469635,,4,0.3508238395055135
37,5|43,double,361.75,0,0,0,0,0,1.1470739841461182,,4,0.3508238395055135
38,5|120,double,511.75,0,0,0,0,0,1.2511065006256104,,4,0.3508238395055135
39,73|74,double,105.75,0,0,0,0,4,0.45932847261428833,,0,0.3508238395055135
40,73|37,double,102.5,0,0,0,0,4,0.44562846422195435,,0,0.3508238395055135
41,15|94,double,721.75,0,0,0,0,0,0.9328051805496216,,4,0.3508238395055135
42,15|105,double,782.0,0,0,0,0,0,1.1930323839187622,,4,0.3508238395055135
43,15|26,double,974.0,0,0,0,0,0,1.266607642173767,,4,0.3508238395055135
44,55|94,double,912.5,0,0,0,0,0,1.0633633136749268,,4,0.3508238395055135
45,55|105,double,954.0,0,0,0,0,0,1.3230271339416504,,4,0.3508238395055135
46,96|94,double,1037.0,0,0,0,0,0,1.1216328144073486,,4,0.3508238395055135
47,58|74,double,600.5,0,0,0,0,0,0.28738296031951904,,4,0.3508238395055135
48,55|76,double,587.25,0,0,0,0,0,1.0064854621887207,,4,0.3508238395055135
49,31|43,double,305.25,0,0,0,0,0,0.8084589242935181,,4,0.3508238395055135
50,61|95,double,300.0,0,0,0,0,0,0.4092084765434265,,4,0.3508238395055135
51,61|42,double,284.25,0,0,0,1,0,0.36696359515190125,,3,0.3508238395055135
