route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|67,863,False,False,False,False,False,0.47475950211827833,True
10|64,604,False,False,False,False,False,0.8208289180145488,True
66|67,748,False,False,False,False,False,0.4609583068271043,True
66|46,597,False,False,False,False,False,0.34246186193482786,True
21|48,1053,False,False,False,False,False,0.7670062547912224,True
21|64,894,False,False,False,False,False,1.1647372420889253,True
4|64,703,False,False,False,False,False,1.0160161019115654,True
10|9,813,False,False,False,False,False,1.3281890029910706,True
35|9,1308,False,False,False,False,False,0.668561807678855,True
35|48,1861,False,False,False,False,False,0.7101448110582165,True
21|9,489,False,False,False,False,False,0.9230439412490636,True
29|36,298,False,False,False,False,False,0.3337013049831657,True
29|55,478,False,False,False,False,False,0.29272035611343344,True
5|67,856,False,False,False,False,False,0.4448349694424482,True
10|64,605,False,False,False,False,False,0.786289608248504,True
66|67,745,False,False,False,False,False,0.477291753809853,True
66|46,600,False,False,False,False,False,0.3256547143127887,True
21|48,1052,False,False,False,False,False,0.7954186924068412,True
21|64,897,False,False,False,False,False,1.1866381904559902,True
4|64,704,False,False,False,False,False,0.956075015493426,True
10|9,815,False,False,False,False,False,1.2869712333877574,True
35|9,1303,False,False,False,False,False,0.6696416321014628,True
35|48,1859,False,False,False,False,False,0.7137204981981511,True
21|9,489,False,False,False,False,False,0.9621169554189377,True
29|36,296,False,False,False,False,False,0.31625611083377425,True
29|55,483,False,False,False,False,False,0.29188106411273623,True
5|67,863,False,False,False,False,False,0.4460806295512634,True
10|64,604,False,False,False,False,False,0.8263711941349101,True
66|67,747,False,False,False,False,False,0.4632731173598682,True
66|46,598,False,False,False,False,False,0.31783454547794415,True
21|48,1051,False,False,False,False,False,0.796976731727733,True
21|64,896,False,False,False,False,False,1.1380625176503285,True
4|64,702,False,False,False,False,False,0.9774517394189363,True
10|9,812,False,False,False,False,False,1.3177761025371597,True
35|9,1307,False,False,False,False,False,0.6855561624698395,True
35|48,1864,False,False,False,False,False,0.7159405181468158,True
21|9,491,False,False,False,False,False,0.9593710910031785,True
29|36,298,False,False,False,False,False,0.3061342494659224,True
29|55,484,False,False,False,False,False,0.30117509978743423,True
5|67,853,False,False,False,False,False,0.45589806448229414,True
10|64,600,False,False,False,False,False,0.8325796588198157,True
66|67,745,False,False,False,False,False,0.45600366707516427,True
66|46,595,False,False,False,False,False,0.33989953538356105,True
21|48,1055,False,False,False,False,False,0.7911372696851384,True
