,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,5|67,32m,858.8,0,0,0,0,0,0.3252016544342041,,5
1,10|64,32m,603.2,0,0,0,0,0,0.7114564895629882,,5
2,66|67,32m,352.6,0,0,0,0,4,0.19374054670333862,,1
3,66|46,32m,595.4,0,0,0,0,0,0.257933521270752,,5
4,21|48,32m,1050.4,0,0,0,0,0,0.7063838005065918,,5
5,21|64,32m,892.0,0,0,0,0,0,0.9737084388732911,,5
6,4|64,32m,698.8,0,0,0,0,0,0.8700495719909668,,5
7,10|9,32m,809.2,0,0,0,0,0,1.1346637725830078,,5
8,35|9,32m,1305.0,0,0,0,0,0,0.58711256980896,,5
9,35|48,32m,1643.4,0,0,0,1,0,0.5562665462493896,,4
10,21|9,32m,486.6,0,0,0,0,0,0.9268794059753418,,5
11,29|36,32m,293.6,0,0,0,0,0,0.23235721588134767,,5
12,29|55,32m,478.8,0,0,0,0,0,0.22777020931243896,,5
13,117|120,double,332.4,0,0,0,0,0,0.6100027561187744,,5
14,40|42,double,118.0,0,0,0,0,5,0.148271906375885,,0
15,40|10,double,355.0,0,0,0,0,0,0.25224282741546633,,5
16,34|112,double,294.6,0,2,0,0,0,1.3098727226257325,,3
17,11|10,double,94.8,0,0,0,0,5,0.131916344165802,,0
18,11|3,double,295.8,0,0,0,0,0,0.47275509834289553,,5
19,5|41,double,346.2,0,0,0,0,0,0.6528913974761963,,5
20,97|95,double,373.4,0,0,0,0,0,0.30761308670043946,,5
21,119|37,double,367.0,0,0,0,0,5,0.26079931259155276,,0
22,119|103,double,424.8,0,0,0,1,4,0.22981719970703124,,0
23,22|105,double,521.4,0,0,0,0,0,0.771568489074707,,5
24,22|26,double,710.0,0,0,0,0,0,0.9180127143859863,,5
25,22|76,double,972.6,0,0,0,1,0,0.9861093521118164,,4
26,16|103,double,110.2,1,0,0,4,0,0.19584461450576782,,0
27,16|111,double,369.2,0,0,0,2,0,0.2317124366760254,,3
28,96|26,double,426.2,0,0,0,0,0,0.7380757331848145,,5
29,96|76,double,708.8,0,0,0,0,0,0.9375531196594238,,5
30,58|111,double,318.4,0,0,0,0,0,0.20013077259063722,,5
31,31|120,double,450.0,0,0,0,0,0,0.90201416015625,,5
32,31|112,double,480.4,0,2,0,1,1,1.4252730369567872,,1
33,117|112,double,370.6,0,3,0,1,0,1.277073860168457,,1
34,117|41,double,496.0,0,0,0,1,0,1.124621868133545,,4
35,34|41,double,411.2,0,0,0,0,0,0.964439582824707,,5
36,34|43,double,424.4,0,0,0,0,0,1.2714768409729005,,5
37,5|43,double,361.6,0,0,0,0,0,1.0238447189331055,,5
38,5|120,double,506.6,0,0,0,0,0,1.1199569702148438,,5
39,73|74,double,109.2,0,0,0,0,5,0.4759434700012207,,0
40,73|37,double,106.4,0,0,0,0,5,0.42603425979614257,,0
41,15|94,double,728.8,0,0,0,0,0,0.7206624031066895,,5
42,15|105,double,790.2,0,0,0,0,0,0.9248497962951661,,5
43,15|26,double,975.2,0,0,0,0,0,1.0519189834594727,,5
44,55|94,double,911.4,0,0,0,0,0,0.8620247840881348,,5
45,55|105,double,954.6,0,0,0,0,0,1.0903217315673828,,5
46,96|94,double,1033.4,0,0,0,0,0,0.9140823364257813,,5
47,58|74,double,598.0,0,0,0,0,0,0.23768234252929688,,5
48,55|76,double,570.8,0,0,0,1,0,0.8427720069885254,,4
49,31|43,double,305.4,0,0,0,0,0,0.7151022911071777,,5
50,61|95,double,303.2,0,0,0,0,0,0.3329548120498657,,5
51,61|42,double,319.4,0,0,0,0,0,0.306609058380127,,5
