route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|67,865,False,False,False,False,False,0.33879273875344135,True
10|64,604,False,False,False,False,False,0.7195932470800773,True
66|67,747,False,False,False,False,False,0.3107494412490566,True
66|46,596,False,False,False,False,False,0.24220347276556078,True
21|48,1051,False,False,False,False,False,0.7041269850891579,True
21|64,893,False,False,False,False,False,0.9727816440000039,True
4|64,699,False,False,False,False,False,0.8834902445505621,True
10|9,809,False,False,False,False,False,1.134802487838163,True
35|9,1306,False,False,False,False,False,0.5969111232159445,True
35|48,1858,False,False,False,False,False,0.635978321311504,True
21|9,487,False,False,False,False,False,0.9166982920509877,True
29|36,292,False,False,False,False,False,0.2284400107683949,True
29|55,478,False,False,False,False,False,0.2274501992579007,True
5|67,860,False,False,False,False,False,0.3319054974386098,True
10|64,604,False,False,False,False,False,0.7118524137174631,True
66|67,259,False,False,False,False,True,0.16092919319819116,False
66|46,593,False,False,False,False,False,0.2540200716554941,True
21|48,1049,False,False,False,False,False,0.7085797687408614,True
21|64,893,False,False,False,False,False,0.9888745559361976,True
4|64,700,False,False,False,False,False,0.8390860990650002,True
10|9,809,False,False,False,False,False,1.1415088073586321,True
35|9,1307,False,False,False,False,False,0.6012817839031063,True
35|48,780,False,False,False,True,False,0.2384567619018693,False
21|9,486,False,False,False,False,False,0.9453164887835874,True
29|36,297,False,False,False,False,False,0.23212996780267825,True
29|55,482,False,False,False,False,False,0.22756793427255811,True
5|67,858,False,False,False,False,False,0.31742439559458663,True
10|64,601,False,False,False,False,False,0.7193429163108533,True
66|67,256,False,False,False,False,True,0.16391039106304772,False
66|46,595,False,False,False,False,False,0.2542259492701851,True
21|48,1054,False,False,False,False,False,0.6775475104160803,True
21|64,890,False,False,False,False,False,0.9518613499983712,True
4|64,699,False,False,False,False,False,0.8861941418306545,True
10|9,809,False,False,False,False,False,1.1252123777569123,True
35|9,1304,False,False,False,False,False,0.5737872747839784,True
35|48,1859,False,False,False,False,False,0.6379981774532486,True
21|9,486,False,False,False,False,False,0.8928801146341765,True
29|36,293,False,False,False,False,False,0.2269361567869075,True
29|55,479,False,False,False,False,False,0.23079484878026854,True
5|67,856,False,False,False,False,False,0.3245715101900251,True
10|64,602,False,False,False,False,False,0.7028652176381495,True
66|67,256,False,False,False,False,True,0.1634731535916577,False
66|46,598,False,False,False,False,False,0.26211572909350284,True
21|48,1046,False,False,False,False,False,0.7101415111816191,True
21|64,889,False,False,False,False,False,0.9676301042148667,True
4|64,698,False,False,False,False,False,0.8495000260940859,True
10|9,810,False,False,False,False,False,1.1234264480972667,True
35|9,1307,False,False,False,False,False,0.597140250014893,True
35|48,1861,False,False,False,False,False,0.6373951138466047,True
21|9,487,False,False,False,False,False,0.9192563599407582,True
29|36,293,False,False,False,False,False,0.24471286269628625,True
29|55,479,False,False,False,False,False,0.22847327291904002,True
5|67,855,False,False,False,False,False,0.3133142381922868,True
10|64,605,False,False,False,False,False,0.7036286026984512,True
66|67,245,False,False,False,False,True,0.16964059089302788,False
66|46,595,False,False,False,False,False,0.2771024909076502,True
21|48,1052,False,False,False,False,False,0.7315231489530782,True
21|64,895,False,False,False,False,False,0.9873944336372185,True
4|64,698,False,False,False,False,False,0.8919774113953622,True
10|9,809,False,False,False,False,False,1.148368636129208,True
35|9,1301,False,False,False,False,False,0.5664424920771249,True
35|48,1859,False,False,False,False,False,0.6315042187203866,True
21|9,487,False,False,False,False,False,0.9602457636717704,True
29|36,293,False,False,False,False,False,0.22956706723511622,True
29|55,476,False,False,False,False,False,0.224564832875313,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
117|120,337,False,False,False,False,False,0.6113038837583894,True
40|42,117,False,False,False,False,True,0.1569179538886288,False
40|10,359,False,False,False,False,False,0.25414776000803657,True
34|112,270,False,True,False,False,False,1.4039206155498376,False
11|10,94,False,False,False,False,True,0.12769317911103392,False
11|3,292,False,False,False,False,False,0.4714599145478487,True
5|41,346,False,False,False,False,False,0.6781672291385324,True
97|95,374,False,False,False,False,False,0.32329683708552975,True
119|37,366,False,False,False,False,True,0.2615692865073492,False
119|103,442,False,False,False,False,True,0.2186675598117385,False
22|105,521,False,False,False,False,False,0.7734608261376695,True
22|26,709,False,False,False,False,False,0.9522800849741432,True
22|76,898,False,False,False,True,False,1.016366251449198,False
16|103,108,False,False,False,True,False,0.17994747678330714,False
16|111,257,False,False,False,True,False,0.19628487069132097,False
96|26,424,False,False,False,False,False,0.7854313217258817,True
96|76,710,False,False,False,False,False,0.9720921888982844,True
58|111,319,False,False,False,False,False,0.19438519481829644,True
31|120,449,False,False,False,False,False,0.9169670855649636,True
31|112,418,False,False,False,True,False,1.2892980573709838,False
117|112,415,False,False,False,False,False,1.2516596635966368,True
117|41,523,False,False,False,False,False,1.0561457958306597,True
34|41,408,False,False,False,False,False,0.9650419521452732,True
34|43,423,False,False,False,False,False,1.2978751341109422,True
5|43,364,False,False,False,False,False,1.0573989154680599,True
5|120,507,False,False,False,False,False,1.0770555465382046,True
73|74,108,False,False,False,False,True,0.4635862820255058,False
73|37,101,False,False,False,False,True,0.46353239929547885,False
15|94,726,False,False,False,False,False,0.7184026535165637,True
15|105,786,False,False,False,False,False,0.9152155963623996,True
15|26,973,False,False,False,False,False,1.0767522210563474,True
55|94,910,False,False,False,False,False,0.8559063929429742,True
55|105,951,False,False,False,False,False,1.106788677044639,True
96|94,1034,False,False,False,False,False,0.90570345462363,True
58|74,599,False,False,False,False,False,0.23750790938635077,True
55|76,498,False,False,False,True,False,0.9065956356833458,False
31|43,305,False,False,False,False,False,0.726448924921606,True
61|95,304,False,False,False,False,False,0.3598440273645005,True
61|42,317,False,False,False,False,False,0.28972740628974497,True
117|120,332,False,False,False,False,False,0.6246080167257191,True
