,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,117|120,double,339.4,0,0,0,0,0,0.6703275680541992,0.6497728824615479,,5
1,40|42,double,124.4,0,0,0,0,5,0.1509913206100464,0.3051162242889404,,0
2,40|10,double,369.6,0,0,0,0,0,0.2860791921615601,0.36774253845214844,,5
3,34|112,double,311.2,0,0,0,0,0,1.2302615165710449,1.0599354743957519,,5
4,11|10,double,86.2,0,0,0,1,4,0.16037395000457763,0.24425208568572998,,0
5,11|3,double,306.4,0,0,0,0,0,0.3215484142303467,0.3428182601928711,,5
6,5|41,double,355.2,0,0,0,0,0,0.7287999629974365,0.8341069221496582,,5
7,97|95,double,381.2,0,0,0,0,0,0.4326347351074219,0.49234538078308104,,5
8,119|37,double,376.0,0,0,0,0,5,0.27039456367492676,0.2826841831207275,,0
9,119|103,double,437.2,0,0,0,1,4,0.28727355003356936,0.2875157117843628,,0
10,22|105,double,529.8,0,0,0,0,0,0.9660079002380371,0.9837830543518067,,5
11,5|67,32m,872.6,0,0,0,0,0,0.45302534103393555,0.5393426895141602,,5
12,10|64,32m,619.2,0,0,0,0,0,0.8209587097167969,0.8032882690429688,,5
13,22|26,double,720.6,0,0,0,0,0,1.0435113906860352,0.7959623336791992,,5
14,66|67,32m,763.6,0,0,0,0,0,0.47823519706726075,0.45352849960327146,,5
15,22|76,double,1006.2,0,0,0,0,0,1.1706060409545898,0.8487276077270508,,5
16,16|103,double,118.2,2,0,0,1,2,0.22503793239593506,0.07178025245666504,,0
17,66|46,32m,611.8,0,0,0,0,0,0.3580376386642456,0.38984506130218505,,5
18,16|111,double,460.4,0,0,0,0,0,0.3451129674911499,0.3844165802001953,,5
19,96|26,double,440.0,0,0,0,0,0,0.7878376483917237,0.6709439277648925,,5
20,21|48,32m,957.8,0,0,0,1,0,0.8952364921569824,0.6807075023651123,,4
21,96|76,double,706.2,0,0,0,1,0,1.0940449714660645,0.8074785232543945,,4
22,58|111,double,329.0,0,0,0,0,0,0.3044761657714844,0.1435350298881531,,5
23,21|64,32m,911.6,0,0,0,0,0,1.1421092987060546,0.8129257202148438,,5
24,31|120,double,463.8,0,0,0,0,0,1.016067886352539,0.6463934898376464,,5
25,4|64,32m,713.8,0,0,0,0,0,0.9454283714294434,0.6780539512634277,,5
26,31|112,double,546.2,0,0,0,0,0,1.5025052070617675,0.8184832572937012,,5
27,117|112,double,420.8,0,0,0,0,0,1.2906336784362793,0.8693547248840332,,5
28,10|9,32m,826.2,0,0,0,0,0,1.245799446105957,0.8745719909667968,,5
29,117|41,double,406.0,0,0,0,0,4,1.385505485534668,0.714716100692749,,1
30,34|41,double,295.2,0,0,0,0,4,1.1992188453674317,0.7579187393188477,,1
31,34|43,double,438.8,0,0,0,0,0,1.386707878112793,0.6390521049499511,,5
32,5|43,double,344.2,0,0,0,0,1,1.0494579315185546,0.7172509670257569,,4
33,35|9,32m,1320.8,0,0,0,0,0,0.6480533599853515,0.528208065032959,,5
34,5|120,double,520.6,0,0,0,0,0,1.2237844467163086,0.6905584335327148,,5
35,73|74,double,110.6,0,0,0,0,5,0.4472362518310547,0.3700676918029785,,0
36,73|37,double,109.2,0,0,0,0,5,0.4176630020141602,0.37334651947021485,,0
37,15|94,double,748.8,0,0,0,0,0,0.885133934020996,0.9588641166687012,,5
38,35|48,32m,1879.4,0,0,0,0,0,0.7147548198699951,0.5582470417022705,,5
39,21|9,32m,502.2,0,0,0,0,0,0.9526007652282715,0.8994414329528808,,5
40,15|105,double,799.6,0,0,0,0,0,1.1499984741210938,1.0402793884277344,,5
41,29|36,32m,305.8,0,0,0,0,0,0.3108528137207031,0.2846186876296997,,5
42,29|55,32m,495.2,0,0,0,0,0,0.2961933135986328,0.27390875816345217,,5
43,15|26,double,989.8,0,0,0,0,0,1.21310453414917,0.9332653999328613,,5
44,55|94,double,927.2,0,0,0,0,0,1.032792091369629,0.8313240051269531,,5
45,55|105,double,972.4,0,0,0,0,0,1.299961471557617,0.9583514213562012,,5
46,96|94,double,1050.2,0,0,0,0,0,1.1053582191467286,0.8425748825073243,,5
47,58|74,double,498.8,0,0,0,1,0,0.2810153245925903,0.3651722431182861,,4
48,55|76,double,600.2,0,0,0,0,0,0.9656676292419434,0.7937763690948486,,5
49,31|43,double,310.4,0,0,0,0,0,0.8336660385131835,0.6648983478546142,,5
50,61|95,double,312.6,0,0,0,0,0,0.44137139320373536,0.3072171211242676,,5
51,61|42,double,326.0,0,0,0,0,0,0.33010618686676024,0.4934990406036377,,5
