route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,336,False,False,False,False,False,0.6421299828737105,0.6200824654634918,True
40|42,118,False,False,False,False,True,0.1277258276973903,0.28700061114372255,False
40|10,356,False,False,False,False,False,0.29100367507261454,0.3540269713929129,True
34|112,303,False,False,False,False,False,1.2421458860685213,1.0780862403644094,True
11|10,91,False,False,False,False,True,0.14386707672784935,0.2774959342773224,False
11|3,292,False,False,False,False,False,0.3645284191298594,0.3511013451105304,True
5|41,353,False,False,False,False,False,0.7471404624587339,0.8573999186765863,True
97|95,381,False,False,False,False,False,0.49473207160935945,0.5502459318694487,True
119|37,383,False,False,False,False,True,0.2898494346289519,0.2906517146400064,False
119|103,457,False,False,False,False,True,0.27747615147704296,0.3163348773289656,False
22|105,534,False,False,False,False,False,0.9779570816439456,1.000968999098854,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,874,False,False,False,False,False,0.46405118163547415,0.5592417389917439,True
10|64,621,False,False,False,False,False,0.8262544825220649,0.8026507891048658,True
22|26,724,False,False,False,False,False,1.0202516032291147,0.7766039125554177,True
66|67,765,False,False,False,False,False,0.49549833313115155,0.4559759513490355,True
22|76,1012,False,False,False,False,False,1.1675198865474499,0.8493088262137132,True
16|103,121,True,False,False,False,False,0.22440010935339508,0.0647936303260319,False
66|46,613,False,False,False,False,False,0.3631969520179535,0.3557504987253551,True
16|111,469,False,False,False,False,False,0.3613137249844367,0.3853441295395379,True
96|26,446,False,False,False,False,False,0.7460212227856908,0.6351462575422374,True
21|48,1069,False,False,False,False,False,0.7817966891111416,0.621763064757899,True
96|76,729,False,False,False,False,False,1.0726351859317145,0.8079644581370721,True
58|111,334,False,False,False,False,False,0.3297804235314074,0.1424323369067042,True
21|64,909,False,False,False,False,False,1.136037716653031,0.8089426262093609,True
31|120,469,False,False,False,False,False,1.0396289209833653,0.6508637327259644,True
4|64,716,False,False,False,False,False,0.9346576593345327,0.6700427947933986,True
31|112,550,False,False,False,False,False,1.51280527801482,0.8290242818050416,True
117|112,423,False,False,False,False,False,1.2255849653086535,0.8297357007439548,True
10|9,831,False,False,False,False,False,1.2168901249085498,0.8463388453021912,True
117|41,385,False,False,False,False,True,1.4442999396803544,0.7340176679437677,False
34|41,270,False,False,False,False,True,1.2231126512614114,0.7481262326060331,False
34|43,440,False,False,False,False,False,1.334435523378836,0.6125904056194567,True
5|43,244,False,False,False,False,True,0.9196219831764365,0.8701579058994258,False
35|9,1322,False,False,False,False,False,0.6383661446140547,0.5098418446239812,True
5|120,523,False,False,False,False,False,1.1662960286711643,0.6491996020470937,True
73|74,113,False,False,False,False,True,0.46389540647974015,0.35996260125638685,False
73|37,111,False,False,False,False,True,0.39760929357079344,0.3755489320126728,False
15|94,758,False,False,False,False,False,0.8791189329272604,0.9572965375726202,True
35|48,1879,False,False,False,False,False,0.699716395568019,0.5424579413496315,True
21|9,506,False,False,False,False,False,0.9142999812011245,0.864257015826735,True
15|105,803,False,False,False,False,False,1.133442199425483,1.023269775446458,True
29|36,308,False,False,False,False,False,0.3062348756038702,0.26352569868052256,True
29|55,499,False,False,False,False,False,0.31213901043218034,0.271227154305562,True
15|26,992,False,False,False,False,False,1.237250815616368,0.9570036664354106,True
5|67,874,False,False,False,False,False,0.4414816894406889,0.5117729759237046,True
55|94,930,False,False,False,False,False,1.0197598327814228,0.8181509031466936,True
10|64,622,False,False,False,False,False,0.7853861375261688,0.7647261126608077,True
55|105,975,False,False,False,False,False,1.2987094967463948,0.9589257192052985,True
66|67,762,False,False,False,False,False,0.46786371745120664,0.4324207692420456,True
66|46,614,False,False,False,False,False,0.33740629215752377,0.3939746024232587,True
96|94,1051,False,False,False,False,False,1.060019367986672,0.8021803106300546,True
21|48,1067,False,False,False,False,False,0.761514377734439,0.6147574430396575,True
58|74,618,False,False,False,False,False,0.3141192894978809,0.42572757754027607,True
55|76,607,False,False,False,False,False,0.9493730716427623,0.7785764242320953,True
21|64,918,False,False,False,False,False,1.1780567093833596,0.8478514695017858,True
31|43,317,False,False,False,False,False,0.7704759811136087,0.6634395448645152,True
61|95,320,False,False,False,False,False,0.45721723378303686,0.2838777124054287,True
4|64,716,False,False,False,False,False,0.9391765989409915,0.6682712429093519,True
61|42,335,False,False,False,False,False,0.3621682695943812,0.4752532158490898,True
117|120,347,False,False,False,False,False,0.6670521425107796,0.6378720769627686,True
40|42,139,False,False,False,False,True,0.17167295673384683,0.30637785931365347,False
10|9,829,False,False,False,False,False,1.2304047740395343,0.8614955759681837,True
40|10,381,False,False,False,False,False,0.2955515754862967,0.3862588395506503,True
34|112,319,False,False,False,False,False,1.0791212722948398,0.9372472007564835,True
11|10,99,False,False,False,False,True,0.14828626020690416,0.3058908883578015,False
11|3,318,False,False,False,False,False,0.2778656765281677,0.33956712909155506,True
