,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,117|120,16m,328.4,0,0,0,0,0,0.7435672283172607,0.7328959465026855,,5
1,40|42,16m,206.6,0,0,0,0,0,1.5652929306030274,0.8646878242492676,,5
2,40|10,16m,357.6,0,0,0,0,0,0.9925521850585938,0.8829986572265625,,5
3,34|112,16m,301.2,0,0,0,0,0,1.1943046569824218,1.0213713645935059,,5
4,11|10,16m,237.8,0,0,0,0,0,1.6182575225830078,0.9418457984924317,,5
5,5|67,32m,860.8,0,0,0,0,0,1.0867416381835937,1.117959690093994,,5
6,11|3,16m,302.4,0,0,0,0,0,0.625344181060791,0.4507009983062744,,5
7,10|64,32m,594.0,0,0,0,0,0,0.6397974967956543,0.6430041313171386,,5
8,5|41,16m,338.4,0,0,0,0,0,0.7968883514404297,0.9362286567687989,,5
9,97|95,16m,375.0,0,0,0,0,0,1.3219993591308594,1.2579584121704102,,5
10,66|67,32m,762.8,0,0,0,0,0,1.2380923271179198,1.0371910095214845,,5
11,119|37,50m,469.0,0,0,0,0,0,1.7963088989257812,1.3855395317077637,,5
12,66|46,32m,593.2,0,0,0,0,0,1.3984939575195312,1.360467529296875,,5
13,119|103,50m,523.6,0,0,0,0,0,1.3257369995117188,1.1013554573059081,,5
14,22|105,50m,516.2,0,0,0,0,0,1.1103866577148438,1.1278505325317383,,5
15,21|48,32m,1035.6,0,0,0,0,0,0.6777520179748535,0.5595977783203125,,5
16,22|26,50m,694.6,0,0,0,0,0,0.808952808380127,0.6553140640258789,,5
17,21|64,32m,882.2,0,0,0,0,0,0.962524700164795,0.6407686233520508,,5
18,22|76,50m,991.2,0,0,0,0,0,1.1282340049743653,0.8233354568481446,,5
19,4|64,32m,689.4,0,0,0,0,0,0.7389400959014892,0.4994804382324219,,5
20,16|103,50m,245.6,0,0,0,0,0,2.100210762023926,1.3046605110168457,,5
21,16|111,50m,444.2,0,0,0,0,0,1.3921300888061523,1.3535378456115723,,5
22,10|9,32m,800.2,0,0,0,0,0,1.0545475006103515,0.6757882118225098,,5
23,96|26,50m,413.8,0,0,0,0,0,0.5527259826660156,0.5874353408813476,,5
24,96|76,50m,704.8,0,0,0,0,0,1.0130098342895508,0.7670684814453125,,5
25,35|9,32m,1288.2,0,0,0,0,0,0.789976692199707,0.6779411315917969,,5
26,58|111,50m,324.4,0,0,0,0,0,1.751177978515625,1.471682071685791,,5
27,31|120,16m,193.0,0,0,0,0,5,0.8397930145263672,1.1367657661437989,,0
28,31|112,16m,191.4,0,0,0,0,5,0.8512628555297852,1.0878450393676757,,0
29,117|112,16m,402.2,0,0,0,0,0,1.4559186935424804,1.0512506484985351,,5
30,117|41,16m,209.0,0,0,0,0,5,0.9450777053833008,0.9478781700134278,,0
31,35|48,32m,1129.6,0,0,0,0,5,0.9407777786254883,0.7233743667602539,,0
32,34|41,16m,403.6,0,0,0,0,0,1.100318145751953,0.8180644989013672,,5
33,21|9,32m,481.2,0,0,0,0,0,0.7278100967407226,0.6973523139953614,,5
34,34|43,16m,193.2,0,0,0,0,5,0.8956671714782715,0.814735221862793,,0
35,5|43,16m,165.6,0,0,0,0,5,1.1257771492004394,1.2959856033325194,,0
36,29|36,32m,304.2,0,0,0,0,0,1.6115558624267579,1.107448196411133,,5
37,5|120,16m,165.2,0,0,0,0,5,1.406210708618164,1.5571346282958984,,0
38,29|55,32m,479.6,0,0,0,0,0,1.4182411193847657,1.1533469200134276,,5
39,73|74,50m,409.4,0,0,0,0,0,2.0819046020507814,1.6114227294921875,,5
40,73|37,50m,745.8,0,0,0,0,0,1.6996795654296875,1.555478286743164,,5
41,15|94,50m,737.2,0,0,0,0,0,1.1860353469848632,1.2758495330810546,,5
42,15|105,50m,781.4,0,0,0,0,0,1.3489730834960938,1.2331598281860352,,5
43,15|26,50m,958.8,0,0,0,0,0,1.130889320373535,0.8743427276611329,,5
44,55|94,50m,907.4,0,0,0,0,0,1.2157516479492188,1.0258424758911133,,5
45,55|105,50m,950.8,0,0,0,0,0,1.4099442481994628,1.0643187522888184,,5
46,96|94,50m,1031.0,0,0,0,0,0,1.3232457160949707,1.0699078559875488,,5
47,58|74,50m,588.2,0,0,0,0,0,1.563913345336914,1.6304174423217774,,5
48,55|76,50m,578.8,0,0,0,0,0,0.7958194732666015,0.6553590774536133,,5
49,31|43,16m,301.6,0,0,0,0,0,1.049839401245117,0.9754092216491699,,5
50,61|95,16m,313.0,0,0,0,0,0,1.6820486068725586,1.2802789688110352,,5
51,61|42,16m,307.2,0,0,0,0,0,1.1548748016357422,1.2766539573669433,,5
