route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,330,False,False,False,False,False,0.6748892594546979,0.6664376437845281,True
40|42,205,False,False,False,False,False,1.5568768317090818,0.8622219257145854,True
40|10,351,False,False,False,False,False,0.905280886829282,0.7960314179291558,True
34|112,302,False,False,False,False,False,1.193107596457805,1.0098069449270708,True
11|10,237,False,False,False,False,False,1.6053539070859295,0.9262230715407213,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,868,False,False,False,False,False,1.045081835122465,1.0768271600681876,True
11|3,300,False,False,False,False,False,0.640630725632924,0.4664646800076426,True
10|64,595,False,False,False,False,False,0.634141538895765,0.6430035241506898,True
5|41,337,False,False,False,False,False,0.7805038416799803,0.9244218081688603,True
97|95,375,False,False,False,False,False,1.3420475459894121,1.2774535241323044,True
66|67,765,False,False,False,False,False,1.1961125358938227,0.9952922774278297,True
119|37,467,False,False,False,False,False,1.771290204558566,1.358366578133573,True
66|46,594,False,False,False,False,False,1.3726436557620227,1.3399985364174547,True
119|103,521,False,False,False,False,False,1.2756841766255949,1.0759692686128004,True
22|105,513,False,False,False,False,False,1.1272386455807166,1.1459771154137843,True
21|48,1036,False,False,False,False,False,0.6735111278536466,0.5546900048567902,True
22|26,694,False,False,False,False,False,0.8192553903920701,0.6663397687270405,True
21|64,880,False,False,False,False,False,0.9634984009528376,0.6403688403539796,True
22|76,992,False,False,False,False,False,1.0822277715681927,0.7849356368185919,True
4|64,692,False,False,False,False,False,0.7587395300543469,0.5191345070686124,True
16|103,244,False,False,False,False,False,2.178189970956023,1.3821490934035132,True
16|111,446,False,False,False,False,False,1.4556510973039543,1.4360023703067517,True
10|9,799,False,False,False,False,False,1.0432358202857217,0.6609062646177158,True
96|26,416,False,False,False,False,False,0.5491521591960759,0.5859188896478212,True
96|76,708,False,False,False,False,False,1.0134081783849904,0.7737777407003305,True
35|9,1288,False,False,False,False,False,0.8028730856755057,0.6906199352124132,True
58|111,324,False,False,False,False,False,1.7809790023049927,1.4930139987070261,True
31|120,188,False,False,False,False,True,0.8388262245920663,1.1426892560171382,False
31|112,189,False,False,False,False,True,0.8569698722415799,1.0941299635741257,False
117|112,405,False,False,False,False,False,1.4415271415840738,1.0365971595484424,True
117|41,206,False,False,False,False,True,0.9643796914632561,0.9806359587889869,False
35|48,1139,False,False,False,False,True,0.9170466491819057,0.695584045655316,False
34|41,405,False,False,False,False,False,1.094888070446146,0.8168673868671044,True
21|9,482,False,False,False,False,False,0.7164399977824236,0.683279326518019,True
34|43,196,False,False,False,False,True,0.9066404274899604,0.788976940769704,False
5|43,165,False,False,False,False,True,1.1233506089876217,1.292445421712663,False
29|36,304,False,False,False,False,False,1.5865213884507308,1.0832731258655552,True
5|120,164,False,False,False,False,True,1.4359417362591653,1.5789464761373966,False
29|55,480,False,False,False,False,False,1.4238242750330596,1.140707785982885,True
73|74,413,False,False,False,False,False,2.137221752154246,1.6637670823424489,True
5|67,859,False,False,False,False,False,1.0751895079904301,1.104523136853453,True
73|37,746,False,False,False,False,False,1.7051359661460461,1.5621846348924704,True
10|64,591,False,False,False,False,False,0.6323631150609421,0.6438996294102509,True
15|94,735,False,False,False,False,False,1.2094389369080296,1.2931746576627061,True
66|67,760,False,False,False,False,False,1.2545483988845878,1.052857382122228,True
15|105,782,False,False,False,False,False,1.3093023527918852,1.1965812438130172,True
66|46,590,False,False,False,False,False,1.3607892981673122,1.3268252395960978,True
15|26,961,False,False,False,False,False,1.103563519102748,0.8474513280463224,True
21|48,1037,False,False,False,False,False,0.6948997358533322,0.5757768402825147,True
55|94,907,False,False,False,False,False,1.1964477441375252,1.0074770762265257,True
21|64,883,False,False,False,False,False,0.9462262095873439,0.6210811931532465,True
4|64,690,False,False,False,False,False,0.7639979130699174,0.5131228595782645,True
55|105,953,False,False,False,False,False,1.373161724846458,1.0266817923703773,True
10|9,800,False,False,False,False,False,1.0849125114037088,0.7101268005604706,True
96|94,1031,False,False,False,False,False,1.299100067071495,1.0504348572498625,True
58|74,586,False,False,False,False,False,1.5991986642380027,1.6676642816271308,True
35|9,1287,False,False,False,False,False,0.7532892619002538,0.6406580881388214,True
55|76,580,False,False,False,False,False,0.7715681171162543,0.6378495231278069,True
31|43,300,False,False,False,False,False,0.9855067717907696,0.9128439355109542,True
61|95,311,False,False,False,False,False,1.6641380872121199,1.2617492983928822,True
35|48,1123,False,False,False,False,True,0.9750004696570733,0.7615136159037531,False
61|42,306,False,False,False,False,False,1.2234969058425262,1.363444521549879,True
21|9,480,False,False,False,False,False,0.7159071831765619,0.6908949644567729,True
117|120,325,False,False,False,False,False,0.7631400090400907,0.7531583285175074,True
40|42,206,False,False,False,False,False,1.5716908805019776,0.8703651213772434,True
29|36,306,False,False,False,False,False,1.6445882712916735,1.1379261915501793,True
40|10,360,False,False,False,False,False,1.0180861428895684,0.920429824342613,True
29|55,481,False,False,False,False,False,1.4719240078898221,1.2449072937855914,True
34|112,300,False,False,False,False,False,1.184204024105775,1.0121112413692,True
11|10,236,False,False,False,False,False,1.5504893889225662,0.8861600866075452,True
11|3,303,False,False,False,False,False,0.5983247999024763,0.44756215691306683,True
5|67,859,False,False,False,False,False,1.1428695206012343,1.175784907161814,True
5|41,338,False,False,False,False,False,0.8154678510711166,0.9460942623390359,True
10|64,596,False,False,False,False,False,0.6630928323115329,0.6651541244895757,True
97|95,378,False,False,False,False,False,1.3354851155281544,1.2811857382532383,True
119|37,467,False,False,False,False,False,1.7902856415912116,1.3785029616202542,True
66|67,763,False,False,False,False,False,1.2235389573913003,1.021873439061504,True
119|103,528,False,False,False,False,False,1.3331374828154365,1.0857193275677137,True
66|46,590,False,False,False,False,False,1.455674071520646,1.4193800887944474,True
22|105,516,False,False,False,False,False,1.0825270765262003,1.0992529122365033,True
21|48,1038,False,False,False,False,False,0.6887171044255535,0.5648535705179081,True
22|26,695,False,False,False,False,False,0.8163236604489007,0.6621487980702104,True
21|64,883,False,False,False,False,False,0.967999772127479,0.6445451461691031,True
22|76,990,False,False,False,False,False,1.204288588677292,0.8921733534102412,True
16|103,246,False,False,False,False,False,2.0613583617664966,1.2651513724532952,True
4|64,689,False,False,False,False,False,0.724651174603077,0.4844064310353038,True
16|111,443,False,False,False,False,False,1.4143798138182166,1.3838427523238535,True
96|26,415,False,False,False,False,False,0.5284315144567118,0.5727935924290927,True
10|9,798,False,False,False,False,False,1.0580672550036605,0.6789765539147499,True
96|76,705,False,False,False,False,False,1.043571562808754,0.797861855621135,True
58|111,323,False,False,False,False,False,1.6886468342384353,1.434925938222764,True
31|120,188,False,False,False,False,True,0.8364778170622277,1.1430400700455752,False
35|9,1295,False,False,False,False,False,0.7980197701261545,0.6845544290750812,True
31|112,193,False,False,False,False,True,0.8659913284205383,1.089166963830371,False
117|112,405,False,False,False,False,False,1.4742157791951929,1.070585063232703,True
117|41,209,False,False,False,False,True,1.0163852006955099,1.0161538436618645,False
35|48,1131,False,False,False,False,True,0.9449952966519758,0.7293958243899207,False
34|41,406,False,False,False,False,False,1.1193812250604136,0.8397289902729052,True
34|43,194,False,False,False,False,True,0.9375563843624687,0.830240721399772,False
5|43,166,False,False,False,False,True,1.1573459776641746,1.330575562646799,False
21|9,479,False,False,False,False,False,0.721014362595965,0.6876250459365746,True
5|120,165,False,False,False,False,True,1.4128528068313075,1.566808025746037,False
29|36,306,False,False,False,False,False,1.6395988624378484,1.134753259373826,True
73|74,406,False,False,False,False,False,2.0669298236821874,1.6010271417804771,True
29|55,479,False,False,False,False,False,1.3588404370096698,1.0750428123668465,True
73|37,744,False,False,False,False,False,1.6650803759209272,1.533078084066484,True
5|67,860,False,False,False,False,False,1.1151684860858544,1.1450342012004224,True
15|94,741,False,False,False,False,False,1.1596703142304814,1.2453644658388743,True
10|64,595,False,False,False,False,False,0.6325118070218088,0.6281232790213046,True
15|105,781,False,False,False,False,False,1.3623952447468735,1.2462502128393969,True
66|67,764,False,False,False,False,False,1.2760731891545252,1.074774472696059,True
