route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,867,False,False,False,False,False,1.0474524285572762,0,True
10|64,588,False,False,False,False,False,0.6230637630836113,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,331,False,False,False,False,False,0.7430804221417463,0,True
66|67,762,False,False,False,False,False,1.2716423203401697,0,True
40|42,205,False,False,False,False,False,1.5613205983933922,0,True
40|10,362,False,False,False,False,False,0.8343807396981467,0,True
66|46,593,False,False,False,False,False,1.4338379226161049,0,True
34|112,301,False,False,False,False,False,1.142952200956149,0,True
11|10,237,False,False,False,False,False,1.6198515136842744,0,True
11|3,303,False,False,False,False,False,0.6136041549798265,0,True
5|41,187,False,False,False,False,True,0.8749927936918249,0,False
21|48,1033,False,False,False,False,False,0.6992104084651762,0,True
97|95,375,False,False,False,False,False,1.3284660162538893,0,True
119|37,474,False,False,False,False,False,1.9230745011047856,0,True
21|64,882,False,False,False,False,False,0.9337458692707552,0,True
119|103,524,False,False,False,False,False,1.2690802617049575,0,True
4|64,685,False,False,False,False,False,0.7186954781349931,0,True
22|105,515,False,False,False,False,False,1.065645995354153,0,True
10|9,802,False,False,False,False,False,1.0665374851212979,0,True
22|26,693,False,False,False,False,False,0.795588461722901,0,True
35|9,1286,False,False,False,False,False,0.820215838057447,0,True
22|76,993,False,False,False,False,False,1.1203717418766803,0,True
16|103,243,False,False,False,False,False,2.013536899113423,0,True
16|111,444,False,False,False,False,False,1.4908739961011492,0,True
35|48,1140,False,False,False,False,True,0.9728999412701015,0,False
96|26,417,False,False,False,False,False,0.5622003220689699,0,True
21|9,483,False,False,False,False,False,0.7622917859182019,0,True
96|76,707,False,False,False,False,False,0.9980769229985615,0,True
29|36,305,False,False,False,False,False,1.5616536513618975,0,True
58|111,325,False,False,False,False,False,1.8329268396186111,0,True
29|55,479,False,False,False,False,False,1.4459321174969255,0,True
31|120,193,False,False,False,False,True,0.8209136895762372,0,False
31|112,197,False,False,False,False,True,0.8649571890104482,0,False
117|112,403,False,False,False,False,False,1.4523759922476513,0,True
5|67,859,False,False,False,False,False,1.0802709724421267,0,True
117|41,207,False,False,False,False,True,0.9308368138796439,0,False
34|41,406,False,False,False,False,False,1.108547207880629,0,True
10|64,595,False,False,False,False,False,0.6582378117147754,0,True
34|43,193,False,False,False,False,True,0.9164953541633454,0,False
5|43,164,False,False,False,False,True,1.17741799542168,0,False
5|120,165,False,False,False,False,True,1.4348684828226277,0,False
66|67,762,False,False,False,False,False,1.2359539307567908,0,True
73|74,414,False,False,False,False,False,2.0430426877981223,0,True
66|46,591,False,False,False,False,False,1.493428751969541,0,True
73|37,743,False,False,False,False,False,1.7471784632559066,0,True
21|48,1039,False,False,False,False,False,0.7051276474712767,0,True
15|94,735,False,False,False,False,False,1.1723523246749417,0,True
21|64,886,False,False,False,False,False,0.9431629821433132,0,True
15|105,782,False,False,False,False,False,1.3435232160277844,0,True
4|64,687,False,False,False,False,False,0.7314089711161366,0,True
15|26,958,False,False,False,False,False,1.0992792120603285,0,True
10|9,804,False,False,False,False,False,1.0447194868003644,0,True
55|94,909,False,False,False,False,False,1.2580727114651957,0,True
35|9,1290,False,False,False,False,False,0.8293177439939468,0,True
55|105,949,False,False,False,False,False,1.4172638364794612,0,True
35|48,1120,False,False,False,False,True,0.929447505248374,0,False
96|94,1028,False,False,False,False,False,1.3433943667886208,0,True
21|9,481,False,False,False,False,False,0.71765634658353,0,True
58|74,585,False,False,False,False,False,1.5820813596062453,0,True
29|36,304,False,False,False,False,False,1.6302637325368061,0,True
29|55,479,False,False,False,False,False,1.4221605905972887,0,True
55|76,579,False,False,False,False,False,0.8225199133166133,0,True
31|43,301,False,False,False,False,False,1.1486076863806527,0,True
61|95,313,False,False,False,False,False,1.636910453868967,0,True
5|67,858,False,False,False,False,False,1.1404323817775384,0,True
61|42,307,False,False,False,False,False,1.0975449663086425,0,True
10|64,593,False,False,False,False,False,0.6413054122518351,0,True
117|120,328,False,False,False,False,False,0.7716420687419655,0,True
40|42,206,False,False,False,False,False,1.4893061004240173,0,True
40|10,360,False,False,False,False,False,0.8351035346107265,0,True
66|67,763,False,False,False,False,False,1.2462036593257557,0,True
34|112,303,False,False,False,False,False,1.2105590797086279,0,True
11|10,237,False,False,False,False,False,1.7250428634820996,0,True
66|46,593,False,False,False,False,False,1.3893982310276694,0,True
11|3,302,False,False,False,False,False,0.6816651938419298,0,True
5|41,338,False,False,False,False,False,0.8325163629496659,0,True
97|95,372,False,False,False,False,False,1.2698409052650155,0,True
21|48,1036,False,False,False,False,False,0.6933403153769939,0,True
119|37,470,False,False,False,False,False,1.8050109628551796,0,True
119|103,523,False,False,False,False,False,1.2861749755000051,0,True
21|64,884,False,False,False,False,False,0.9928383341548312,0,True
22|105,517,False,False,False,False,False,1.1260033368461175,0,True
4|64,693,False,False,False,False,False,0.7407775721773256,0,True
22|26,696,False,False,False,False,False,0.8207575655455129,0,True
10|9,804,False,False,False,False,False,1.095976140699543,0,True
22|76,991,False,False,False,False,False,1.1641586968581839,0,True
16|103,241,False,False,False,False,False,2.074976110919681,0,True
35|9,1290,False,False,False,False,False,0.8222038685135364,0,True
16|111,444,False,False,False,False,False,1.3286693430598842,0,True
96|26,416,False,False,False,False,False,0.546248167099662,0,True
35|48,1132,False,False,False,False,True,0.9348188467434004,0,False
96|76,702,False,False,False,False,False,1.014965481117764,0,True
21|9,479,False,False,False,False,False,0.7376680442991501,0,True
58|111,323,False,False,False,False,False,1.8046758958886566,0,True
29|36,300,False,False,False,False,False,1.542404551871244,0,True
31|120,188,False,False,False,False,True,0.8717302106537167,0,False
31|112,192,False,False,False,False,True,0.9109347963692473,0,False
29|55,479,False,False,False,False,False,1.442519387233718,0,True
117|112,405,False,False,False,False,False,1.4898941582284635,0,True
117|41,210,False,False,False,False,True,0.9029315078985075,0,False
