,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,117|120,double,329.6,0,0,0,0,0,0.7945692062377929,0.8625318527221679,,5
1,40|42,double,644.2,0,0,5,0,0,0.0937796950340271,0.31870863437652586,,0
2,5|67,32m,1620.4,0,0,0,0,0,0.42171306610107423,0.41221323013305666,,5
3,40|10,double,629.4,0,0,0,0,0,0.2731581687927246,0.30802743434906005,,5
4,10|64,32m,588.8,0,0,0,0,0,0.9090847969055176,0.9941073417663574,,5
5,34|112,double,302.4,0,0,0,0,0,1.0068602561950684,0.9850861549377441,,5
6,11|10,double,787.6,0,0,4,0,1,0.1024368166923523,0.498768949508667,,0
7,11|3,double,345.8,0,0,0,1,0,0.5628488540649415,0.561708927154541,,4
8,5|41,double,333.4,0,0,0,0,0,1.0103142738342286,1.1409100532531737,,5
9,97|95,double,246.6,0,0,0,5,0,0.23360228538513184,0.27336621284484863,,0
10,66|67,32m,1898.4,0,0,0,0,0,0.33083415031433105,0.3946392059326172,,5
11,66|46,32m,1096.4,0,0,0,0,0,0.3103270292282104,0.3218425512313843,,5
12,21|48,32m,266.0,0,0,0,0,5,0.9077328681945801,0.7774117469787598,,0
13,119|37,double,1561.0,0,0,1,0,4,0.1567927598953247,0.34660916328430175,,0
14,21|64,32m,525.2,0,0,0,0,3,0.8792781829833984,0.8053162574768067,,2
15,119|103,double,951.6,0,0,0,3,2,0.20836429595947265,0.38145267963409424,,0
16,4|64,32m,353.8,0,0,0,1,3,0.6504891395568848,0.6166750907897949,,1
17,10|9,32m,560.2,0,0,0,0,2,1.0376588821411132,1.001277256011963,,3
18,22|105,double,610.8,0,0,0,0,0,1.286426830291748,1.431800937652588,,5
19,22|26,double,630.6,0,0,0,0,0,0.9732123374938965,0.82608642578125,,5
20,35|9,32m,1245.0,0,0,0,0,0,0.8083684921264649,0.835812759399414,,5
21,22|76,double,882.4,0,0,0,0,0,1.0418190956115723,0.8497621536254882,,5
22,16|103,double,527.2,0,0,5,0,0,0.0882401168346405,0.15521712303161622,,0
23,35|48,32m,950.0,0,0,0,0,5,0.680723237991333,0.6833308696746826,,0
24,21|9,32m,425.0,0,0,0,1,0,0.9103767395019531,0.9806560516357422,,4
25,16|111,double,680.6,0,0,0,0,0,0.28915789127349856,0.32938351631164553,,5
26,96|26,double,397.4,0,0,0,0,0,0.8466991424560547,0.7520161628723144,,5
27,29|36,32m,1120.8,0,0,0,0,0,0.22278218269348143,0.34330451488494873,,5
28,96|76,double,638.6,0,0,0,0,0,1.031158447265625,0.8351571083068847,,5
29,58|111,double,696.8,0,0,0,0,0,0.30108749866485596,0.11104787588119507,,5
30,29|55,32m,796.0,0,0,0,0,0,0.24700841903686524,0.25318877696990966,,5
31,31|120,double,228.0,0,0,0,3,2,1.1756389617919922,1.024826431274414,,0
32,31|112,double,250.8,0,0,0,5,0,1.5921021461486817,1.1126837730407715,,0
33,117|112,double,220.0,0,0,1,1,3,0.5951301574707031,0.7620018005371094,,0
34,117|41,double,207.0,1,0,0,2,2,0.8654984474182129,0.7293208122253418,,0
35,34|41,double,175.0,0,0,0,0,5,0.542826509475708,0.666737174987793,,0
36,34|43,double,186.2,0,0,0,4,1,1.214521598815918,0.8121790885925293,,0
37,5|43,double,186.6,1,0,0,1,4,0.982848834991455,1.0590498924255372,,0
38,5|120,double,183.0,0,0,0,0,5,1.0213260650634766,1.1941323280334473,,0
39,73|74,double,384.8,0,0,5,0,0,0.8115786552429199,0.3529623031616211,,0
40,73|37,double,386.8,0,0,5,0,0,0.7820289611816407,0.34021787643432616,,0
41,15|94,double,1015.0,0,0,0,0,0,1.1473289489746095,1.4886056900024414,,5
42,15|105,double,966.8,0,0,0,0,0,1.3212782859802246,1.4733957290649413,,5
43,15|26,double,940.8,0,0,0,0,0,1.2230323791503905,1.1376340866088868,,5
44,55|94,double,938.8,0,0,0,0,0,1.072006607055664,1.11156005859375,,5
45,55|105,double,896.0,0,0,0,0,0,1.108778190612793,0.9981972694396972,,5
46,96|94,double,1040.6,0,0,0,0,0,1.0506447792053222,1.0557097434997558,,5
47,58|74,double,983.0,0,0,0,1,0,0.2816128969192505,0.37180633544921876,,4
48,55|76,double,545.6,0,0,0,0,0,1.0878311157226563,0.9812155723571777,,5
49,31|43,double,270.6,0,0,0,0,1,0.8927093505859375,0.9505048751831054,,4
50,61|95,double,933.0,0,0,0,0,0,0.31126036643981936,0.2599090814590454,,5
51,61|42,double,449.0,0,0,0,2,0,0.46340122222900393,0.4182303428649902,,3
