route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,294,False,False,False,False,False,1.0650161160515659,1.0643171023060574,True
40|42,705,False,False,True,False,False,0.09872579861876338,0.2644195202261624,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,1671,False,False,False,False,False,0.4546472389634808,0.4151698608124183,True
40|10,611,False,False,False,False,False,0.3726872480833573,0.3263016307691477,True
10|64,588,False,False,False,False,False,0.9366645055715102,1.0244665219760312,True
34|112,285,False,False,False,False,False,1.0860175443735545,1.0703176783587176,True
11|10,845,False,False,True,False,False,0.09925155036850417,0.38346656661241446,False
11|3,380,False,False,False,False,False,0.5273365146869736,0.5598999456243011,True
5|41,315,False,False,False,False,False,1.0866582964638087,1.2070434262214962,True
97|95,269,False,False,False,True,False,0.3255913883001459,0.27080322449315936,False
66|67,1974,False,False,False,False,False,0.32661327746211744,0.34739430548482386,True
66|46,1032,False,False,False,False,False,0.2975005805153265,0.34394393117601835,True
21|48,259,False,False,False,False,True,0.9115696377129973,0.7549347366828923,False
119|37,1282,False,False,False,False,True,0.15481774051768415,0.2971037092967564,False
21|64,765,False,False,False,False,False,0.9963835584082036,0.970620914300584,True
119|103,978,False,False,False,True,False,0.21356592971482813,0.38449785666226877,False
4|64,406,False,False,False,True,False,0.7734996577631654,0.5612369195991511,False
10|9,375,False,False,False,False,True,1.0112809872421071,0.9637573009088392,False
22|105,558,False,False,False,False,False,1.4199253511659116,1.5385857316479732,True
22|26,647,False,False,False,False,False,0.909059392842336,0.7393053812115921,True
35|9,1242,False,False,False,False,False,0.7387423377778218,0.8298003838263188,True
22|76,861,False,False,False,False,False,1.0822062452149868,0.8969802986810671,True
16|103,394,False,False,True,False,False,0.07635954171675434,0.21298673497533901,False
35|48,1006,False,False,False,False,True,0.7151053099865214,0.7057509610851445,False
21|9,455,False,False,False,False,False,1.078282632031601,1.0943972610651496,True
16|111,681,False,False,False,False,False,0.32637974334304426,0.35398447142593326,True
96|26,418,False,False,False,False,False,0.7873392340032513,0.6952962355806719,True
29|36,1139,False,False,False,False,False,0.2093432579946236,0.35528312247144167,True
96|76,631,False,False,False,False,False,0.9667754947657123,0.7456458894995548,True
58|111,661,False,False,False,False,False,0.25863233338600033,0.10671783279713733,True
29|55,734,False,False,False,False,False,0.2333368454190132,0.240315563071685,True
31|120,236,False,False,False,True,False,1.3754715652310576,1.0207924606995769,False
31|112,253,False,False,False,True,False,1.9512883176654678,1.324292896427656,False
117|112,330,False,False,True,False,False,0.3788745030406099,0.759770050511382,False
117|41,192,False,False,False,False,True,0.6997505506540607,0.7780514827306002,False
34|41,169,False,False,False,False,True,0.6166731430483058,0.7478087720085582,False
34|43,182,False,False,False,False,True,0.7537998961623252,0.7540857327859078,False
5|43,205,True,False,False,True,False,1.3788534588076773,1.0945638030166687,False
5|67,1714,False,False,False,False,False,0.4126311820273111,0.443525349475825,True
5|120,192,False,False,False,False,True,1.0080828786785512,1.1974958291262399,False
73|74,215,False,False,True,False,False,0.923746285787683,0.3740168701792869,False
73|37,232,False,False,True,False,False,0.7602637651377032,0.32248209500186753,False
10|64,587,False,False,False,False,False,0.8475593155379476,0.9454171110597194,True
15|94,971,False,False,False,False,False,1.3476668023627505,1.6544701664369004,True
66|67,1844,False,False,False,False,False,0.322607107146995,0.4169762787197316,True
15|105,896,False,False,False,False,False,1.4675118903706486,1.6043488150260599,True
15|26,861,False,False,False,False,False,1.4091997679216444,1.3495972569191328,True
66|46,1081,False,False,False,False,False,0.3159024938564727,0.3069074679721779,True
21|48,270,False,False,False,False,True,0.7805270106867347,0.7472906387463367,False
21|64,328,False,False,False,False,True,0.7598295106118813,0.6577880513684686,False
4|64,246,False,False,False,False,True,0.5540954709456036,0.5926528422887283,False
55|94,918,False,False,False,False,False,1.0268236808451474,1.1153020682094064,True
10|9,633,False,False,False,False,False,1.178093969231239,1.0090882850090357,True
55|105,899,False,False,False,False,False,1.1240569964055838,1.1176461892433944,True
35|9,1243,False,False,False,False,False,0.792376522884544,0.8155158860554355,True
96|94,972,False,False,False,False,False,1.0913631421357457,1.0696665474345264,True
35|48,991,False,False,False,False,True,0.6117365404397953,0.6222979369294163,False
58|74,1102,False,False,False,False,False,0.27812243706548107,0.41022568946165455,True
21|9,493,False,False,False,False,False,0.9156103089907903,0.9931272766108246,True
55|76,548,False,False,False,False,False,1.2037016023842473,1.0838748934390723,True
31|43,281,False,False,False,False,False,0.8207380479649329,0.8825215740999358,True
29|36,1205,False,False,False,False,False,0.2614654777442642,0.32070323383421606,True
61|95,943,False,False,False,False,False,0.32634634962482384,0.26051371717440625,True
61|42,314,False,False,False,True,False,0.5277510921305884,0.46357846108976214,False
29|55,845,False,False,False,False,False,0.22815954361143276,0.23376488927560587,True
117|120,317,False,False,False,False,False,0.772530092723488,0.816070796903138,True
40|42,799,False,False,True,False,False,0.05847869735578621,0.4526919641347802,False
5|67,1638,False,False,False,False,False,0.44346588572350953,0.36591141349032114,True
40|10,611,False,False,False,False,False,0.23897461283748542,0.3168526784038224,True
34|112,292,False,False,False,False,False,0.9345927074008747,0.936300310458143,True
10|64,554,False,False,False,False,False,1.0380393328884434,1.0952526252354795,True
11|10,607,False,False,True,False,False,0.158384649633765,0.545592184927624,False
11|3,329,False,False,False,False,False,0.7297477092113942,0.6957810246530761,True
5|41,342,False,False,False,False,False,1.2313601049840663,1.3112840625853273,True
97|95,245,False,False,False,True,False,0.14331810360825967,0.17644497008603977,False
66|67,1899,False,False,False,False,False,0.3301511694991807,0.39960096255365574,True
66|46,1159,False,False,False,False,False,0.3219991295623897,0.34762793801681535,True
119|37,1630,False,False,False,False,True,0.15182881538112414,0.35879968535886203,False
21|48,255,False,False,False,False,True,0.9154438025821763,0.8547811893289067,False
21|64,404,False,False,False,False,True,0.8614185667457052,0.7598073775106758,False
119|103,1168,False,False,False,False,True,0.19411150732228663,0.3892626767004096,False
4|64,666,False,False,False,False,False,0.7559733928164128,0.7370136517942026,True
10|9,464,False,False,False,False,True,0.7977262561866614,0.9324420783297173,False
22|105,661,False,False,False,False,False,1.1390917537648655,1.3668813265154562,True
22|26,620,False,False,False,False,False,1.0139183976673183,0.8427066650112732,True
35|9,1197,False,False,False,False,False,0.8462921947296611,0.8756643693379056,True
22|76,892,False,False,False,False,False,1.1061274922130124,0.9212281810727984,True
35|48,871,False,False,False,False,True,0.6886799071201394,0.7168986196854789,False
16|103,423,False,False,True,False,False,0.10662938306218918,0.09029390376053803,False
21|9,168,False,False,False,True,False,0.7941977801603497,0.8747599681462911,False
16|111,704,False,False,False,False,False,0.26031007377540083,0.35960748966422146,True
29|36,1142,False,False,False,False,False,0.2796940692261652,0.3141136527752959,True
96|26,403,False,False,False,False,False,0.868665574763499,0.7796515790899619,True
96|76,629,False,False,False,False,False,1.0976993449081829,0.8558731501006984,True
29|55,773,False,False,False,False,False,0.22080617284176177,0.25491986588412635,True
58|111,809,False,False,False,False,False,0.3488159070719543,0.13434485263868357,True
31|120,227,False,False,False,False,True,0.7040498380049243,0.9628634637291645,False
31|112,244,False,False,False,True,False,1.3498300644198638,1.011529751126015,False
117|112,201,False,False,False,False,True,0.6212468004008501,0.8755325890749163,False
5|67,1576,False,False,False,False,False,0.3891497078175149,0.39660565664445163,True
117|41,214,False,False,False,False,True,0.5800372860205762,0.7410441405372794,False
34|41,155,False,False,False,False,True,0.6085505601886517,0.6940076626269539,False
34|43,185,False,False,False,True,False,1.5953266032007052,0.9315802624105602,False
10|64,629,False,False,False,False,False,0.8692298721016483,0.9253809623441429,True
5|43,210,False,False,False,False,True,0.8564162588254327,0.964025832000503,False
5|120,200,False,False,False,False,True,1.1018540726803685,1.2248665012694837,False
73|74,544,False,False,True,False,False,0.8803240641047358,0.392262688471304,False
73|37,527,False,False,True,False,False,0.7616609619405142,0.3611605228725271,False
66|67,1855,False,False,False,False,False,0.314372767691357,0.4390237028487901,True
