,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,5|67,32m,876.6,0,0,0,0,0,0.380683159828186,0.44299516677856443,,5
1,10|64,32m,621.2,0,0,0,0,0,0.7727718830108643,0.7568234443664551,,5
2,66|67,32m,767.2,0,0,0,0,0,0.4063270568847656,0.3504651546478271,,5
3,117|120,double,343.6,0,0,0,0,0,0.7093233108520508,0.6860540390014649,,5
4,40|42,double,148.8,0,0,0,0,5,0.2014545679092407,0.2983743667602539,,0
5,66|46,32m,614.0,0,0,0,0,0,0.3585329294204712,0.29416894912719727,,5
6,40|10,double,376.0,0,0,0,0,0,0.32006804943084716,0.2590743064880371,,5
7,34|112,double,318.8,0,0,0,0,0,0.9909563064575195,0.8341012954711914,,5
8,11|10,double,110.0,0,0,0,0,5,0.14675626754760743,0.28281967639923095,,0
9,11|3,double,311.6,0,0,0,0,0,0.3604491949081421,0.30294170379638674,,5
10,21|48,32m,1070.8,0,0,0,0,0,0.7774856567382813,0.6341554641723632,,5
11,5|41,double,357.4,0,0,0,0,0,0.7065330028533936,0.7693235874176025,,5
12,97|95,double,384.8,0,0,0,0,0,0.3003236293792725,0.3511143922805786,,5
13,21|64,32m,914.6,0,0,0,0,0,1.0685097694396972,0.7388206481933594,,5
14,119|37,double,385.4,0,0,0,0,5,0.28459877967834474,0.21688249111175537,,0
15,119|103,double,452.2,0,0,0,0,5,0.29550704956054685,0.25465571880340576,,0
16,4|64,32m,712.4,0,0,0,0,0,0.9194315910339356,0.6595888137817383,,5
17,22|105,double,534.6,0,0,0,0,0,0.8931594848632812,0.9141887664794922,,5
18,10|9,32m,826.0,0,0,0,0,0,1.1449138641357421,0.7708422660827636,,5
19,22|26,double,721.0,0,0,0,0,0,0.9778267860412597,0.7230125904083252,,5
20,35|9,32m,1327.4,0,0,0,0,0,0.6769038677215576,0.5641283512115478,,5
21,22|76,double,1007.4,0,0,0,0,0,1.0411473274230958,0.7230623245239258,,5
22,16|103,double,115.0,0,0,0,2,3,0.23259623050689698,0.05210623741149902,,0
23,16|111,double,315.8,0,0,0,4,0,0.21979565620422364,0.20914921760559083,,1
24,96|26,double,441.0,0,0,0,0,0,0.7392285823822021,0.6142093181610108,,5
25,96|76,double,726.2,0,0,0,0,0,0.9810617446899415,0.7162412643432617,,5
26,35|48,32m,1886.6,0,0,0,0,0,0.7395694255828857,0.5933712482452392,,5
27,58|111,double,329.2,0,0,0,0,0,0.33247838020324705,0.15699219703674316,,5
28,21|9,32m,510.8,0,0,0,0,0,1.0025929450988769,0.9424657821655273,,5
29,31|120,double,461.0,0,0,0,0,0,0.9293054580688477,0.5875975608825683,,5
30,29|36,32m,306.6,0,0,0,0,0,0.33356122970581054,0.20633649826049805,,5
31,31|112,double,543.0,0,0,0,0,0,1.2420618057250976,0.6057012557983399,,5
32,29|55,32m,500.2,0,0,0,0,0,0.43992033004760744,0.22223610877990724,,5
33,117|112,double,421.2,0,0,0,0,0,1.074509048461914,0.6732706069946289,,5
34,117|41,double,529.2,0,0,0,0,0,1.0605081558227538,0.5591670513153076,,5
35,34|41,double,419.6,0,0,0,0,0,0.8975228309631348,0.6029506683349609,,5
36,34|43,double,371.4,0,0,0,0,2,1.1851282119750977,0.5337827682495118,,3
37,5|43,double,370.0,0,0,0,0,0,1.1124126434326171,0.7455501079559326,,5
38,5|120,double,518.2,0,0,0,0,0,1.1504506111145019,0.6583040237426758,,5
39,73|74,double,110.8,0,0,0,0,5,0.3955882787704468,0.36112322807312014,,0
40,73|37,double,112.2,0,0,0,0,5,0.41094412803649905,0.3703001976013184,,0
41,15|94,double,755.2,0,0,0,0,0,0.7611716270446778,0.8367206573486328,,5
42,15|105,double,802.6,0,0,0,0,0,1.0412144660949707,0.9341084480285644,,5
43,15|26,double,988.0,0,0,0,0,0,1.1255380630493164,0.8431716918945312,,5
44,55|94,double,929.0,0,0,0,0,0,0.90585355758667,0.7055364131927491,,5
45,55|105,double,964.0,0,0,0,0,0,1.1269147872924805,0.7825123310089112,,5
46,96|94,double,1047.0,0,0,0,0,0,0.9628048896789551,0.6965467453002929,,5
47,58|74,double,579.6,0,0,0,1,0,0.29427940845489503,0.3930046796798706,,4
48,55|76,double,602.8,0,0,0,0,0,0.8734651565551758,0.7068796634674073,,5
49,31|43,double,313.2,0,0,0,0,0,0.8455633163452149,0.6931138038635254,,5
50,61|95,double,315.6,0,0,0,0,0,0.43406476974487307,0.24871225357055665,,5
51,61|42,double,328.0,0,0,0,0,0,0.41609983444213866,0.38853864669799804,,5
