route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,871,False,False,False,False,False,0.3967757536973222,0.4453176021508835,True
10|64,615,False,False,False,False,False,0.7551926489579847,0.7415163444581683,True
66|67,768,False,False,False,False,False,0.412501583132243,0.3480388153562977,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,350,False,False,False,False,False,0.689761252132291,0.6709182780619488,True
40|42,146,False,False,False,False,True,0.18751730981383116,0.28466825230205167,False
66|46,618,False,False,False,False,False,0.37811017342626246,0.2823794232729745,True
40|10,383,False,False,False,False,False,0.33340635955950504,0.25570150523074425,True
34|112,324,False,False,False,False,False,0.9528078308276123,0.8010248943352491,True
11|10,112,False,False,False,False,True,0.14114898283143565,0.29840183773848206,False
11|3,319,False,False,False,False,False,0.36966849701793053,0.30976979652425796,True
21|48,1072,False,False,False,False,False,0.7692159813324313,0.6263737528450518,True
5|41,364,False,False,False,False,False,0.7203081561334493,0.7794621364875475,True
97|95,389,False,False,False,False,False,0.2915886752432443,0.35489216304099697,True
21|64,916,False,False,False,False,False,1.0550547731298394,0.7266286918349979,True
119|37,392,False,False,False,False,True,0.29658007153193305,0.21353924062469193,False
119|103,457,False,False,False,False,True,0.28736739621536306,0.24922609370449123,False
4|64,718,False,False,False,False,False,0.9409649851497357,0.6837315982081791,True
22|105,540,False,False,False,False,False,0.9027001422477755,0.922782515482628,True
10|9,828,False,False,False,False,False,1.1261415996063697,0.7547137394937117,True
22|26,728,False,False,False,False,False,1.0009441868188211,0.7521218876137137,True
35|9,1330,False,False,False,False,False,0.6824714460010849,0.5703987353801592,True
22|76,1012,False,False,False,False,False,1.01761276328086,0.7013288442755498,True
16|103,126,False,False,False,False,True,0.24007100465091658,0.04810788626477211,False
16|111,282,False,False,False,True,False,0.1972991820227271,0.1682875756984385,False
96|26,448,False,False,False,False,False,0.7668907369093158,0.6433211579837472,True
96|76,732,False,False,False,False,False,0.9850702196010747,0.7216710732045176,True
35|48,1888,False,False,False,False,False,0.7429861431480579,0.5970876527593182,True
58|111,336,False,False,False,False,False,0.33800445528155426,0.16225791892069757,True
21|9,514,False,False,False,False,False,1.0155993042342675,0.955589314753425,True
31|120,467,False,False,False,False,False,0.9543648832885706,0.6058676895479262,True
29|36,311,False,False,False,False,False,0.3287730187655001,0.20070869153499338,True
31|112,547,False,False,False,False,False,1.22447155470871,0.6023430146740752,True
29|55,503,False,False,False,False,False,0.41682016237154623,0.20721967543272443,True
117|112,425,False,False,False,False,False,1.0600447915809152,0.666286111124152,True
5|67,880,False,False,False,False,False,0.37643246995531743,0.44668237907118397,True
117|41,534,False,False,False,False,False,1.074847005083361,0.582075276744183,True
34|41,425,False,False,False,False,False,0.9095107548071641,0.6217520447227705,True
10|64,626,False,False,False,False,False,0.7698172206340745,0.7543638743502084,True
34|43,441,False,False,False,False,False,1.226228218730803,0.5424622502590264,True
5|43,377,False,False,False,False,False,1.1041283522268273,0.7282806608995821,True
66|67,772,False,False,False,False,False,0.39045491892670053,0.334833412955535,True
