,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
0,5|67,32m,840.0,0,0,0,0,0,0.22068674862384796,4
1,10|64,32m,595.0,0,0,0,0,0,0.5211300849914551,4
2,66|67,32m,236.5,0,0,0,0,4,0.1052713692188263,0
3,66|46,32m,581.25,0,0,0,0,0,0.2173767238855362,4
4,21|48,32m,1029.25,0,0,0,0,0,0.6577339172363281,4
5,21|64,32m,873.0,0,0,0,0,0,0.8544121980667114,4
6,4|64,32m,689.0,0,0,0,0,0,0.7578336596488953,4
7,10|9,32m,803.0,0,0,0,0,0,0.9620355367660522,4
8,35|9,32m,1277.75,0,0,0,0,0,0.5842000246047974,4
9,35|48,32m,1814.5,0,0,0,0,0,0.6335054636001587,4
10,21|9,32m,483.0,0,0,0,0,0,0.6435959935188293,4
11,29|36,32m,283.5,0,0,0,0,0,0.1375243067741394,4
12,29|55,32m,471.5,0,0,0,0,0,0.3163738548755646,4
13,117|120,double,326.0,0,0,0,0,0,0.5724402666091919,4
14,40|42,double,112.5,0,0,0,0,4,0.0883864015340805,0
15,40|10,double,345.75,0,0,0,0,0,0.19729521870613098,4
16,34|112,double,279.25,0,0,0,1,0,0.804510235786438,3
17,11|10,double,93.75,0,0,0,0,4,0.07348673045635223,0
18,11|3,double,289.0,0,0,0,0,0,0.31013286113739014,4
19,5|41,double,336.0,0,0,0,0,0,0.49901944398880005,4
20,97|95,double,366.25,0,0,0,0,0,0.26243698596954346,4
21,119|37,double,361.5,0,0,0,0,4,0.16173779964447021,0
22,119|103,double,431.5,0,0,0,0,4,0.18495401740074158,0
23,22|105,double,510.25,0,0,0,0,0,0.5586585998535156,4
24,22|26,double,700.25,0,0,0,0,0,0.7622383236885071,4
25,22|76,double,975.0,0,0,0,0,0,0.7662020921707153,4
26,16|103,double,107.0,0,0,0,3,1,0.1587066799402237,0
27,16|111,double,431.0,0,0,0,0,0,0.2575628161430359,4
28,96|26,double,420.75,0,0,0,0,0,0.5089830160140991,4
29,96|76,double,696.25,0,0,0,0,0,0.7024384140968323,4
30,58|111,double,309.25,0,0,0,0,0,0.18262164294719696,4
31,31|120,double,451.5,0,0,0,0,0,0.9924347400665283,4
32,31|112,double,547.0,0,0,0,0,0,1.472706913948059,4
33,117|112,double,419.0,0,0,0,0,0,1.1889432668685913,4
34,117|41,double,524.5,0,0,0,0,0,1.2316439151763916,4
35,34|41,double,338.75,0,0,0,0,2,1.0081110000610352,2
36,34|43,double,430.5,0,0,0,0,0,1.3808016777038574,4
37,5|43,double,360.75,0,0,0,0,0,1.0504201650619507,4
38,5|120,double,510.75,0,0,0,0,0,1.2329347133636475,4
39,73|74,double,105.0,0,0,0,0,4,0.34944385290145874,0
40,73|37,double,103.5,0,0,0,0,4,0.3491184115409851,0
41,15|94,double,714.75,0,0,0,0,0,0.5317891240119934,4
42,15|105,double,782.5,0,0,0,0,0,0.7290360927581787,4
43,15|26,double,965.75,0,0,0,0,0,0.8665825128555298,4
44,55|94,double,892.0,0,0,0,0,0,0.6163411140441895,4
45,55|105,double,940.0,0,0,0,0,0,0.7931373119354248,4
46,96|94,double,1014.75,0,0,0,0,0,0.6790493726730347,4
47,58|74,double,585.0,0,0,0,0,0,0.24862506985664368,4
48,55|76,double,577.75,0,0,0,0,0,0.602423906326294,4
49,31|43,double,302.25,0,0,0,0,0,0.6636783480644226,4
50,61|95,double,296.0,0,0,0,0,0,0.22732579708099365,4
51,61|42,double,313.0,0,0,0,0,0,0.2693946361541748,4
