route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|67,844,False,False,False,False,False,0.2092402685515004,True
10|64,598,False,False,False,False,False,0.5192135985228036,True
66|67,236,False,False,False,False,True,0.09833625895447855,False
66|46,579,False,False,False,False,False,0.21453222697015992,True
21|48,1029,False,False,False,False,False,0.6485814837613174,True
21|64,857,False,False,False,False,False,0.8454377346844894,True
4|64,691,False,False,False,False,False,0.7514204014560549,True
10|9,805,False,False,False,False,False,0.9819035163591177,True
35|9,1279,False,False,False,False,False,0.5778393975499339,True
35|48,1817,False,False,False,False,False,0.6392801594901801,True
21|9,484,False,False,False,False,False,0.6639078593220613,True
29|36,283,False,False,False,False,False,0.1372580244983209,True
29|55,476,False,False,False,False,False,0.3431646010841863,True
5|67,841,False,False,False,False,False,0.22609290508890179,True
10|64,592,False,False,False,False,False,0.5165659225449958,True
66|67,235,False,False,False,False,True,0.09635309165528166,False
66|46,581,False,False,False,False,False,0.22962504222122787,True
21|48,1030,False,False,False,False,False,0.663331534163182,True
21|64,879,False,False,False,False,False,0.8525130717693771,True
4|64,685,False,False,False,False,False,0.7551405642046091,True
10|9,807,False,False,False,False,False,0.964681304085142,True
35|9,1280,False,False,False,False,False,0.5870115229406121,True
35|48,1814,False,False,False,False,False,0.6267057853361566,True
21|9,484,False,False,False,False,False,0.6148110500593872,True
29|36,283,False,False,False,False,False,0.15295736144170563,True
29|55,470,False,False,False,False,False,0.3087262652622639,True
5|67,837,False,False,False,False,False,0.2220437952310597,True
10|64,593,False,False,False,False,False,0.5383978489026572,True
66|67,242,False,False,False,False,True,0.12978927320524344,False
66|46,582,False,False,False,False,False,0.2052336220135337,True
21|48,1029,False,False,False,False,False,0.6554629152595942,True
21|64,879,False,False,False,False,False,0.8586921368123648,True
4|64,693,False,False,False,False,False,0.7699277993110919,True
10|9,800,False,False,False,False,False,0.9400505968017278,True
35|9,1275,False,False,False,False,False,0.5685470020421358,True
35|48,1815,False,False,False,False,False,0.646549098091525,True
21|9,481,False,False,False,False,False,0.6526154985213058,True
29|36,283,False,False,False,False,False,0.11515658625919033,True
29|55,468,False,False,False,False,False,0.28263049292475656,True
5|67,838,False,False,False,False,False,0.2253700118230613,True
10|64,597,False,False,False,False,False,0.5103431698200556,True
66|67,233,False,False,False,False,True,0.09660686445424363,False
66|46,583,False,False,False,False,False,0.2201160206932508,True
21|48,1029,False,False,False,False,False,0.6635595521559421,True
21|64,877,False,False,False,False,False,0.8610057084739096,True
4|64,687,False,False,False,False,False,0.7548459365915583,True
10|9,800,False,False,False,False,False,0.9615067489653161,True
35|9,1277,False,False,False,False,False,0.6034020869049744,True
35|48,1812,False,False,False,False,False,0.6214868537851873,True
21|9,483,False,False,False,False,False,0.6430495047976595,True
29|36,285,False,False,False,False,False,0.14472526699821944,True
29|55,472,False,False,False,False,False,0.3309740008260224,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
117|120,329,False,False,False,False,False,0.5744801320987974,True
40|42,111,False,False,False,False,True,0.09709888770485202,False
40|10,347,False,False,False,False,False,0.19820353287638964,True
34|112,309,False,False,False,False,False,0.8436769560748061,True
11|10,97,False,False,False,False,True,0.07877969637654852,False
11|3,292,False,False,False,False,False,0.30604747431203494,True
5|41,337,False,False,False,False,False,0.4902228649309904,True
97|95,366,False,False,False,False,False,0.2654483611797471,True
119|37,361,False,False,False,False,True,0.16146008221758473,False
119|103,431,False,False,False,False,True,0.18922933871929604,False
22|105,510,False,False,False,False,False,0.5413029205224047,True
22|26,700,False,False,False,False,False,0.7595985088867903,True
22|76,975,False,False,False,False,False,0.7767149581735174,True
16|103,107,False,False,False,True,False,0.16643545426769574,False
16|111,433,False,False,False,False,False,0.24455131229020335,True
96|26,420,False,False,False,False,False,0.5183202483980279,True
96|76,694,False,False,False,False,False,0.7042806049472548,True
