,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,5|67,32m,857.6,0,0,0,0,0,0.44883713722229,0.4853641510009766,,5
1,10|64,32m,603.4,0,0,0,0,0,0.4442343235015869,0.4291062355041504,,5
2,66|67,32m,747.2,0,0,0,0,0,0.5080701351165772,0.4074853897094727,,5
3,66|46,32m,593.8,0,0,0,0,0,0.37745721340179444,0.31867218017578125,,5
4,21|48,32m,1045.8,0,0,0,0,0,0.5316783428192139,0.3845676422119141,,5
5,21|64,32m,887.4,0,0,0,0,0,0.7382854461669922,0.4019313335418701,,5
6,4|64,32m,697.4,0,0,0,0,0,0.6503259181976319,0.3941605806350708,,5
7,10|9,32m,801.6,0,0,0,0,0,0.7864820480346679,0.4046783447265625,,5
8,35|9,32m,1296.0,0,0,0,0,0,0.4027700901031494,0.27651338577270507,,5
9,35|48,32m,767.0,0,0,0,5,0,0.1356027603149414,0.1434888243675232,,0
10,21|9,32m,488.6,0,0,0,0,0,0.5548303604125977,0.5077850818634033,,5
11,29|36,32m,292.8,0,0,0,0,0,0.4562821865081787,0.17076022624969484,,5
12,29|55,32m,478.8,0,0,0,0,0,0.3667749881744385,0.21473426818847657,,5
13,117|120,double,289.0,0,0,0,2,0,0.4175595283508301,0.37653069496154784,,3
14,40|42,double,187.4,0,0,0,0,0,0.32600691318511965,0.31479082107543943,,5
15,40|10,double,357.2,0,0,0,0,0,0.32019619941711425,0.31484041213989256,,5
16,34|112,double,304.6,0,0,0,0,0,0.7201769828796387,0.6346162796020508,,5
17,11|10,double,118.6,0,0,0,0,5,0.20275404453277587,0.27678260803222654,,0
18,11|3,double,294.2,0,0,0,0,0,0.2561167240142822,0.25867576599121095,,5
19,5|41,double,344.0,0,0,0,0,0,0.42273774147033694,0.5566834449768067,,5
20,97|95,double,370.8,0,0,0,0,0,0.3747303247451782,0.3734181642532349,,5
21,119|37,double,388.2,0,0,0,0,4,0.38890981674194336,0.22111704349517822,,1
22,119|103,double,446.2,0,0,0,0,5,0.2889126777648926,0.28103911876678467,,0
23,22|105,double,517.8,0,0,0,0,0,0.46732892990112307,0.4959271907806396,,5
24,22|26,double,700.0,0,0,0,0,0,0.6030311584472656,0.3611717700958252,,5
25,22|76,double,976.2,0,0,0,0,0,0.6252110958099365,0.30821640491485597,,5
26,16|103,double,119.8,0,0,0,0,5,0.2800410747528076,0.051674950122833255,,0
27,16|111,double,438.8,0,0,0,0,0,0.3122424602508545,0.35811419486999513,,5
28,96|26,double,424.8,0,0,0,0,0,0.4353461265563965,0.34597952365875245,,5
29,96|76,double,699.0,0,0,0,0,0,0.5813546180725098,0.3220855236053467,,5
30,58|111,double,316.4,0,0,0,0,0,0.37445199489593506,0.1774178385734558,,5
31,31|120,double,427.8,0,0,0,1,0,0.7478096961975098,0.3789691925048828,,4
32,31|112,double,532.2,0,0,0,0,0,1.080143356323242,0.46578502655029297,,5
33,117|112,double,341.4,0,0,0,0,2,0.7760447025299072,0.4721419334411621,,3
34,117|41,double,356.6,0,0,0,0,5,1.0653435707092285,0.3256345272064209,,0
35,34|41,double,247.4,0,0,0,0,5,0.8511374473571778,0.3483035802841187,,0
36,34|43,double,374.4,0,0,0,0,2,0.9958769798278808,0.30003516674041747,,3
37,5|43,double,320.4,0,0,0,0,2,0.8160647392272949,0.4784409523010254,,3
38,5|120,double,471.2,0,0,0,2,0,1.0592382431030274,0.4358644485473633,,3
39,73|74,double,115.8,0,0,0,0,5,0.4692269802093506,0.31369357109069823,,0
40,73|37,double,115.4,0,0,0,0,5,0.5403884410858154,0.32939467430114744,,0
41,15|94,double,725.2,0,0,0,0,0,0.3921293020248413,0.4978041648864746,,5
42,15|105,double,786.4,0,0,0,0,0,0.5929855346679688,0.47180757522583006,,5
43,15|26,double,964.8,0,0,0,0,0,0.6870574951171875,0.41446962356567385,,5
44,55|94,double,898.8,0,0,0,0,0,0.4928601741790771,0.3487064838409424,,5
45,55|105,double,939.4,0,0,0,0,0,0.691429615020752,0.3590826511383057,,5
46,96|94,double,1015.0,0,0,0,0,0,0.5415603160858155,0.3259353876113892,,5
47,58|74,double,596.0,0,0,0,0,0,0.3059267282485962,0.39647493362426756,,5
48,55|76,double,581.4,0,0,0,0,0,0.501088285446167,0.34395384788513184,,5
49,31|43,double,302.6,0,0,0,0,0,0.503810977935791,0.4537817001342773,,5
50,61|95,double,305.6,0,0,0,0,0,0.5527208328247071,0.26014888286590576,,5
51,61|42,double,316.6,0,0,0,0,0,0.3721726417541504,0.4510462284088135,,5
