route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,863,False,False,False,False,False,0.4475003274355737,0.4813479195950278,True
10|64,602,False,False,False,False,False,0.4273052156954702,0.41304570684203895,True
66|67,744,False,False,False,False,False,0.5137901024635053,0.408456050605907,True
66|46,594,False,False,False,False,False,0.36852982229913633,0.3147807667856782,True
21|48,1044,False,False,False,False,False,0.5414204836746753,0.3990765888225523,True
21|64,882,False,False,False,False,False,0.7505707592744482,0.41367038123633565,True
4|64,696,False,False,False,False,False,0.6454374545038045,0.38896337550453797,True
10|9,802,False,False,False,False,False,0.8168201296660623,0.43234339302284747,True
35|9,1292,False,False,False,False,False,0.3870040959840462,0.26114400883901767,True
35|48,767,False,False,False,True,False,0.13864216156567188,0.15197939204311958,False
21|9,490,False,False,False,False,False,0.5490344172925352,0.5018135602207292,True
29|36,293,False,False,False,False,False,0.4951497933520788,0.16271887532177237,True
29|55,480,False,False,False,False,False,0.3749932530214287,0.21430892803561297,True
5|67,856,False,False,False,False,False,0.4477850121948591,0.4824527089275216,True
10|64,604,False,False,False,False,False,0.4565672126961595,0.437412760341078,True
66|67,752,False,False,False,False,False,0.5030078763450554,0.39949423129919864,True
66|46,594,False,False,False,False,False,0.3860516779822328,0.31527783449706115,True
21|48,1049,False,False,False,False,False,0.5594051922111656,0.40902386428053134,True
21|64,884,False,False,False,False,False,0.7189126764157826,0.38161231613578833,True
4|64,698,False,False,False,False,False,0.6641429412344242,0.40701910648152684,True
10|9,800,False,False,False,False,False,0.7709485913141465,0.39126629980515953,True
35|9,1296,False,False,False,False,False,0.40738862508821244,0.2803913890142813,True
35|48,765,False,False,False,True,False,0.12712458227164122,0.13556469548291836,False
21|9,486,False,False,False,False,False,0.5678069102773841,0.5209783955323198,True
29|36,294,False,False,False,False,False,0.4475282093966885,0.16674158459838698,True
29|55,480,False,False,False,False,False,0.38482686317492365,0.21358204351974958,True
5|67,857,False,False,False,False,False,0.4523495974802934,0.4834303396510451,True
10|64,604,False,False,False,False,False,0.4644129959169144,0.44918807745517175,True
66|67,745,False,False,False,False,False,0.5041323600224723,0.4051608914096087,True
66|46,595,False,False,False,False,False,0.36776369163002304,0.3186411018527398,True
21|48,1045,False,False,False,False,False,0.5176492390237919,0.3713437121508011,True
21|64,889,False,False,False,False,False,0.7253217293469322,0.3908045840350316,True
4|64,695,False,False,False,False,False,0.6560834520232288,0.3997098855621229,True
10|9,800,False,False,False,False,False,0.7652135208991554,0.38338972306598973,True
35|9,1300,False,False,False,False,False,0.40849618173566343,0.2835375017034602,True
35|48,771,False,False,False,True,False,0.13738815072957225,0.14131422617431175,False
21|9,487,False,False,False,False,False,0.5395527935098775,0.4928012457768855,True
29|36,293,False,False,False,False,False,0.47079429532866346,0.15095079384444784,True
29|55,474,False,False,False,False,False,0.348106033550552,0.20740256965837736,True
5|67,854,False,False,False,False,False,0.4507378274261398,0.49151369270163037,True
10|64,603,False,False,False,False,False,0.42886377260432157,0.41716250286161916,True
66|67,748,False,False,False,False,False,0.5046576327926345,0.4134283799684275,True
66|46,594,False,False,False,False,False,0.37983833384696497,0.3213501140049254,True
21|48,1045,False,False,False,False,False,0.5330686331800157,0.3863262743120855,True
21|64,891,False,False,False,False,False,0.7568089904829962,0.4197876961920444,True
4|64,700,False,False,False,False,False,0.649398003751815,0.3955719046203314,True
10|9,804,False,False,False,False,False,0.8070601076125797,0.42351567389759837,True
35|9,1294,False,False,False,False,False,0.4166750212652936,0.2889275829822574,True
35|48,765,False,False,False,True,False,0.13799408551112105,0.14120240143850468,False
21|9,491,False,False,False,False,False,0.5538953076565901,0.504740840311468,True
29|36,293,False,False,False,False,False,0.43166312959973474,0.1866937195731267,True
29|55,479,False,False,False,False,False,0.360816515081093,0.2252710884352551,True
5|67,858,False,False,False,False,False,0.4458127652381324,0.4880758693025263,True
10|64,604,False,False,False,False,False,0.44402247977525783,0.42872201040128255,True
66|67,747,False,False,False,False,False,0.5147626067274268,0.41088742866996025,True
66|46,592,False,False,False,False,False,0.3851024793979775,0.32331103483790896,True
21|48,1046,False,False,False,False,False,0.5068481723158657,0.35706775948117864,True
21|64,891,False,False,False,False,False,0.739813142246147,0.40378174283264484,True
4|64,698,False,False,False,False,False,0.6365675513446334,0.3795386867241199,True
10|9,802,False,False,False,False,False,0.7723679396263763,0.3928766783208896,True
35|9,1298,False,False,False,False,False,0.39428652990917423,0.26856646226499464,True
35|48,767,False,False,False,True,False,0.13686479096157972,0.14738346267162594,False
21|9,489,False,False,False,False,False,0.5638623526757122,0.5185917146905467,True
29|36,291,False,False,False,False,False,0.4362755399601474,0.1866962011615309,True
29|55,481,False,False,False,False,False,0.365132275438054,0.21310668831299287,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,237,False,False,False,True,False,0.4322153991848903,0.32294523184046614,False
40|42,188,False,False,False,False,False,0.32954944290636395,0.31105788651646793,True
40|10,354,False,False,False,False,False,0.30720494834003437,0.32080542610755847,True
34|112,305,False,False,False,False,False,0.7277504154429209,0.6476831394130647,True
11|10,121,False,False,False,False,True,0.19344217963539964,0.28977255052883877,False
11|3,296,False,False,False,False,False,0.25145908803067163,0.24576900731864706,True
5|41,343,False,False,False,False,False,0.4282456687892462,0.5605854480633817,True
97|95,369,False,False,False,False,False,0.36506284271542394,0.3635408363888383,True
119|37,371,False,False,False,False,True,0.35640102242142707,0.20909872527297488,False
119|103,449,False,False,False,False,True,0.297500545109451,0.27847347554763013,False
22|105,517,False,False,False,False,False,0.46868922320164297,0.4967489384050164,True
22|26,700,False,False,False,False,False,0.6343889171580492,0.38497736540617233,True
22|76,976,False,False,False,False,False,0.6286756590398224,0.3092782314269792,True
16|103,121,False,False,False,False,True,0.29324121378256945,0.06180344131430948,False
16|111,440,False,False,False,False,False,0.3224404510751817,0.3669875294465721,True
96|26,425,False,False,False,False,False,0.4455983638627661,0.3562965752284009,True
96|76,698,False,False,False,False,False,0.605839575062393,0.34157330390707397,True
58|111,314,False,False,False,False,False,0.36519837652920756,0.1676073827447524,True
31|120,447,False,False,False,False,False,0.730103258911821,0.40074637022534393,True
31|112,531,False,False,False,False,False,1.0696929429420021,0.4738546839452313,True
117|112,229,False,False,False,False,True,0.592047013228098,0.376351676365366,False
117|41,349,False,False,False,False,True,1.069323900610592,0.34090197600598743,False
34|41,246,False,False,False,False,True,0.8707279577283704,0.3813185184973726,False
34|43,312,False,False,False,False,True,1.018527181890839,0.27173829652923004,False
