,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
0,5|67,32m,206.0,0,0,0,3,1,0.25653159618377686,0
1,10|64,32m,589.75,0,0,0,0,0,0.44722020626068115,4
2,66|67,32m,236.0,0,0,0,0,4,0.11133381724357605,0
3,66|46,32m,577.0,0,0,0,0,0,0.23322266340255737,4
4,21|48,32m,628.75,0,0,0,3,0,0.8654795289039612,1
5,21|64,32m,880.25,0,0,0,0,0,0.7722030282020569,4
6,4|64,32m,686.0,0,0,0,0,0,0.6086269617080688,4
7,10|9,32m,794.5,0,0,0,0,0,0.848905086517334,4
8,35|9,32m,1286.25,0,0,0,0,0,0.3973581790924072,4
9,35|48,32m,1154.0,0,0,0,2,1,0.3803405463695526,1
10,21|9,32m,480.25,0,0,0,0,0,0.5947002172470093,4
11,29|36,32m,282.75,0,0,0,0,0,0.11084245145320892,4
12,29|55,32m,467.25,0,0,0,0,0,0.27177169919013977,4
13,117|120,double,226.5,0,0,0,4,0,0.43304359912872314,0
14,40|42,double,111.5,0,0,0,0,4,0.15119695663452148,0
15,40|10,double,340.5,0,0,0,0,0,0.20509779453277588,4
16,34|112,double,299.25,0,0,0,4,0,1.3485136032104492,0
17,11|10,double,96.0,0,0,0,0,4,0.120612233877182,0
18,11|3,double,292.0,0,0,0,0,0,0.3842160105705261,4
19,5|41,double,338.25,0,0,0,0,0,0.43197548389434814,4
20,97|95,double,271.0,0,0,0,2,0,0.2099553346633911,2
21,119|37,double,409.75,0,0,0,0,1,0.18849201500415802,3
22,119|103,double,428.5,0,0,0,0,4,0.15776140987873077,0
23,22|105,double,486.5,0,0,0,1,0,0.4628385901451111,3
24,22|26,double,695.25,0,0,0,0,0,0.6442571878433228,4
25,22|76,double,974.0,0,0,0,0,0,0.7458487153053284,4
26,16|103,double,101.75,0,0,0,4,0,0.1360781043767929,0
27,16|111,double,245.0,0,0,0,4,0,0.14659440517425537,0
28,96|26,double,412.75,0,0,0,0,0,0.49152451753616333,4
29,96|76,double,673.0,0,0,0,1,0,0.6911906599998474,3
30,58|111,double,305.0,0,0,0,0,0,0.12602253258228302,4
31,31|120,double,393.25,0,0,0,2,0,0.8188542127609253,2
32,31|112,double,445.5,0,0,0,2,2,1.2883968353271484,0
33,117|112,double,323.75,0,0,0,2,2,1.020193338394165,0
34,117|41,double,348.75,0,0,0,0,4,1.17984938621521,0
35,34|41,double,241.5,0,0,0,0,4,0.9368336796760559,0
36,34|43,double,387.75,0,0,0,0,1,1.0557432174682617,3
37,5|43,double,356.0,0,0,0,0,0,0.890013575553894,4
38,5|120,double,403.5,0,0,0,4,0,1.2539894580841064,0
39,73|74,double,112.5,0,0,0,0,4,0.44853389263153076,0
40,73|37,double,104.75,0,0,0,0,4,0.41868627071380615,0
41,15|94,double,715.25,0,0,0,0,0,0.4674810469150543,4
42,15|105,double,759.0,0,0,0,1,0,0.6425973176956177,3
43,15|26,double,964.5,0,0,0,0,0,0.7743411064147949,4
44,55|94,double,892.75,0,0,0,0,0,0.5953391790390015,4
45,55|105,double,935.0,0,0,0,0,0,0.7691650390625,4
46,96|94,double,1012.75,0,0,0,0,0,0.6564731001853943,4
47,58|74,double,390.0,0,0,0,4,0,0.20032164454460144,0
48,55|76,double,575.25,0,0,0,0,0,0.588526725769043,4
49,31|43,double,299.5,0,0,0,0,0,0.4235132932662964,4
50,61|95,double,291.25,0,0,0,0,0,0.2519330680370331,4
51,61|42,double,308.0,0,0,0,0,0,0.2235253006219864,4
