,route,roundabout,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,distance_to_center_of_lane_completed_only,completed
0,117|120,double,228.8,0,0,0,5,0,0.43308210372924805,0.36096391677856443,,0
1,40|42,double,117.0,0,0,0,0,5,0.15411229133605958,0.34646005630493165,,0
2,5|67,32m,565.2,0,0,0,2,0,0.22681760787963867,0.29236540794372556,,3
3,40|10,double,356.2,0,0,0,0,0,0.20238356590270995,0.35512847900390626,,5
4,10|64,32m,611.6,0,0,0,0,0,0.47798452377319334,0.4428385257720947,,5
5,34|112,double,310.8,0,0,0,4,0,1.2750470161437988,1.0216712951660156,,1
6,11|10,double,92.8,0,0,0,0,5,0.0954534351825714,0.29109580516815187,,0
7,66|67,32m,249.2,0,0,0,0,5,0.11890256404876709,0.3888963460922241,,0
8,11|3,double,304.2,0,0,0,0,0,0.3208769798278809,0.3508711814880371,,5
9,66|46,32m,518.8,0,0,0,1,0,0.25287935733795164,0.3307009696960449,,4
10,5|41,double,350.0,0,0,0,0,0,0.4639743804931641,0.5187807083129883,,5
11,21|48,32m,713.0,0,0,0,2,1,0.8307737350463867,0.47196455001831056,,2
12,97|95,double,296.6,0,0,0,2,0,0.2395775556564331,0.4023284435272217,,3
13,119|37,double,422.4,0,0,0,0,1,0.19693983793258668,0.31758975982666016,,4
14,21|64,32m,894.4,0,0,0,0,0,0.7892685890197754,0.44406766891479493,,5
15,119|103,double,435.2,0,0,0,0,5,0.17956385612487794,0.3313349008560181,,0
16,4|64,32m,704.4,0,0,0,0,0,0.6664010047912597,0.3880216836929321,,5
17,22|105,double,502.4,0,0,0,1,0,0.48517675399780275,0.5077709674835205,,4
18,10|9,32m,812.6,0,0,0,0,0,0.8777712821960449,0.4983820915222168,,5
19,22|26,double,705.6,0,0,0,0,0,0.6855549812316895,0.4493696689605713,,5
20,22|76,double,985.6,0,0,0,0,0,0.7535035610198975,0.4355017185211182,,5
21,16|103,double,102.0,0,0,0,5,0,0.1410987615585327,0.19367432594299316,,0
22,35|9,32m,1303.8,0,0,0,0,0,0.4101578712463379,0.25929484367370603,,5
23,16|111,double,258.0,0,0,0,5,0,0.16978909969329833,0.2871041536331177,,0
24,96|26,double,427.6,0,0,0,0,0,0.49660296440124513,0.40744810104370116,,5
25,35|48,32m,872.2,0,0,0,4,1,0.27648749351501467,0.18092291355133056,,0
26,96|76,double,705.4,0,0,0,0,0,0.6782793045043946,0.4236793041229248,,5
27,21|9,32m,492.0,0,0,0,0,0,0.6003040313720703,0.5430998802185059,,5
28,58|111,double,312.4,0,0,0,0,0,0.12771477699279785,0.20944271087646485,,5
29,29|36,32m,292.8,0,0,0,0,0,0.1444615602493286,0.3727738380432129,,5
30,31|120,double,392.8,0,0,0,3,0,0.8570978164672851,0.3995039701461792,,2
31,29|55,32m,481.6,0,0,0,0,0,0.314542293548584,0.28205344676971433,,5
32,31|112,double,508.0,0,0,0,4,1,1.4766482353210448,0.7805858612060547,,0
33,117|112,double,417.2,0,0,0,5,0,1.3948247909545899,0.9127840042114258,,0
34,117|41,double,354.0,0,0,0,0,5,1.1674211502075196,0.4559745788574219,,0
35,34|41,double,250.2,0,0,0,0,5,0.9582137107849121,0.49393486976623535,,0
36,34|43,double,398.2,0,0,0,0,1,1.1030556678771972,0.4474021434783936,,4
37,5|43,double,301.6,0,0,0,1,0,0.8405732154846192,0.5961394309997559,,4
38,5|120,double,454.6,0,0,0,3,0,1.2191852569580077,0.5735573291778564,,2
39,73|74,double,113.4,0,0,0,0,5,0.41695618629455566,0.4350869178771973,,0
40,73|37,double,111.2,0,0,0,0,5,0.4216052532196045,0.4344756603240967,,0
41,15|94,double,734.8,0,0,0,0,0,0.46548943519592284,0.5361145973205567,,5
42,15|105,double,787.8,0,0,0,0,0,0.6320881843566895,0.5128470897674561,,5
43,15|26,double,969.2,0,0,0,0,0,0.766059398651123,0.47934708595275877,,5
44,55|94,double,902.2,0,0,0,0,0,0.6031248092651367,0.4196323394775391,,5
45,55|105,double,927.8,0,0,0,1,0,0.7907477378845215,0.42713007926940916,,4
46,96|94,double,1023.4,0,0,0,0,0,0.6572322845458984,0.40157036781311034,,5
47,58|74,double,439.4,0,0,0,4,0,0.1959233283996582,0.35879743099212646,,1
48,55|76,double,584.2,0,0,0,0,0,0.5862316131591797,0.43678841590881345,,5
49,31|43,double,306.4,0,0,0,0,0,0.4627316951751709,0.4711621284484863,,5
50,61|95,double,297.6,0,0,0,0,0,0.21999776363372803,0.3768596887588501,,5
51,61|42,double,312.6,0,0,0,0,0,0.2473369359970093,0.5120738506317138,,5
