route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,230,False,False,False,True,False,0.412744205171929,0.35985127872883615,False
40|42,125,False,False,False,False,True,0.21437479027831707,0.37435852925741675,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,836,False,False,False,False,False,0.18887600736052068,0.2842879739645988,True
40|10,368,False,False,False,False,False,0.19996219279281827,0.3595992191095984,True
10|64,615,False,False,False,False,False,0.48880797004513693,0.4471981156206732,True
34|112,328,False,False,False,False,False,1.0978431172433254,0.9402159296890102,True
11|10,94,False,False,False,False,True,0.08848671922694874,0.3061621630173537,False
66|67,248,False,False,False,False,True,0.11199382750821352,0.3735914262782625,False
11|3,313,False,False,False,False,False,0.285792697822522,0.3325457709700673,True
66|46,221,False,False,False,True,False,0.2184859929470948,0.3466978318717513,False
5|41,361,False,False,False,False,False,0.5203596795033926,0.5222282723546308,True
21|48,441,False,False,False,False,True,1.0003670690381576,0.5051192258935826,False
97|95,376,False,False,False,False,False,0.26282511918944323,0.4244821484929467,True
119|37,384,False,False,False,False,True,0.1897589710694277,0.29169990645667937,False
21|64,895,False,False,False,False,False,0.7887976239534596,0.44369259558238705,True
119|103,443,False,False,False,False,True,0.17988639325516126,0.3350174526641169,False
4|64,703,False,False,False,False,False,0.6593376231201958,0.39043281142848124,True
22|105,527,False,False,False,False,False,0.4994786089381323,0.5496206155456568,True
10|9,817,False,False,False,False,False,0.8698454339757148,0.4925210126867144,True
22|26,715,False,False,False,False,False,0.6743164199245736,0.44503404695093773,True
22|76,994,False,False,False,False,False,0.7332204245251639,0.4146573979841805,True
16|103,105,False,False,False,True,False,0.15347833574792452,0.19958448992617492,False
35|9,1302,False,False,False,False,False,0.39984643350115046,0.25251799928505253,True
16|111,269,False,False,False,True,False,0.1472341393998555,0.2890816608088728,False
96|26,438,False,False,False,False,False,0.4966069848560839,0.39985621610462485,True
35|48,1255,False,False,False,False,True,0.6962950927279409,0.3660505782853496,False
96|76,715,False,False,False,False,False,0.7273776946046965,0.4878304300926493,True
21|9,495,False,False,False,False,False,0.6055139821799435,0.552974919068772,True
58|111,318,False,False,False,False,False,0.1443770046626891,0.2188832012119149,True
29|36,295,False,False,False,False,False,0.12784715939923078,0.3999355704414589,True
31|120,461,False,False,False,False,False,0.737120210310308,0.3840347769452934,True
29|55,487,False,False,False,False,False,0.3276846209585615,0.2898240196978765,True
31|112,554,False,False,False,True,False,1.587320975883461,0.8799304517117943,False
117|112,421,False,False,False,True,False,1.318946901214425,0.8524254544452089,False
5|67,850,False,False,False,False,False,0.20698385812493109,0.3026949246269554,True
117|41,360,False,False,False,False,True,1.1650534445045122,0.4716643095055371,False
34|41,268,False,False,False,False,True,0.9955844512975367,0.49007618717022705,False
10|64,613,False,False,False,False,False,0.4589168318353921,0.43213919945766255,True
66|67,254,False,False,False,False,True,0.12149249424268863,0.39328388854768537,False
34|43,443,False,False,False,False,False,1.1925157021767745,0.4974097915159293,True
5|43,376,False,False,False,False,False,0.9073329865481105,0.569686674469311,True
66|46,596,False,False,False,False,False,0.29467889368639166,0.3356935097749873,True
5|120,424,False,False,False,True,False,1.3360744897176309,0.6144431164348924,False
73|74,120,False,False,False,False,True,0.4428413756104093,0.4481226783025721,False
21|48,516,False,False,False,True,False,1.0381554522327496,0.5772095278586931,False
73|37,114,False,False,False,False,True,0.40415329578863995,0.4286483641688105,False
15|94,747,False,False,False,False,False,0.47429434714602053,0.555306949443569,True
21|64,892,False,False,False,False,False,0.7728846795132565,0.43525830114646596,True
