route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|67,885,False,False,False,False,False,0.5671342661807811,True
10|64,627,False,False,False,False,False,0.46137950883806755,True
66|67,769,False,False,False,False,False,0.6330840961683875,True
66|46,614,False,False,False,False,False,0.4956750427661335,True
21|48,1076,False,False,False,False,False,0.5261915618586164,True
21|64,910,False,False,False,False,False,0.7117874412948849,True
4|64,715,False,False,False,False,False,0.6007313222424677,True
10|9,824,False,False,False,False,False,0.7852407314769935,True
35|9,1335,False,False,False,False,False,0.4036878244614087,True
35|48,790,False,False,False,True,False,0.18245303545567748,False
21|9,504,False,False,False,False,False,0.5650456661616291,True
29|36,307,False,False,False,False,False,0.6448881990313611,True
29|55,495,False,False,False,False,False,0.5774042789198984,True
5|67,879,False,False,False,False,False,0.5813058614791823,True
10|64,619,False,False,False,False,False,0.4487357131030309,True
66|67,770,False,False,False,False,False,0.645287875689886,True
66|46,617,False,False,False,False,False,0.5114313607531626,True
21|48,1075,False,False,False,False,False,0.5197286198454842,True
21|64,913,False,False,False,False,False,0.7251823936307737,True
4|64,719,False,False,False,False,False,0.6288958777097909,True
10|9,827,False,False,False,False,False,0.7870693986046214,True
35|9,1339,False,False,False,False,False,0.40972325154207856,True
35|48,790,False,False,False,True,False,0.1830706417630018,False
21|9,509,False,False,False,False,False,0.5679314881285537,True
29|36,307,False,False,False,False,False,0.6458522517134233,True
29|55,495,False,False,False,False,False,0.5638681842601515,True
5|67,882,False,False,False,False,False,0.5635119797735663,True
10|64,625,False,False,False,False,False,0.45433197731748115,True
66|67,767,False,False,False,False,False,0.6730551349999793,True
66|46,612,False,False,False,False,False,0.5045718389117163,True
21|48,1075,False,False,False,False,False,0.5213251460697027,True
21|64,920,False,False,False,False,False,0.7753607850326413,True
4|64,722,False,False,False,False,False,0.6133078689365552,True
10|9,828,False,False,False,False,False,0.7768408754911282,True
35|9,1338,False,False,False,False,False,0.4148048165864182,True
35|48,789,False,False,False,True,False,0.15915355830113342,False
21|9,511,False,False,False,False,False,0.5832031319787333,True
29|36,306,False,False,False,False,False,0.6070081839056003,True
29|55,498,False,False,False,False,False,0.5483840995333465,True
5|67,881,False,False,False,False,False,0.5620784268983282,True
10|64,623,False,False,False,False,False,0.44620938554284745,True
66|67,774,False,False,False,False,False,0.6508894794223433,True
66|46,617,False,False,False,False,False,0.5502720405631668,True
21|48,1078,False,False,False,False,False,0.5078932742866165,True
21|64,904,False,False,False,False,False,0.7035635011150043,True
4|64,714,False,False,False,False,False,0.6069487805061162,True
10|9,825,False,False,False,False,False,0.770220087707527,True
35|9,1343,False,False,False,False,False,0.42074096810028444,True
35|48,801,False,False,False,True,False,0.17821705215451045,False
21|9,511,False,False,False,False,False,0.5501231484897411,True
29|36,306,False,False,False,False,False,0.5958581229766632,True
29|55,496,False,False,False,False,False,0.501579062962792,True
5|67,882,False,False,False,False,False,0.5556974220448481,True
