route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|67,163,False,False,False,True,False,0.2868651172614657,False
10|64,590,False,False,False,False,False,0.4488259719865217,True
66|67,233,False,False,False,False,True,0.11958927739246207,False
66|46,576,False,False,False,False,False,0.2408539387989692,True
21|48,491,False,False,False,True,False,0.9672555106773956,False
21|64,882,False,False,False,False,False,0.8019423459855078,True
4|64,688,False,False,False,False,False,0.6100957209374724,True
10|9,798,False,False,False,False,False,0.8779083213678779,True
35|9,1287,False,False,False,False,False,0.3961840939344116,True
35|48,1240,False,False,False,False,True,0.6951871822838991,False
21|9,482,False,False,False,False,False,0.5930292278851075,True
29|36,280,False,False,False,False,False,0.11585896603713058,True
29|55,469,False,False,False,False,False,0.2876634652417009,True
5|67,375,False,False,False,False,True,0.23812081361418075,False
10|64,595,False,False,False,False,False,0.43454400788600506,True
66|67,236,False,False,False,False,True,0.10352873608970603,False
66|46,578,False,False,False,False,False,0.21931052691991917,True
21|48,490,False,False,False,True,False,0.9786422252552783,False
21|64,881,False,False,False,False,False,0.7506447277462218,True
4|64,685,False,False,False,False,False,0.6026719668303967,True
10|9,792,False,False,False,False,False,0.8162227192466514,True
35|9,1287,False,False,False,False,False,0.40366797541826466,True
35|48,769,False,False,False,True,False,0.15426482024030003,False
21|9,482,False,False,False,False,False,0.5667090653216663,True
29|36,283,False,False,False,False,False,0.11087772461571395,True
29|55,467,False,False,False,False,False,0.26396895044950736,True
5|67,139,False,False,False,True,False,0.21680492900261178,False
10|64,583,False,False,False,False,False,0.4442305808779822,True
66|67,242,False,False,False,False,True,0.12173083597793014,False
66|46,576,False,False,False,False,False,0.22413290425756582,True
21|48,497,False,False,False,True,False,0.9578759953284615,False
21|64,880,False,False,False,False,False,0.7471450224446876,True
4|64,684,False,False,False,False,False,0.6049327833117795,True
10|9,793,False,False,False,False,False,0.843081977751936,True
35|9,1287,False,False,False,False,False,0.3880266183350876,True
35|48,775,False,False,False,True,False,0.15524994482995153,False
21|9,480,False,False,False,False,False,0.6073912348128504,True
29|36,285,False,False,False,False,False,0.106306739522902,True
29|55,469,False,False,False,False,False,0.3089892739849126,True
5|67,147,False,False,False,True,False,0.28433560855123935,False
10|64,591,False,False,False,False,False,0.461280207036173,True
66|67,233,False,False,False,False,True,0.1004864179585432,False
66|46,578,False,False,False,False,False,0.2485933055385145,True
21|48,1037,False,False,False,False,False,0.5581443904709564,True
21|64,878,False,False,False,False,False,0.7890801377404216,True
4|64,687,False,False,False,False,False,0.6168071961836709,True
10|9,795,False,False,False,False,False,0.8584071948640493,True
35|9,1284,False,False,False,False,False,0.40155403373226534,True
35|48,1832,False,False,False,False,False,0.5166601861969009,True
21|9,477,False,False,False,False,False,0.6116712098504868,True
29|36,283,False,False,False,False,False,0.1103263941453759,True
29|55,464,False,False,False,False,False,0.22646509933410372,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
117|120,229,False,False,False,True,False,0.4303744573911197,False
40|42,113,False,False,False,False,True,0.1772698003655422,False
40|10,338,False,False,False,False,False,0.1909103839934351,True
34|112,298,False,False,False,True,False,1.3332530654736157,False
11|10,96,False,False,False,False,True,0.15249417058732892,False
11|3,291,False,False,False,False,False,0.3990656934548358,True
5|41,336,False,False,False,False,False,0.4243604135904068,True
97|95,359,False,False,False,False,False,0.22805826907887555,True
119|37,367,False,False,False,False,True,0.17412110686916757,False
119|103,429,False,False,False,False,True,0.15801699838909672,False
22|105,509,False,False,False,False,False,0.4206453833193377,True
22|26,696,False,False,False,False,False,0.67028379823509,True
22|76,974,False,False,False,False,False,0.7469284258675555,True
16|103,100,False,False,False,True,False,0.1419327123003497,False
16|111,240,False,False,False,True,False,0.165877174354458,False
96|26,412,False,False,False,False,False,0.4838262790945084,True
96|76,692,False,False,False,False,False,0.671644961596124,True
58|111,304,False,False,False,False,False,0.11730064997976482,True
31|120,441,False,False,False,False,False,0.7563161786352509,True
31|112,370,False,False,False,False,True,1.1805714512064487,False
117|112,402,False,False,False,True,False,1.2756488565289545,False
117|41,353,False,False,False,False,True,1.2474056654859278,False
34|41,240,False,False,False,False,True,0.9222298476418345,False
34|43,416,False,False,False,False,False,1.0028677152811662,True
5|43,354,False,False,False,False,False,0.8558659358834032,True
5|120,403,False,False,False,True,False,1.2706462932953568,False
73|74,112,False,False,False,False,True,0.5163760931353651,False
73|37,107,False,False,False,False,True,0.4967389152332875,False
15|94,712,False,False,False,False,False,0.46480397260946926,True
15|105,777,False,False,False,False,False,0.6317043321442608,True
15|26,965,False,False,False,False,False,0.7694486100642232,True
55|94,891,False,False,False,False,False,0.5705792371762731,True
55|105,940,False,False,False,False,False,0.7849699048787467,True
96|94,1018,False,False,False,False,False,0.6630962445802333,True
58|74,248,False,False,False,True,False,0.21643768654616424,False
55|76,573,False,False,False,False,False,0.584417458833127,True
31|43,303,False,False,False,False,False,0.4226322796815721,True
61|95,291,False,False,False,False,False,0.23350074079995847,True
61|42,309,False,False,False,False,False,0.18654397478853138,True
117|120,224,False,False,False,True,False,0.4284655782707139,False
40|42,113,False,False,False,False,True,0.148132655309374,False
40|10,341,False,False,False,False,False,0.1808398380993985,True
34|112,307,False,False,False,True,False,1.5814393280070866,False
11|10,93,False,False,False,False,True,0.11989774688306408,False
11|3,291,False,False,False,False,False,0.40377759369022703,True
5|41,339,False,False,False,False,False,0.46691635689396316,True
97|95,358,False,False,False,False,False,0.2065857629746075,True
119|37,427,False,False,False,False,False,0.18317166719438252,True
