route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
29|36,303,False,False,False,False,False,0.7229380241375686,True
29|55,468,False,False,False,False,False,0.5940116538173358,True
5|67,836,False,False,False,False,False,0.8538113289410209,True
10|64,575,False,False,False,False,False,1.5796435705975336,True
66|67,744,False,False,False,False,False,0.8416015168025378,True
66|46,582,False,False,False,False,False,0.7557374742628414,True
21|48,991,False,False,False,False,False,1.9367509048078742,True
21|64,843,False,False,False,False,False,1.4021437028338828,True
4|64,664,False,False,False,False,False,1.450534904517031,True
10|9,768,False,False,False,False,False,1.4495238559215422,True
35|9,1266,False,False,False,False,False,1.1631193668576216,True
35|48,1790,False,False,False,False,False,1.6625150465705745,True
21|9,469,False,False,False,False,False,1.6627495818851512,True
29|36,305,False,False,False,False,False,0.7190160410581261,True
29|55,468,False,False,False,False,False,0.5824380356053978,True
5|67,834,False,False,False,False,False,0.8431634961633785,True
10|64,574,False,False,False,False,False,1.6097512302963815,True
66|67,742,False,False,False,False,False,0.8316008094913363,True
66|46,579,False,False,False,False,False,0.7947257025706927,True
21|48,988,False,False,False,False,False,1.6296804032319134,True
21|64,846,False,False,False,False,False,1.383071134754398,True
4|64,663,False,False,False,False,False,1.3850249788254085,True
10|9,766,False,False,False,False,False,1.4460815721799671,True
35|9,1267,False,False,False,False,False,1.2662881135210915,True
35|48,1791,False,False,False,False,False,1.547166660435112,True
21|9,469,False,False,False,False,False,1.6108938374446036,True
29|36,304,False,False,False,False,False,0.698184766906455,True
29|55,468,False,False,False,False,False,0.5732250086642504,True
5|67,833,False,False,False,False,False,0.8712174236465795,True
10|64,576,False,False,False,False,False,1.546339376856316,True
66|67,745,False,False,False,False,False,0.8040507853580544,True
66|46,578,False,False,False,False,False,0.8023116714179575,True
21|48,988,False,False,False,False,False,1.9586541821246133,True
21|64,851,False,False,False,False,False,1.4255407436166552,True
4|64,667,False,False,False,False,False,1.414341426525522,True
10|9,765,False,False,False,False,False,1.4864545917046907,True
35|9,1262,False,False,False,False,False,1.2145243068000051,True
35|48,1794,False,False,False,False,False,1.637970949073831,True
21|9,470,False,False,False,False,False,1.6687662592201609,True
29|36,302,False,False,False,False,False,0.7280555187217946,True
29|55,467,False,False,False,False,False,0.5773745516224236,True
5|67,832,False,False,False,False,False,0.8560728344487494,True
10|64,575,False,False,False,False,False,1.5203504161161332,True
66|67,740,False,False,False,False,False,0.7865293784272424,True
66|46,582,False,False,False,False,False,0.7503497546332466,True
21|48,991,False,False,False,False,False,1.7468156874115899,True
21|64,846,False,False,False,False,False,1.42547383174912,True
4|64,666,False,False,False,False,False,1.4073235610116717,True
10|9,768,False,False,False,False,False,1.4544290647390068,True
35|9,1264,False,False,False,False,False,1.2194044419736796,True
35|48,1790,False,False,False,False,False,1.6758482225037452,True
21|9,465,False,False,False,False,False,1.6515840793953362,True
29|36,302,False,False,False,False,False,0.5912148198236498,True
29|55,468,False,False,False,False,False,0.5350894801636594,True
5|67,832,False,False,False,False,False,0.8401305666545615,True
