route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
61|95,317,False,False,False,False,False,1.0570392895900027,True
61|42,315,False,False,False,False,False,0.9210428740129402,True
117|120,325,False,False,False,False,False,0.8850392484587302,True
40|42,202,False,False,False,False,False,0.4453037425891315,True
40|10,358,False,False,False,False,False,0.9537104702711167,True
34|112,306,False,False,False,False,False,1.0282907439974531,True
11|10,120,False,False,False,False,True,0.1814585844055072,False
11|3,293,False,False,False,False,False,0.7564615605806491,True
5|41,180,False,False,False,False,True,0.8734165628121022,False
97|95,361,False,False,False,False,False,1.0641248828821024,True
119|37,443,False,False,False,False,False,0.9303344008267891,True
119|103,499,False,False,False,False,False,0.9414808010172759,True
22|105,506,False,False,False,False,False,0.7440043838160791,True
22|26,681,False,False,False,False,False,0.8710783304832836,True
22|76,935,False,False,False,False,False,0.554193466917633,True
16|103,169,False,False,False,True,False,1.8651455495586178,False
16|111,433,False,False,False,False,False,1.0319482453488158,True
96|26,421,False,False,False,False,False,0.8434457276851051,True
96|76,675,False,False,False,False,False,0.6046662039660388,True
58|111,315,False,False,False,False,False,0.8162878171088591,True
31|120,442,False,False,False,False,False,1.4216747835760257,True
31|112,526,False,False,False,False,False,1.538665341506126,True
117|112,403,False,False,False,False,False,1.1712480074238096,True
117|41,509,False,False,False,False,False,1.651410657612979,True
34|41,405,False,False,False,False,False,1.4584630581294251,True
34|43,421,False,False,False,False,False,1.4821936781144154,True
5|43,358,False,False,False,False,False,1.581569925450824,True
5|120,500,False,False,False,False,False,1.7830009369064739,True
73|74,133,False,False,False,False,True,0.7259708989953425,False
73|37,118,False,False,False,False,True,0.4767852845281181,False
15|94,696,False,False,False,False,False,0.9786637115942862,True
15|105,284,False,False,False,False,True,0.6945840448125709,False
15|26,926,False,False,False,False,False,0.8446476838426963,True
55|94,862,False,False,False,False,False,0.7357520124722624,True
55|105,502,False,False,False,False,True,0.2699586985818931,False
96|94,970,False,False,False,False,False,0.5590530360832336,True
58|74,572,False,False,False,False,False,1.0196724353618456,True
55|76,570,False,False,False,False,False,0.7567186727628616,True
31|43,304,False,False,False,False,False,0.9426655985852891,True
61|95,310,False,False,False,False,False,1.094227484798692,True
61|42,315,False,False,False,False,False,0.9872862628926564,True
117|120,328,False,False,False,False,False,0.8731663588877778,True
40|42,202,False,False,False,False,False,0.40536669277316395,True
40|10,358,False,False,False,False,False,0.9417518195570938,True
34|112,304,False,False,False,False,False,1.0112813008070793,True
11|10,116,False,False,False,False,True,0.16118542804790664,False
11|3,293,False,False,False,False,False,0.8220315466144923,True
5|41,182,False,False,False,False,True,0.9141342004045437,False
97|95,361,False,False,False,False,False,1.0535120389864858,True
119|37,444,False,False,False,False,False,0.8992582538601345,True
119|103,499,False,False,False,False,False,0.926340904183178,True
22|105,508,False,False,False,False,False,0.7351734750588271,True
22|26,679,False,False,False,False,False,0.8249349318977884,True
22|76,933,False,False,False,False,False,0.5248933075103406,True
16|103,166,False,False,False,True,False,1.8118759601078307,False
16|111,437,False,False,False,False,False,1.025670629445372,True
96|26,419,False,False,False,False,False,0.9119654002551498,True
96|76,681,False,False,False,False,False,0.5673989451242303,True
58|111,316,False,False,False,False,False,0.8615035842755946,True
31|120,445,False,False,False,False,False,1.4665838352676328,True
31|112,525,False,False,False,False,False,1.4766284623695534,True
117|112,406,False,False,False,False,False,1.1892423904496712,True
117|41,509,False,False,False,False,False,1.6019002155587883,True
34|41,402,False,False,False,False,False,1.5188636396471271,True
34|43,421,False,False,False,False,False,1.456276597674403,True
5|43,359,False,False,False,False,False,1.6463389956078258,True
5|120,501,False,False,False,False,False,1.7652610584671906,True
73|74,127,False,False,False,False,True,0.6178601628639008,False
73|37,121,False,False,False,False,True,0.5267512865705188,False
15|94,699,False,False,False,False,False,0.9472425802929089,True
15|105,751,False,False,False,False,False,0.6526505906550893,True
15|26,335,False,False,False,False,True,0.6558184495163707,False
55|94,861,False,False,False,False,False,0.7312793470456931,True
55|105,460,False,False,False,False,True,0.2721642060576309,False
96|94,968,False,False,False,False,False,0.6017115898945496,True
58|74,577,False,False,False,False,False,1.0137942271763927,True
55|76,571,False,False,False,False,False,0.7623489087760564,True
31|43,202,False,False,False,False,True,0.47530137706985726,False
61|95,308,False,False,False,False,False,1.1289352059290039,True
61|42,304,False,False,False,False,False,1.0516253237288948,True
117|120,329,False,False,False,False,False,0.9173840914977638,True
40|42,202,False,False,False,False,False,0.4354779631772149,True
40|10,358,False,False,False,False,False,0.926031094980792,True
34|112,299,False,False,False,False,False,0.9543257704160193,True
11|10,223,False,False,False,False,False,0.7603710117270969,True
11|3,296,False,False,False,False,False,0.793246144755816,True
5|41,184,False,False,False,False,True,0.906408511146345,False
97|95,362,False,False,False,False,False,1.0793618210500213,True
119|37,445,False,False,False,False,False,0.9599553127451459,True
119|103,500,False,False,False,False,False,0.9013692656054804,True
22|105,508,False,False,False,False,False,0.717902868203074,True
22|26,683,False,False,False,False,False,0.857808936960288,True
22|76,934,False,False,False,False,False,0.5321660571369718,True
16|103,171,False,False,False,True,False,1.88547724415425,False
16|111,435,False,False,False,False,False,1.0235279651171858,True
96|26,422,False,False,False,False,False,0.8177923655164412,True
96|76,677,False,False,False,False,False,0.5835959522839032,True
58|111,315,False,False,False,False,False,0.8586676012197137,True
31|120,442,False,False,False,False,False,1.420668822530139,True
31|112,524,False,False,False,False,False,1.4951637989582278,True
117|112,406,False,False,False,False,False,1.1917117955797651,True
117|41,506,False,False,False,False,False,1.624127569214967,True
34|41,403,False,False,False,False,False,1.481423295674729,True
34|43,419,False,False,False,False,False,1.4612720423181347,True
5|43,359,False,False,False,False,False,1.6820471036951492,True
5|120,502,False,False,False,False,False,1.7570924532773557,True
73|74,137,False,False,False,False,True,0.7800869763102953,False
73|37,117,False,False,False,False,True,0.4744064408918398,False
15|94,696,False,False,False,False,False,0.9914894409393591,True
15|105,281,False,False,False,False,True,0.708346558088902,False
15|26,330,False,False,False,False,True,0.6460304162417495,False
55|94,856,False,False,False,False,False,0.7398105645173935,True
55|105,472,False,False,False,False,True,0.25806182989810716,False
96|94,969,False,False,False,False,False,0.5801522387057254,True
58|74,576,False,False,False,False,False,1.023483750863158,True
55|76,567,False,False,False,False,False,0.7313158912553811,True
31|43,207,False,False,False,False,True,0.5147354813097279,False
61|95,310,False,False,False,False,False,1.061166784137892,True
61|42,315,False,False,False,False,False,0.9024992245516896,True
117|120,324,False,False,False,False,False,0.9021411436334842,True
40|42,201,False,False,False,False,False,0.46700090964439117,True
40|10,357,False,False,False,False,False,0.9571980052071045,True
34|112,304,False,False,False,False,False,0.9960119479885289,True
11|10,119,False,False,False,False,True,0.17228553857276457,False
11|3,292,False,False,False,False,False,0.7626783464970465,True
5|41,177,False,False,False,False,True,0.9123545709414314,False
97|95,361,False,False,False,False,False,1.0949097440614097,True
119|37,441,False,False,False,False,False,0.8527260300485253,True
119|103,499,False,False,False,False,False,0.9286867307994096,True
22|105,507,False,False,False,False,False,0.7387236980327722,True
22|26,680,False,False,False,False,False,0.9176427837417088,True
22|76,936,False,False,False,False,False,0.5211535851026645,True
16|103,166,False,False,False,True,False,1.6966930159590663,False
16|111,434,False,False,False,False,False,1.0256524894503487,True
96|26,422,False,False,False,False,False,0.8107450875302377,True
96|76,679,False,False,False,False,False,0.5888682851408127,True
58|111,316,False,False,False,False,False,0.838054360346094,True
31|120,439,False,False,False,False,False,1.412937197043207,True
31|112,528,False,False,False,False,False,1.497389947942006,True
117|112,409,False,False,False,False,False,1.19072174102231,True
117|41,509,False,False,False,False,False,1.6879396658597117,True
34|41,404,False,False,False,False,False,1.5042224871899252,True
34|43,423,False,False,False,False,False,1.4992673383902333,True
5|43,358,False,False,False,False,False,1.6129959327355357,True
5|120,499,False,False,False,False,False,1.8194351446651689,True
73|74,129,False,False,False,False,True,0.678664239935136,False
73|37,117,False,False,False,False,True,0.4773148564543731,False
15|94,694,False,False,False,False,False,1.0033835815015613,True
15|105,753,False,False,False,False,False,0.6456760082199166,True
15|26,317,False,False,False,False,True,0.6492031923150786,False
55|94,858,False,False,False,False,False,0.7542791729061029,True
55|105,481,False,False,False,False,True,0.25191863286658633,False
96|94,971,False,False,False,False,False,0.6142237757426535,True
58|74,579,False,False,False,False,False,1.0133214867848859,True
55|76,569,False,False,False,False,False,0.7569185297523194,True
31|43,207,False,False,False,False,True,0.4852416409652352,False
61|95,308,False,False,False,False,False,1.1083842131953474,True
61|42,310,False,False,False,False,False,1.004433319301091,True
117|120,327,False,False,False,False,False,0.8904962191963972,True
