route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
29|36,310,False,False,False,False,False,1.1003393171693092,True
29|55,470,False,False,False,False,False,0.842039240225283,True
5|67,831,False,False,False,False,False,1.2044757218481101,True
10|64,591,False,False,False,False,False,1.2902826656368096,True
66|67,745,False,False,False,False,False,1.1822337366421116,True
66|46,581,False,False,False,False,False,1.084770679454189,True
21|48,1038,False,False,False,False,False,1.1595371905000624,True
21|64,212,False,False,False,False,True,0.3672265582583418,False
4|64,670,False,False,False,False,False,1.1777049845424319,True
10|9,765,False,False,False,False,False,1.1704181953168715,True
35|9,1277,False,False,False,False,False,0.8398099983263089,True
35|48,1839,False,False,False,False,False,1.035588462765095,True
21|9,472,False,False,False,False,False,1.3057763137299665,True
29|36,306,False,False,False,False,False,0.9870246264461593,True
29|55,469,False,False,False,False,False,0.8969617460672042,True
5|67,835,False,False,False,False,False,1.2441260061900352,True
10|64,590,False,False,False,False,False,1.2853477953741321,True
66|67,740,False,False,False,False,False,1.1212052668255976,True
66|46,585,False,False,False,False,False,1.043677967363642,True
21|48,1043,False,False,False,False,False,1.1757554838356907,True
21|64,231,False,False,False,False,True,0.3979090328602839,False
4|64,673,False,False,False,False,False,1.1647181594896223,True
10|9,769,False,False,False,False,False,1.1749332075479388,True
35|9,1267,False,False,False,False,False,0.8403377278461384,True
35|48,886,False,False,False,False,True,0.5248647128009636,False
21|9,472,False,False,False,False,False,1.319006498439572,True
29|36,300,False,False,False,False,False,1.0045874892894713,True
29|55,470,False,False,False,False,False,0.8526112220925746,True
5|67,836,False,False,False,False,False,1.2349968886221403,True
10|64,259,False,False,False,False,True,0.6684958920170578,False
66|67,738,False,False,False,False,False,1.135007158841339,True
66|46,583,False,False,False,False,False,1.0554732732532568,True
21|48,1044,False,False,False,False,False,1.1357589891876494,True
21|64,216,False,False,False,False,True,0.3968041613816628,False
4|64,672,False,False,False,False,False,1.2182856388474677,True
10|9,769,False,False,False,False,False,1.168562204201619,True
35|9,1271,False,False,False,False,False,0.8380644322742367,True
35|48,884,False,False,False,False,True,0.5205965933362414,False
21|9,472,False,False,False,False,False,1.2882969966023865,True
29|36,305,False,False,False,False,False,0.9869506338134684,True
29|55,471,False,False,False,False,False,0.9172846942850257,True
5|67,834,False,False,False,False,False,1.212571840155149,True
10|64,252,False,False,False,False,True,0.6484538041207658,False
66|67,739,False,False,False,False,False,1.1536285380312878,True
66|46,582,False,False,False,False,False,1.0761339379725259,True
21|48,1037,False,False,False,False,False,1.15253560028363,True
21|64,218,False,False,False,False,True,0.3965808024114169,False
4|64,674,False,False,False,False,False,1.1933047564108925,True
10|9,768,False,False,False,False,False,1.1888054696627022,True
35|9,1274,False,False,False,False,False,0.7799372707638029,True
35|48,890,False,False,False,False,True,0.5632955706727065,False
21|9,470,False,False,False,False,False,1.3308634443933696,True
29|36,305,False,False,False,False,False,0.954320058093845,True
29|55,471,False,False,False,False,False,0.8669472454597006,True
5|67,835,False,False,False,False,False,1.2493468222421906,True
10|64,253,False,False,False,False,True,0.7075499748234219,False
66|67,740,False,False,False,False,False,1.1376761483621023,True
66|46,582,False,False,False,False,False,1.0409813567003452,True
21|48,1041,False,False,False,False,False,1.1714195023376386,True
21|64,212,False,False,False,False,True,0.37029214495028484,False
4|64,672,False,False,False,False,False,1.2724330523048615,True
10|9,768,False,False,False,False,False,1.1748768595096086,True
35|9,1273,False,False,False,False,False,0.8028739961674706,True
35|48,875,False,False,False,False,True,0.4537510163626538,False
21|9,471,False,False,False,False,False,1.3651522667952118,True
29|36,305,False,False,False,False,False,1.0255243939291074,True
29|55,467,False,False,False,False,False,0.8511692766065407,True
5|67,831,False,False,False,False,False,1.2055003624028011,True
10|64,588,False,False,False,False,False,1.2670288719012077,True
66|67,741,False,False,False,False,False,1.1689926710192873,True
66|46,582,False,False,False,False,False,1.0419943476666207,True
21|48,1036,False,False,False,False,False,1.1563854990982698,True
21|64,221,False,False,False,False,True,0.3876638285937571,False
4|64,671,False,False,False,False,False,1.1911800571485474,True
10|9,764,False,False,False,False,False,1.1805106028426433,True
35|9,1273,False,False,False,False,False,0.8983705269429623,True
35|48,884,False,False,False,False,True,0.5297606290633152,False
21|9,472,False,False,False,False,False,1.31803697034353,True
29|36,306,False,False,False,False,False,0.9849726829902293,True
29|55,471,False,False,False,False,False,0.9202724103318095,True
5|67,833,False,False,False,False,False,1.219522545238917,True
10|64,255,False,False,False,False,True,0.6749243432070889,False
66|67,740,False,False,False,False,False,1.1650636272881971,True
66|46,581,False,False,False,False,False,1.0181819748137337,True
21|48,1037,False,False,False,False,False,1.208143205223144,True
21|64,219,False,False,False,False,True,0.40222046063271477,False
4|64,669,False,False,False,False,False,1.2113391043259272,True
10|9,769,False,False,False,False,False,1.1656979624912913,True
35|9,1274,False,False,False,False,False,0.7965648493518426,True
35|48,884,False,False,False,False,True,0.5522115746905097,False
21|9,473,False,False,False,False,False,1.307934808475771,True
29|36,307,False,False,False,False,False,0.9590957735451103,True
29|55,467,False,False,False,False,False,0.8784022065064988,True
5|67,831,False,False,False,False,False,1.1986002245788565,True
10|64,257,False,False,False,False,True,0.6956918068036888,False
66|67,737,False,False,False,False,False,1.1471729890243452,True
66|46,582,False,False,False,False,False,1.057155173167389,True
21|48,1039,False,False,False,False,False,1.1418597112595084,True
21|64,231,False,False,False,False,True,0.39193786414518345,False
4|64,669,False,False,False,False,False,1.1642437897607287,True
10|9,769,False,False,False,False,False,1.191380850279455,True
35|9,1272,False,False,False,False,False,0.7791773562140151,True
35|48,882,False,False,False,False,True,0.45013590874321247,False
21|9,471,False,False,False,False,False,1.2987936964397815,True
29|36,303,False,False,False,False,False,0.922300211260168,True
29|55,470,False,False,False,False,False,0.889510939832785,True
5|67,832,False,False,False,False,False,1.2408988073971547,True
10|64,589,False,False,False,False,False,1.281222457278729,True
66|67,740,False,False,False,False,False,1.1931320229011348,True
66|46,583,False,False,False,False,False,1.0518222071477747,True
21|48,1041,False,False,False,False,False,1.1302483075299545,True
21|64,220,False,False,False,False,True,0.3701587327201993,False
4|64,667,False,False,False,False,False,1.1934755904519312,True
10|9,767,False,False,False,False,False,1.1805153241524544,True
35|9,1272,False,False,False,False,False,0.8446018317743448,True
35|48,892,False,False,False,False,True,0.5218004080490748,False
21|9,469,False,False,False,False,False,1.3639467076079546,True
29|36,306,False,False,False,False,False,0.9484995361067914,True
29|55,468,False,False,False,False,False,0.8943544569037233,True
5|67,831,False,False,False,False,False,1.169014638692112,True
10|64,255,False,False,False,False,True,0.6993438610626631,False
66|67,738,False,False,False,False,False,1.1609346962591431,True
66|46,583,False,False,False,False,False,1.0259073445776357,True
21|48,1036,False,False,False,False,False,1.1909349307383605,True
21|64,216,False,False,False,False,True,0.4068376516392124,False
4|64,666,False,False,False,False,False,1.1862952230682229,True
10|9,766,False,False,False,False,False,1.1849308204578122,True
35|9,1271,False,False,False,False,False,0.7856811537692654,True
35|48,878,False,False,False,False,True,0.5027711846946853,False
21|9,475,False,False,False,False,False,1.2916191314090752,True
29|36,306,False,False,False,False,False,0.9340506619214338,True
29|55,467,False,False,False,False,False,0.8769628978929365,True
5|67,834,False,False,False,False,False,1.2227215208017477,True
10|64,261,False,False,False,False,True,0.6850785793223105,False
66|67,738,False,False,False,False,False,1.1808752567424488,True
66|46,582,False,False,False,False,False,1.0605798152739754,True
21|48,1042,False,False,False,False,False,1.1363491961062617,True
21|64,226,False,False,False,False,True,0.35881787505419016,False
4|64,672,False,False,False,False,False,1.202506213114074,True
10|9,768,False,False,False,False,False,1.1766422491840023,True
35|9,1270,False,False,False,False,False,0.8496629268091526,True
35|48,878,False,False,False,False,True,0.5122847071838292,False
21|9,472,False,False,False,False,False,1.305210994553501,True
29|36,305,False,False,False,False,False,0.9621183022351245,True
29|55,467,False,False,False,False,False,0.8893424900002205,True
5|67,833,False,False,False,False,False,1.2255983768424599,True
10|64,262,False,False,False,False,True,0.6802921882512186,False
66|67,737,False,False,False,False,False,1.1596472654991885,True
66|46,582,False,False,False,False,False,1.0528088483020606,True
21|48,1041,False,False,False,False,False,1.1552948249030868,True
21|64,221,False,False,False,False,True,0.3956939319898118,False
4|64,671,False,False,False,False,False,1.1942080943890276,True
10|9,767,False,False,False,False,False,1.1724171630708133,True
35|9,1272,False,False,False,False,False,0.8322801164394291,True
35|48,885,False,False,False,False,True,0.5114121181674207,False
21|9,469,False,False,False,False,False,1.328144650964682,True
29|36,304,False,False,False,False,False,0.9809736462020575,True
29|55,467,False,False,False,False,False,0.8867503175747576,True
5|67,833,False,False,False,False,False,1.1956029111819741,True
10|64,590,False,False,False,False,False,1.2726706509480783,True
66|67,738,False,False,False,False,False,1.142453556793702,True
66|46,583,False,False,False,False,False,1.0396429041468263,True
21|48,1040,False,False,False,False,False,1.1257258613499963,True
21|64,214,False,False,False,False,True,0.3693990233507596,False
4|64,172,False,False,False,False,True,0.21644251201390544,False
10|9,759,False,False,False,False,False,1.18721736147524,True
35|9,1272,False,False,False,False,False,0.8504941965628549,True
35|48,882,False,False,False,False,True,0.48095866119221714,False
21|9,473,False,False,False,False,False,1.322052696649557,True
29|36,304,False,False,False,False,False,0.9309650898119257,True
29|55,470,False,False,False,False,False,0.9161283738068138,True
5|67,832,False,False,False,False,False,1.1974165033664834,True
10|64,588,False,False,False,False,False,1.244838591309012,True
66|67,740,False,False,False,False,False,1.1370895691279639,True
66|46,579,False,False,False,False,False,1.0465110691196124,True
21|48,1039,False,False,False,False,False,1.1795043992827254,True
21|64,214,False,False,False,False,True,0.4058813116447295,False
4|64,670,False,False,False,False,False,1.1771750319733885,True
10|9,765,False,False,False,False,False,1.185152576227952,True
35|9,1274,False,False,False,False,False,0.8894142233756182,True
35|48,883,False,False,False,False,True,0.4927252576970302,False
21|9,471,False,False,False,False,False,1.3130491963517446,True
29|36,307,False,False,False,False,False,1.0109610837574998,True
29|55,471,False,False,False,False,False,0.8798631242132213,True
5|67,831,False,False,False,False,False,1.231068392075318,True
10|64,594,False,False,False,False,False,1.265818295769535,True
66|67,743,False,False,False,False,False,1.1744590112748414,True
66|46,581,False,False,False,False,False,1.016406256236644,True
21|48,1041,False,False,False,False,False,1.1607600806593674,True
21|64,222,False,False,False,False,True,0.3899125712417532,False
4|64,672,False,False,False,False,False,1.173929209606077,True
10|9,767,False,False,False,False,False,1.1777819127044826,True
35|9,1270,False,False,False,False,False,0.816109057735066,True
35|48,890,False,False,False,False,True,0.5601896290318402,False
21|9,472,False,False,False,False,False,1.337572619297383,True
29|36,304,False,False,False,False,False,0.978274261175001,True
29|55,466,False,False,False,False,False,0.9164954603332113,True
5|67,832,False,False,False,False,False,1.217942030211312,True
10|64,592,False,False,False,False,False,1.2329977688481495,True
66|67,743,False,False,False,False,False,1.1619244474219736,True
66|46,579,False,False,False,False,False,1.065126209536114,True
21|48,1045,False,False,False,False,False,1.151585383709061,True
21|64,220,False,False,False,False,True,0.39349039196531116,False
4|64,667,False,False,False,False,False,1.2094119881799292,True
10|9,767,False,False,False,False,False,1.1704347633981749,True
35|9,1275,False,False,False,False,False,0.7903449870309642,True
35|48,890,False,False,False,False,True,0.5446767279722589,False
21|9,470,False,False,False,False,False,1.3331927441687552,True
29|36,308,False,False,False,False,False,1.0200710353119558,True
29|55,470,False,False,False,False,False,0.8620029792255448,True
5|67,832,False,False,False,False,False,1.2137475636983728,True
10|64,589,False,False,False,False,False,1.2524164010231695,True
66|67,742,False,False,False,False,False,1.1409706882218686,True
66|46,584,False,False,False,False,False,1.0473051533864117,True
