route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
28|17,492,False,False,False,False,False,1.4794815945603945,True
64|2,262,False,False,False,False,False,0.8679259073142223,True
35|59,458,False,False,False,False,False,0.3377301312699415,True
4|14,224,False,False,False,False,True,0.6069554937497809,False
18|67,586,False,False,False,False,False,1.3312822498997705,True
4|14,227,False,False,False,False,True,0.6011540649164814,False
28|46,242,False,False,False,False,True,0.6105007877875921,False
26|14,722,False,False,False,False,False,1.2254758422186693,True
18|17,228,False,False,False,False,True,0.7528044580275026,False
4|3,309,False,False,False,False,False,1.097832690107509,True
28|17,483,False,False,False,False,False,1.4476873419839849,True
26|3,623,False,False,False,False,True,0.7450473950981074,False
12|67,675,False,False,False,False,False,1.225239558785447,True
26|3,616,False,False,False,False,True,0.7769754745273785,False
35|59,455,False,False,False,False,False,0.3094683320426453,True
4|3,314,False,False,False,False,False,1.0607907481823406,True
28|46,235,False,False,False,False,True,0.544720406018462,False
26|3,609,False,False,False,False,True,0.7219866500381332,False
69|50,564,False,False,False,False,False,0.4602281651645986,True
64|2,263,False,False,False,False,False,0.8608450570743663,True
12|67,677,False,False,False,False,False,1.2072979132075958,True
26|3,622,False,False,False,False,True,0.7552355265823653,False
28|67,213,False,False,False,False,True,0.6492815318851319,False
26|14,719,False,False,False,False,False,1.2077783195828782,True
69|50,564,False,False,False,False,False,0.46853617109818413,True
4|14,229,False,False,False,False,True,0.6033565415909145,False
18|67,590,False,False,False,False,False,1.3354951894363607,True
4|14,225,False,False,False,False,True,0.6028444893397276,False
35|59,454,False,False,False,False,False,0.3407602019111274,True
26|3,614,False,False,False,False,True,0.7499284711765138,False
18|67,592,False,False,False,False,False,1.3291632100361526,True
64|2,262,False,False,False,False,False,0.8631044527530307,True
12|67,671,False,False,False,False,False,1.2477076066215727,True
27|66,678,False,False,False,False,False,0.4907387767502085,True
35|41,289,False,False,False,False,False,0.5872694653901188,True
27|66,673,False,False,False,False,False,0.4768026471395909,True
18|17,230,False,False,False,False,True,0.7362351380551702,False
26|3,614,False,False,False,False,True,0.752458586408306,False
18|17,235,False,False,False,False,True,0.7238738551857571,False
4|63,236,False,False,False,False,True,0.515489355722252,False
35|41,284,False,False,False,False,False,0.6016456086383721,True
4|14,226,False,False,False,False,True,0.6226483735227695,False
28|67,206,False,False,False,False,True,0.6656423702839559,False
26|14,719,False,False,False,False,False,1.2216157474594933,True
18|67,590,False,False,False,False,False,1.347122733765941,True
26|63,607,False,False,False,False,True,0.7901208389487604,False
12|67,679,False,False,False,False,False,1.2349094900435593,True
4|63,227,False,False,False,False,True,0.5421820871684286,False
12|67,674,False,False,False,False,False,1.1998510551001693,True
26|14,719,False,False,False,False,False,1.1879271745490363,True
35|41,286,False,False,False,False,False,0.6023265134790448,True
64|2,263,False,False,False,False,False,0.8941833735416461,True
35|59,459,False,False,False,False,False,0.32290984657136346,True
4|14,227,False,False,False,False,True,0.5902492427852072,False
69|50,561,False,False,False,False,False,0.44538678575700447,True
26|3,614,False,False,False,False,True,0.7722562880862525,False
35|59,454,False,False,False,False,False,0.33073922547198215,True
26|3,620,False,False,False,False,True,0.717574556419524,False
18|67,591,False,False,False,False,False,1.3206790537050477,True
26|14,724,False,False,False,False,False,1.1973024733374749,True
69|50,566,False,False,False,False,False,0.45946737854321384,True
4|63,227,False,False,False,False,True,0.5383722567392275,False
28|67,213,False,False,False,False,True,0.6396930048196726,False
27|66,672,False,False,False,False,False,0.49094526214676437,True
18|17,238,False,False,False,False,True,0.7186278889720196,False
26|14,723,False,False,False,False,False,1.2267346850984637,True
35|59,457,False,False,False,False,False,0.34930880772494316,True
26|63,614,False,False,False,False,True,0.7994392456440277,False
28|17,486,False,False,False,False,False,1.4514840643582265,True
27|66,672,False,False,False,False,False,0.48763687756805046,True
28|46,238,False,False,False,False,True,0.5405433741654061,False
26|63,598,False,False,False,False,True,0.7729293420693127,False
35|41,284,False,False,False,False,False,0.5957918320184638,True
4|3,311,False,False,False,False,False,1.0878035238614485,True
12|67,675,False,False,False,False,False,1.2341485981193625,True
4|3,314,False,False,False,False,False,1.0744412235304803,True
18|17,234,False,False,False,False,True,0.730442205674934,False
27|66,673,False,False,False,False,False,0.4792900605033257,True
28|67,214,False,False,False,False,True,0.619486313870727,False
26|14,719,False,False,False,False,False,1.1873796783505985,True
18|17,235,False,False,False,False,True,0.7569793554240046,False
26|3,608,False,False,False,False,True,0.7263343033043618,False
28|46,242,False,False,False,False,True,0.5468375023184815,False
26|3,613,False,False,False,False,True,0.7552203671794797,False
35|59,456,False,False,False,False,False,0.342095930101883,True
27|66,674,False,False,False,False,False,0.5028507569300227,True
28|67,211,False,False,False,False,True,0.6562919474160619,False
4|63,237,False,False,False,False,True,0.5059153761907821,False
28|46,240,False,False,False,False,True,0.5905387379687674,False
64|2,258,False,False,False,False,False,0.8770376101658657,True
18|17,778,False,False,False,False,False,1.300740219188042,True
