route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
24|35,218,False,False,False,False,False,0.9772317277198735,True
32|4,653,False,False,False,False,False,1.4656348089743552,True
32|31,489,False,False,False,False,False,1.3311274588248307,True
20|7,573,False,False,False,False,False,1.3976352438655766,True
1|4,478,False,False,False,False,False,1.072192579614313,True
1|2,686,False,False,False,False,False,1.4155045103283046,True
32|31,488,False,False,False,False,False,1.344045083908054,True
19|6,305,False,False,False,False,False,0.9447236542840776,True
32|4,653,False,False,False,False,False,1.4668303112890029,True
1|7,511,False,False,False,False,False,1.2466852763844491,True
24|35,218,False,False,False,False,False,0.9919829995883348,True
8|35,310,False,False,False,False,False,1.4597082828664807,True
0|26,225,False,False,False,False,False,0.9651843240123605,True
8|35,249,False,False,False,False,True,1.802291303216421,False
32|2,423,False,False,False,False,False,1.106681037071057,True
1|4,475,False,False,False,False,False,1.0913172184300677,True
24|6,348,False,False,False,False,True,0.7722556754119385,False
1|2,688,False,False,False,False,False,1.4302665185300614,True
19|26,357,False,False,False,False,False,1.317014134986965,True
20|31,373,False,False,False,False,False,1.0760998751583102,True
0|26,225,False,False,False,False,False,0.9398949430771125,True
8|35,310,False,False,False,False,False,1.4340386637670717,True
20|31,371,False,False,False,False,False,1.0475317922142462,True
32|2,277,False,False,False,False,True,0.6676138055201865,False
24|35,215,False,False,False,False,False,0.9457880028871615,True
1|7,510,False,False,False,False,False,1.2467349151331086,True
8|14,301,False,False,False,False,False,0.9762194256913573,True
24|6,408,False,False,False,False,False,0.7248946164703236,True
8|14,301,False,False,False,False,False,0.9367398656963617,True
8|35,310,False,False,False,False,False,1.426525293536168,True
1|7,509,False,False,False,False,False,1.2473585470506312,True
32|4,655,False,False,False,False,False,1.4680724181698146,True
1|7,511,False,False,False,False,False,1.227341383246721,True
19|26,271,False,False,False,False,True,1.7501305148121302,False
1|2,686,False,False,False,False,False,1.4038947961151529,True
1|7,513,False,False,False,False,False,1.2370581287214042,True
24|35,217,False,False,False,False,False,0.9910786382013087,True
20|31,373,False,False,False,False,False,1.0875383020215907,True
0|14,400,False,False,False,False,False,0.9735560714922831,True
0|26,225,False,False,False,False,False,0.9514009872822067,True
1|2,685,False,False,False,False,False,1.4087153279780562,True
19|26,356,False,False,False,False,False,1.3127021338232006,True
32|2,425,False,False,False,False,False,1.1054364638558565,True
20|7,573,False,False,False,False,False,1.4128514992832875,True
8|14,302,False,False,False,False,False,0.9779587032921697,True
19|26,357,False,False,False,False,False,1.3749483831842757,True
24|35,218,False,False,False,False,False,0.9807597080217328,True
20|7,573,False,False,False,False,False,1.4168379493490717,True
1|7,512,False,False,False,False,False,1.263070693396287,True
8|35,309,False,False,False,False,False,1.415173413996584,True
32|2,276,False,False,False,False,True,0.6831483546589532,False
19|26,356,False,False,False,False,False,1.3197538596911125,True
32|4,653,False,False,False,False,False,1.4568086731355272,True
32|2,274,False,False,False,False,True,0.6977597414675681,False
32|2,424,False,False,False,False,False,1.0991650719817985,True
20|31,372,False,False,False,False,False,1.0944877603973653,True
1|7,512,False,False,False,False,False,1.2296473086069684,True
0|14,399,False,False,False,False,False,0.9812449392751884,True
8|14,301,False,False,False,False,False,0.9361758568280697,True
24|35,218,False,False,False,False,False,0.9789233505089819,True
0|26,225,False,False,False,False,False,0.9581106444795638,True
1|7,511,False,False,False,False,False,1.2567549207093665,True
19|26,355,False,False,False,False,False,1.3582722445383282,True
20|7,574,False,False,False,False,False,1.416516537288394,True
32|2,424,False,False,False,False,False,1.1100814185902068,True
0|14,401,False,False,False,False,False,0.9489341015920947,True
20|7,573,False,False,False,False,False,1.424577658606358,True
