route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
1|2,685,False,False,False,False,False,1.401996594577773,True
20|31,369,False,False,False,False,False,0.9926473457611533,True
32|31,481,False,False,False,False,False,1.3095965111452776,True
32|31,483,False,False,False,False,False,1.3514809900253526,True
8|35,310,False,False,False,False,False,1.3847128711616203,True
20|31,272,False,False,False,False,True,0.6081548416889824,False
24|6,406,False,False,False,False,False,0.7419171733858921,True
8|14,303,False,False,False,False,False,1.0788312629335441,True
24|6,408,False,False,False,False,False,0.7069856311024518,True
24|35,219,False,False,False,False,False,0.8814269726060783,True
0|14,399,False,False,False,False,False,1.0034010738974917,True
8|14,303,False,False,False,False,False,1.0875940292488846,True
8|14,302,False,False,False,False,False,1.0783271969322208,True
0|14,401,False,False,False,False,False,1.057591929752717,True
19|26,352,False,False,False,False,False,1.278168316931983,True
32|4,648,False,False,False,False,False,1.4505637048254794,True
24|35,218,False,False,False,False,False,0.8607707714615839,True
32|2,421,False,False,False,False,False,1.0907048332554277,True
24|35,218,False,False,False,False,False,0.873805937785158,True
20|31,368,False,False,False,False,False,1.024773340890512,True
8|35,311,False,False,False,False,False,1.3255230685151302,True
19|26,353,False,False,False,False,False,1.2232828924359933,True
24|35,219,False,False,False,False,False,0.8645696211071333,True
19|6,305,False,False,False,False,False,0.9944068254045672,True
8|14,302,False,False,False,False,False,1.0823666290192522,True
0|14,400,False,False,False,False,False,0.9624696996015623,True
0|14,401,False,False,False,False,False,1.0451611409182,True
24|35,217,False,False,False,False,False,0.8593839144311403,True
20|31,366,False,False,False,False,False,0.9996987965011722,True
32|4,648,False,False,False,False,False,1.4433059106161643,True
19|6,304,False,False,False,False,False,0.9600618519931268,True
0|26,225,False,False,False,False,False,0.8579349564340744,True
8|35,312,False,False,False,False,False,1.287543524459294,True
32|2,268,False,False,False,False,True,0.6950693667492255,False
32|2,274,False,False,False,False,True,0.7291104754120273,False
32|31,483,False,False,False,False,False,1.3249151152204084,True
24|6,407,False,False,False,False,False,0.742208414627198,True
1|7,506,False,False,False,False,False,1.2623909146496777,True
8|35,313,False,False,False,False,False,1.3021338573253973,True
32|31,483,False,False,False,False,False,1.3477351081135158,True
19|6,304,False,False,False,False,False,0.9694481483696783,True
1|7,504,False,False,False,False,False,1.2253235399366829,True
0|26,225,False,False,False,False,False,0.8501376592949759,True
32|4,645,False,False,False,False,False,1.43156402603547,True
1|7,506,False,False,False,False,False,1.2224081335004926,True
8|14,300,False,False,False,False,False,1.0838946110867986,True
8|35,313,False,False,False,False,False,1.2425272461915209,True
8|14,302,False,False,False,False,False,1.1006220591745568,True
24|6,407,False,False,False,False,False,0.7313210570621436,True
20|31,280,False,False,False,False,True,0.6471761308827021,False
19|6,305,False,False,False,False,False,0.9905030289398147,True
19|6,304,False,False,False,False,False,0.9597735230443324,True
1|4,310,False,False,False,False,True,0.6336935436992295,False
8|14,302,False,False,False,False,False,1.07057211845434,True
32|4,648,False,False,False,False,False,1.453470357841322,True
19|26,355,False,False,False,False,False,1.2478053788574077,True
19|6,306,False,False,False,False,False,0.9731897550669523,True
24|6,407,False,False,False,False,False,0.7547365171477239,True
24|6,409,False,False,False,False,False,0.7084562907389205,True
24|35,220,False,False,False,False,False,0.8699145000554777,True
8|14,300,False,False,False,False,False,1.0751390434120158,True
19|26,354,False,False,False,False,False,1.26186351079337,True
1|7,508,False,False,False,False,False,1.228386703507558,True
0|26,226,False,False,False,False,False,0.8682084650776544,True
32|31,482,False,False,False,False,False,1.3418278049760257,True
1|4,305,False,False,False,False,True,0.6140766951784334,False
