route,timesteps,collision_truck,collision_trailer,timeout,completed
61|95,304,False,False,False,True
73|74,397,False,False,False,True
5|41,186,False,False,False,False
58|74,561,False,False,False,True
40|42,193,False,False,False,True
34|43,418,False,False,False,True
11|10,223,False,False,False,True
31|112,521,False,False,False,True
31|43,296,False,False,False,True
15|94,712,False,False,False,True
96|26,424,False,False,False,True
117|41,513,False,False,False,True
16|103,231,False,False,False,True
73|74,393,False,False,False,True
58|111,305,False,False,False,True
73|74,391,False,False,False,True
40|42,189,False,False,False,True
55|76,561,False,False,False,True
22|26,668,False,False,False,True
117|112,405,False,False,False,True
97|95,358,False,False,False,True
31|112,523,False,False,False,True
5|41,187,False,False,False,False
117|112,397,False,False,False,True
22|76,931,False,False,False,True
58|74,567,False,False,False,True
97|95,360,False,False,False,True
117|41,513,False,False,False,True
22|105,496,False,False,False,True
55|105,486,False,False,False,False
16|111,434,False,False,False,True
15|26,315,False,False,False,False
22|76,930,False,False,False,True
5|120,508,False,False,False,True
5|41,185,False,False,False,False
31|112,514,False,False,False,True
5|41,187,False,False,False,False
117|112,398,False,False,False,True
96|26,423,False,False,False,True
58|74,566,False,False,False,True
119|37,441,False,False,False,True
117|112,405,False,False,False,True
61|42,303,False,False,False,True
31|120,444,False,False,False,True
96|26,424,False,False,False,True
15|94,716,False,False,False,True
61|42,305,False,False,False,True
34|43,422,False,False,False,True
61|95,294,False,False,False,True
55|105,497,False,False,False,False
31|43,300,False,False,False,True
55|94,861,False,False,False,True
5|41,188,False,False,False,False
117|41,511,False,False,False,True
61|95,292,False,False,False,True
15|26,312,False,False,False,False
22|76,925,False,False,False,True
34|41,406,False,False,False,True
11|10,220,False,False,False,True
5|43,353,False,False,False,True
16|111,433,False,False,False,True
117|112,404,False,False,False,True
31|43,300,False,False,False,True
15|26,318,False,False,False,False
16|103,230,False,False,False,True
15|105,403,False,False,False,False
40|10,349,False,False,False,True
73|74,396,False,False,False,True
96|76,667,False,False,False,True
15|26,321,False,False,False,False
96|26,424,False,False,False,True
15|105,417,False,False,False,False
61|95,297,False,False,False,True
117|41,510,False,False,False,True
58|111,308,False,False,False,True
31|120,449,False,False,False,True
96|26,422,False,False,False,True
55|94,865,False,False,False,True
22|26,676,False,False,False,True
5|120,506,False,False,False,True
22|26,673,False,False,False,True
31|112,525,False,False,False,True
40|42,192,False,False,False,True
34|43,416,False,False,False,True
61|95,296,False,False,False,True
73|37,715,False,False,False,True
97|95,360,False,False,False,True
15|94,710,False,False,False,True
61|95,293,False,False,False,True
34|41,404,False,False,False,True
96|76,674,False,False,False,True
