route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
26|63,1131,False,False,False,False,False,0.45837893826239273,True
35|59,461,False,False,False,False,False,0.6162040395198436,True
4|3,305,False,False,False,False,False,0.7353086368623628,True
18|67,235,False,False,False,False,True,0.5607177890145603,False
26|63,1130,False,False,False,False,False,0.4755006936803093,True
69|50,574,False,False,False,False,False,0.706708674648245,True
4|14,427,False,False,False,False,True,0.31365137114805003,False
28|46,228,False,False,False,False,True,0.42860799500658797,False
4|14,406,False,False,False,False,True,0.33486056468589787,False
12|67,664,False,False,False,False,False,0.6182821700821639,True
4|3,305,False,False,False,False,False,0.7343863979088027,True
18|17,768,False,False,False,False,False,0.8429682972830058,True
64|2,264,False,False,False,False,False,1.273308195771451,True
35|41,284,False,False,False,False,False,0.9960500908618983,True
26|14,715,False,False,False,False,False,0.46591236875633407,True
35|59,461,False,False,False,False,False,0.6228278656936641,True
26|14,712,False,False,False,False,False,0.4738462420661378,True
35|59,462,False,False,False,False,False,0.6062941632250259,True
26|3,906,False,False,False,False,False,0.5370361088232226,True
35|59,461,False,False,False,False,False,0.6364446940007744,True
4|63,529,False,False,False,False,False,0.571263819925411,True
35|41,284,False,False,False,False,False,0.9625101053081592,True
26|14,709,False,False,False,False,False,0.5355419574182593,True
28|67,229,False,False,False,False,True,0.46934796518359145,False
26|63,1129,False,False,False,False,False,0.4645854337449449,True
18|67,234,False,False,False,False,True,0.5589076566816499,False
26|3,899,False,False,False,False,False,0.5385177032668964,True
28|46,225,False,False,False,False,True,0.41260691295622015,False
26|3,905,False,False,False,False,False,0.5435708029112303,True
12|67,664,False,False,False,False,False,0.6217522786047149,True
64|2,265,False,False,False,False,False,1.2722327812770748,True
35|41,284,False,False,False,False,False,0.9924371077716669,True
64|2,264,False,False,False,False,False,1.2520250271791624,True
18|67,235,False,False,False,False,True,0.5458165406698715,False
64|2,263,False,False,False,False,False,1.277288402210163,True
12|67,664,False,False,False,False,False,0.6345219082189035,True
4|3,305,False,False,False,False,False,0.75007606218956,True
28|46,229,False,False,False,False,True,0.38946882181458425,False
64|2,263,False,False,False,False,False,1.2826477435642247,True
12|67,663,False,False,False,False,False,0.6304790156446287,True
64|2,264,False,False,False,False,False,1.2464425416056588,True
35|59,462,False,False,False,False,False,0.6132550668735074,True
4|14,745,False,False,False,False,False,0.5170121705289871,True
69|50,572,False,False,False,False,False,0.7310653528768123,True
64|2,264,False,False,False,False,False,1.2647885904029057,True
28|67,223,False,False,False,False,True,0.45666634143530477,False
4|3,303,False,False,False,False,False,0.7350985647114037,True
12|67,663,False,False,False,False,False,0.631089991951355,True
4|14,426,False,False,False,False,True,0.3108073585554693,False
12|67,664,False,False,False,False,False,0.6214104763739006,True
26|14,712,False,False,False,False,False,0.5048878561264762,True
35|59,463,False,False,False,False,False,0.6195282076898444,True
4|3,305,False,False,False,False,False,0.7618106635509179,True
18|67,234,False,False,False,False,True,0.5674429097176623,False
27|66,673,False,False,False,False,False,0.8661199212314976,True
69|50,574,False,False,False,False,False,0.7349924643608516,True
27|66,674,False,False,False,False,False,0.8693912001734846,True
12|67,665,False,False,False,False,False,0.6262450258739508,True
4|63,528,False,False,False,False,False,0.5589977873054548,True
12|67,663,False,False,False,False,False,0.612028360735545,True
4|3,305,False,False,False,False,False,0.7548124334104717,True
28|67,234,False,False,False,False,True,0.46476837575004243,False
4|14,408,False,False,False,False,True,0.3184966500992322,False
12|67,664,False,False,False,False,False,0.6312150158027998,True
64|2,264,False,False,False,False,False,1.2517772334762614,True
12|67,663,False,False,False,False,False,0.6095206166570877,True
