route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
8|14,302,False,False,False,False,False,1.4340311596593893,True
19|6,305,False,False,False,False,False,1.3399389940705158,True
19|26,364,False,False,False,False,False,0.8105489652419658,True
32|4,650,False,False,False,False,False,1.1639577073857035,True
20|31,249,False,False,False,False,True,0.5151664819644988,False
1|4,285,False,False,False,False,True,0.5603142880759155,False
32|31,476,False,False,False,False,False,1.1146774372620256,True
0|14,404,False,False,False,False,False,0.8263088756675008,True
1|2,685,False,False,False,False,False,1.122512768776052,True
1|7,503,False,False,False,False,False,1.0952145451671151,True
20|7,571,False,False,False,False,False,1.295781885046631,True
8|35,318,False,False,False,False,False,1.0447258549896195,True
24|6,413,False,False,False,False,False,0.7096117938532585,True
20|31,250,False,False,False,False,True,0.4715030037095504,False
19|26,362,False,False,False,False,False,0.8670232348022503,True
8|14,299,False,False,False,False,False,1.4374710988190473,True
20|31,249,False,False,False,False,True,0.5031478617880815,False
1|4,284,False,False,False,False,True,0.5417388160442432,False
0|14,405,False,False,False,False,False,0.8009614588119355,True
32|4,651,False,False,False,False,False,1.1914375196067848,True
8|35,319,False,False,False,False,False,1.0992674253317574,True
1|7,503,False,False,False,False,False,1.1447997473060447,True
32|31,476,False,False,False,False,False,1.0990420914793155,True
20|31,251,False,False,False,False,True,0.5129384603170881,False
19|26,360,False,False,False,False,False,0.8613650367005258,True
24|35,221,False,False,False,False,False,1.3919798871908733,True
20|7,570,False,False,False,False,False,1.28187076183509,True
1|4,285,False,False,False,False,True,0.517666332893513,False
1|4,285,False,False,False,False,True,0.5382861940841737,False
32|2,246,False,False,False,False,True,0.47401797312735533,False
1|4,284,False,False,False,False,True,0.5323143981704633,False
19|6,306,False,False,False,False,False,1.3510465303021968,True
1|2,684,False,False,False,False,False,1.1458570326635718,True
19|6,307,False,False,False,False,False,1.3129812717347031,True
32|4,650,False,False,False,False,False,1.2023247967292738,True
24|35,222,False,False,False,False,False,1.3735751394055424,True
20|31,244,False,False,False,False,True,0.4969252307791692,False
19|6,303,False,False,False,False,False,1.3573747481417293,True
1|4,284,False,False,False,False,True,0.5361456011762332,False
8|35,318,False,False,False,False,False,1.072581846494504,True
20|7,570,False,False,False,False,False,1.2922671588289392,True
1|7,504,False,False,False,False,False,1.1237621130671194,True
20|31,242,False,False,False,False,True,0.4962331249851037,False
19|26,361,False,False,False,False,False,0.8436422959413963,True
1|4,288,False,False,False,False,True,0.5444971705692782,False
1|7,502,False,False,False,False,False,1.101711296456851,True
1|4,285,False,False,False,False,True,0.5312087500390654,False
8|14,300,False,False,False,False,False,1.4189597557242657,True
32|2,245,False,False,False,False,True,0.47418116995212606,False
32|31,475,False,False,False,False,False,1.105249235583459,True
8|35,317,False,False,False,False,False,1.088182960715794,True
1|7,503,False,False,False,False,False,1.1327657991183102,True
0|14,405,False,False,False,False,False,0.8056215458929896,True
0|14,405,False,False,False,False,False,0.7697572659451561,True
24|35,218,False,False,False,False,False,1.4114519930627327,True
32|4,653,False,False,False,False,False,1.181362056792009,True
0|26,227,False,False,False,False,False,1.1754986723886391,True
8|35,316,False,False,False,False,False,1.0849278913538785,True
19|6,305,False,False,False,False,False,1.3376191998389388,True
8|14,301,False,False,False,False,False,1.4322517594732276,True
20|31,249,False,False,False,False,True,0.48818039968768007,False
0|26,227,False,False,False,False,False,1.18346958140637,True
1|7,501,False,False,False,False,False,1.1064523598758844,True
1|4,286,False,False,False,False,True,0.5198600460432314,False
1|4,287,False,False,False,False,True,0.5255689921873672,False
8|35,322,False,False,False,False,False,1.02662820943375,True
32|31,478,False,False,False,False,False,1.1089345264732824,True
0|26,226,False,False,False,False,False,1.145608262749447,True
1|2,683,False,False,False,False,False,1.150475882397529,True
0|14,404,False,False,False,False,False,0.7873709050201446,True
19|26,363,False,False,False,False,False,0.7513462205206681,True
24|6,414,False,False,False,False,False,0.6812985058367865,True
0|26,225,False,False,False,False,False,1.157626833570785,True
24|35,221,False,False,False,False,False,1.405938310234785,True
1|2,683,False,False,False,False,False,1.1432504795090828,True
19|6,306,False,False,False,False,False,1.3597950935185776,True
20|7,571,False,False,False,False,False,1.3183394870956617,True
32|4,646,False,False,False,False,False,1.2047670589600454,True
0|14,406,False,False,False,False,False,0.7418373645377276,True
8|14,301,False,False,False,False,False,1.4066376652315744,True
0|26,226,False,False,False,False,False,1.1478216667356997,True
24|6,414,False,False,False,False,False,0.6695245457044827,True
32|4,648,False,False,False,False,False,1.16566676418285,True
0|26,227,False,False,False,False,False,1.1374218781733183,True
1|2,686,False,False,False,False,False,1.1550333844266925,True
1|7,502,False,False,False,False,False,1.0969667526214941,True
1|2,688,False,False,False,False,False,1.149357633427546,True
1|2,685,False,False,False,False,False,1.1415442003946021,True
32|2,244,False,False,False,False,True,0.4341453152586719,False
32|31,477,False,False,False,False,False,1.1228516741923293,True
32|4,646,False,False,False,False,False,1.1820458933296052,True
8|35,319,False,False,False,False,False,1.0149963871306635,True
32|2,244,False,False,False,False,True,0.4291980989902052,False
8|35,318,False,False,False,False,False,1.0326012753420295,True
32|2,243,False,False,False,False,True,0.44170035161188065,False
