route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
22|26,678,False,False,False,False,False,0.5342064133122343,True
31|112,525,False,False,False,False,False,1.3017289184231544,True
31|43,199,False,False,False,False,True,0.3766380680154103,False
55|94,865,False,False,False,False,False,0.6199850635142486,True
22|105,495,False,False,False,False,False,0.8445435131446608,True
15|105,750,False,False,False,False,False,0.6970639695132153,True
96|26,412,False,False,False,False,False,0.6309477682291486,True
34|43,418,False,False,False,False,False,1.2764090025741106,True
31|43,200,False,False,False,False,True,0.3687055812469507,False
34|43,413,False,False,False,False,False,1.299474077202587,True
11|3,290,False,False,False,False,False,0.8590752004647094,True
55|94,866,False,False,False,False,False,0.5971623232534276,True
117|120,321,False,False,False,False,False,0.5243388790782816,True
73|37,714,False,False,False,False,False,1.5830415334121586,True
11|3,293,False,False,False,False,False,0.7979265296990561,True
55|76,560,False,False,False,False,False,0.7878027755962425,True
5|41,159,False,False,False,False,True,0.719910547231173,False
117|41,505,False,False,False,False,False,1.2767845165861895,True
16|111,436,False,False,False,False,False,0.8743540559477535,True
34|41,397,False,False,False,False,False,1.015798298028296,True
5|41,163,False,False,False,False,True,0.713144043662882,False
34|43,414,False,False,False,False,False,1.2956977426924994,True
34|112,294,False,False,False,False,False,0.6503506273794001,True
15|26,931,False,False,False,False,False,0.510295225678536,True
22|26,671,False,False,False,False,False,0.5242800470561017,True
31|112,524,False,False,False,False,False,1.2933010468192438,True
119|103,495,False,False,False,False,False,0.8689389667566323,True
34|41,403,False,False,False,False,False,1.0304662487289726,True
61|42,304,False,False,False,False,False,0.7035193893966059,True
5|120,502,False,False,False,False,False,1.3476654958676169,True
16|103,228,False,False,False,False,False,1.6477616500507937,True
96|94,984,False,False,False,False,False,0.5321341938599979,True
40|42,192,False,False,False,False,False,1.1200873370490432,True
117|41,508,False,False,False,False,False,1.2508841084470774,True
40|10,352,False,False,False,False,False,0.6506074222038568,True
34|41,402,False,False,False,False,False,1.0593728898532,True
16|103,229,False,False,False,False,False,1.7652844554986176,True
55|94,867,False,False,False,False,False,0.6242257254139171,True
22|105,495,False,False,False,False,False,0.8218555296094798,True
5|120,505,False,False,False,False,False,1.3469461566077818,True
22|105,497,False,False,False,False,False,0.8320675462465783,True
15|26,929,False,False,False,False,False,0.5194967246188984,True
119|37,437,False,False,False,False,False,1.11412172887242,True
55|76,561,False,False,False,False,False,0.7741308295231302,True
119|103,494,False,False,False,False,False,0.8335830101855476,True
5|120,505,False,False,False,False,False,1.348178008554367,True
5|41,160,False,False,False,False,True,0.7091355434565108,False
55|76,556,False,False,False,False,False,0.7690854636884268,True
16|111,435,False,False,False,False,False,0.8518135046023324,True
55|76,563,False,False,False,False,False,0.7706630865772606,True
31|43,190,False,False,False,False,True,0.35657199861203215,False
117|112,394,False,False,False,False,False,1.053798682944682,True
16|111,436,False,False,False,False,False,0.8271741426769579,True
117|41,515,False,False,False,False,False,1.2776119983467633,True
117|120,320,False,False,False,False,False,0.5239246727096264,True
117|112,396,False,False,False,False,False,0.9894475188972195,True
96|76,673,False,False,False,False,False,0.5920272297952932,True
34|41,400,False,False,False,False,False,1.017330719948068,True
58|111,303,False,False,False,False,False,0.6947159719904843,True
34|43,421,False,False,False,False,False,1.2963702917470645,True
5|41,161,False,False,False,False,True,0.7082431192656105,False
31|112,514,False,False,False,False,False,1.2629312855000843,True
119|37,438,False,False,False,False,False,1.1620857178134205,True
96|94,984,False,False,False,False,False,0.5295529715706346,True
96|26,411,False,False,False,False,False,0.6200090370298202,True
34|43,418,False,False,False,False,False,1.3101130949034543,True
22|76,945,False,False,False,False,False,0.5517862938299444,True
