route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
97|95,368,False,False,False,False,False,0.5701427055076449,True
5|120,517,False,False,False,False,False,1.7102720526518627,True
119|103,500,False,False,False,False,False,0.6444200876612985,True
5|43,371,False,False,False,False,False,1.5937566540681458,True
22|105,509,False,False,False,False,False,0.9717400152016905,True
73|37,726,False,False,False,False,False,1.1408111588943588,True
40|42,196,False,False,False,False,False,0.7135217716428295,True
58|74,579,False,False,False,False,False,0.6440666074453086,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
31|120,458,False,False,False,False,False,1.4148273841335393,True
31|120,458,False,False,False,False,False,1.3976071019274485,True
34|41,420,False,False,False,False,False,1.578956945454918,True
5|43,369,False,False,False,False,False,1.5717261827209135,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
31|112,555,False,False,False,False,False,1.4037449013636139,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
5|120,61,False,False,False,True,False,0.6122026115396889,False
34|43,89,False,False,False,True,False,0.7464692861291856,False
31|112,54,False,False,False,True,False,0.25888761492308165,False
34|43,88,False,False,False,True,False,0.7208164084601533,False
5|43,61,False,False,False,True,False,0.6121297579344295,False
34|43,89,False,False,False,True,False,0.7469449353410621,False
31|120,54,False,False,False,True,False,0.2588875608097912,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
96|76,680,False,False,False,True
31|120,457,False,False,False,True
34|112,313,False,False,False,True
34|41,417,False,False,False,True
61|42,312,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
