route,timesteps,collision_truck,collision_trailer,timeout,completed
97|95,362,False,False,False,True
34|41,400,False,False,False,True
11|10,72,False,False,False,False
5|120,480,False,False,False,True
40|10,93,False,False,False,False
31|120,417,False,False,False,True
40|42,93,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
97|95,91,False,False,False,False
34|41,375,False,False,False,True
61|42,285,False,False,False,True
5|43,345,False,False,False,True
11|10,72,False,False,False,False
34|43,395,False,False,False,True
34|112,288,False,False,False,True
31|120,427,False,False,False,True
31|43,281,False,False,False,True
31|112,486,False,False,False,True
61|95,284,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|3,291,False,False,False,True
117|112,391,False,False,False,True
34|112,292,False,False,False,True
31|112,496,False,False,False,True
11|3,290,False,False,False,True
5|120,502,False,False,False,True
11|3,294,False,False,False,True
5|120,466,False,False,False,True
40|42,92,False,False,False,False
34|43,383,False,False,False,True
5|41,313,False,False,False,True
34|41,384,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|95,272,False,False,False,True
31|120,405,False,False,False,True
61|95,258,False,False,False,True
5|43,340,False,False,False,True
61|95,272,False,False,False,True
31|112,493,False,False,False,True
61|95,272,False,False,False,True
5|43,328,False,False,False,True
117|120,303,False,False,False,True
5|120,475,False,False,False,True
61|95,285,False,False,False,True
34|43,415,False,False,False,True
97|95,98,False,False,False,False
31|112,463,False,False,False,True
5|41,311,False,False,False,True
117|112,389,False,False,False,True
40|42,92,False,False,False,False
34|41,394,False,False,False,True
61|42,294,False,False,False,True
117|41,492,False,False,False,True
34|112,289,False,False,False,True
117|112,389,False,False,False,True
97|95,98,False,False,False,False
5|120,465,False,False,False,True
11|10,72,False,False,False,False
117|41,493,False,False,False,True
97|95,98,False,False,False,False
34|41,392,False,False,False,True
97|95,98,False,False,False,False
5|43,357,False,False,False,True
31|43,282,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|3,296,False,False,False,True
31|112,510,False,False,False,True
61|95,298,False,False,False,True
117|112,358,False,False,False,True
11|3,294,False,False,False,True
31|112,466,False,False,False,True
11|10,70,False,False,False,False
34|41,378,False,False,False,True
97|95,98,False,False,False,False
