route,timesteps,collision_truck,collision_trailer,timeout,completed
61|95,303,False,False,False,True
5|43,333,False,False,False,True
97|95,98,False,False,False,False
5|120,481,False,False,False,True
11|3,293,False,False,False,True
5|120,479,False,False,False,True
11|3,294,False,False,False,True
34|41,376,False,False,False,True
34|112,292,False,False,False,True
117|41,484,False,False,False,True
117|120,298,False,False,False,True
31|120,411,False,False,False,True
34|112,289,False,False,False,True
34|41,388,False,False,False,True
61|95,300,False,False,False,True
34|41,400,False,False,False,True
40|10,93,False,False,False,False
117|41,472,False,False,False,True
61|42,294,False,False,False,True
5|43,327,False,False,False,True
31|43,281,False,False,False,True
34|43,377,False,False,False,True
31|43,280,False,False,False,True
5|120,475,False,False,False,True
97|95,91,False,False,False,False
31|112,489,False,False,False,True
61|95,254,False,False,False,True
34|43,371,False,False,False,True
11|3,292,False,False,False,True
31|112,479,False,False,False,True
11|10,72,False,False,False,False
31|120,405,False,False,False,True
97|95,98,False,False,False,False
5|120,479,False,False,False,True
97|95,98,False,False,False,False
5|120,479,False,False,False,True
117|120,300,False,False,False,True
34|41,396,False,False,False,True
97|95,361,False,False,False,True
5|120,465,False,False,False,True
40|42,92,False,False,False,False
117|112,356,False,False,False,True
61|95,272,False,False,False,True
31|112,488,False,False,False,True
117|120,297,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|3,96,False,False,False,False
34|41,454,False,False,False,True
117|120,372,False,False,False,True
34|43,474,False,False,False,True
11|10,78,False,False,False,False
117|41,572,False,False,False,True
11|10,80,False,False,False,False
117|41,572,False,False,False,True
61|42,347,False,False,False,True
5|43,405,False,False,False,True
5|41,385,False,False,False,True
5|120,562,False,False,False,True
97|95,105,False,False,False,False
34|41,454,False,False,False,True
61|42,343,False,False,False,True
117|41,571,False,False,False,True
11|10,81,False,False,False,False
5|43,405,False,False,False,True
31|43,342,False,False,False,True
117|41,571,False,False,False,True
117|120,373,False,False,False,True
5|120,561,False,False,False,True
11|3,94,False,False,False,False
31|112,584,False,False,False,True
117|120,373,False,False,False,True
31|120,498,False,False,False,True
11|3,96,False,False,False,False
5|43,405,False,False,False,True
11|10,80,False,False,False,False
5|43,406,False,False,False,True
11|3,91,False,False,False,False
117|112,457,False,False,False,True
5|41,384,False,False,False,True
31|120,496,False,False,False,True
117|120,374,False,False,False,True
117|112,456,False,False,False,True
5|41,384,False,False,False,True
117|112,456,False,False,False,True
40|10,101,False,False,False,False
34|41,456,False,False,False,True
97|95,104,False,False,False,False
34|41,455,False,False,False,True
61|95,207,False,False,False,False
117|41,572,False,False,False,True
40|42,105,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|3,312,False,False,False,True
34|43,423,False,False,False,True
34|112,299,False,False,False,True
34|43,416,False,False,False,True
11|3,297,False,False,False,True
117|112,400,False,False,False,True
5|41,335,False,False,False,True
34|43,417,False,False,False,True
117|120,320,False,False,False,True
5|120,494,False,False,False,True
97|95,101,False,False,False,False
34|43,409,False,False,False,True
5|41,334,False,False,False,True
34|41,400,False,False,False,True
117|120,328,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|42,313,False,False,False,True
34|43,421,False,False,False,True
61|95,297,False,False,False,True
5|120,495,False,False,False,True
11|10,73,False,False,False,False
5|43,344,False,False,False,True
34|112,298,False,False,False,True
34|41,397,False,False,False,True
11|3,297,False,False,False,True
34|43,420,False,False,False,True
117|120,327,False,False,False,True
5|43,358,False,False,False,True
61|95,299,False,False,False,True
31|112,519,False,False,False,True
40|42,99,False,False,False,False
34|43,413,False,False,False,True
40|10,103,False,False,False,False
31|112,515,False,False,False,True
40|42,97,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
61|42,306,False,False,False,True
5|43,358,False,False,False,True
117|120,328,False,False,False,True
34|41,402,False,False,False,True
117|120,310,False,False,False,True
117|112,401,False,False,False,True
117|120,328,False,False,False,True
117|41,505,False,False,False,True
34|112,299,False,False,False,True
5|120,498,False,False,False,True
61|42,305,False,False,False,True
117|112,400,False,False,False,True
34|112,300,False,False,False,True
117|112,403,False,False,False,True
97|95,100,False,False,False,False
117|112,388,False,False,False,True
11|3,299,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,326,False,False,False,True
117|41,511,False,False,False,True
31|43,302,False,False,False,True
5|120,507,False,False,False,True
40|10,93,False,False,False,False
34|43,406,False,False,False,True
11|10,72,False,False,False,False
117|112,392,False,False,False,True
5|41,338,False,False,False,True
117|41,504,False,False,False,True
11|10,72,False,False,False,False
31|120,428,False,False,False,True
40|10,97,False,False,False,False
5|43,351,False,False,False,True
117|120,323,False,False,False,True
5|120,500,False,False,False,True
97|95,97,False,False,False,False
31|112,512,False,False,False,True
5|41,337,False,False,False,True
31|112,503,False,False,False,True
31|43,297,False,False,False,True
5|120,500,False,False,False,True
40|10,93,False,False,False,False
117|41,496,False,False,False,True
11|10,71,False,False,False,False
34|43,401,False,False,False,True
117|120,327,False,False,False,True
117|112,405,False,False,False,True
11|3,279,False,False,False,True
5|43,356,False,False,False,True
117|120,325,False,False,False,True
31|120,440,False,False,False,True
11|10,71,False,False,False,False
117|112,387,False,False,False,True
97|95,97,False,False,False,False
5|120,480,False,False,False,True
97|95,104,False,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|10,76,False,False,False,False
31|120,436,False,False,False,True
61|95,298,False,False,False,True
117|112,405,False,False,False,True
11|3,298,False,False,False,True
31|112,512,False,False,False,True
34|112,298,False,False,False,True
31|112,502,False,False,False,True
40|10,95,False,False,False,False
117|41,486,False,False,False,True
31|43,297,False,False,False,True
5|43,353,False,False,False,True
40|10,98,False,False,False,False
34|43,389,False,False,False,True
40|42,96,False,False,False,False
117|41,491,False,False,False,True
11|10,72,False,False,False,False
5|120,482,False,False,False,True
61|42,299,False,False,False,True
31|120,437,False,False,False,True
61|95,289,False,False,False,True
31|112,518,False,False,False,True
40|10,98,False,False,False,False
34|43,407,False,False,False,True
97|95,100,False,False,False,False
31|112,505,False,False,False,True
97|95,93,False,False,False,False
31|112,494,False,False,False,True
11|3,295,False,False,False,True
117|41,505,False,False,False,True
117|120,323,False,False,False,True
31|112,517,False,False,False,True
97|95,350,False,False,False,True
31|112,512,False,False,False,True
11|3,295,False,False,False,True
34|43,413,False,False,False,True
97|95,99,False,False,False,False
31|120,432,False,False,False,True
97|95,97,False,False,False,False
5|120,493,False,False,False,True
40|10,99,False,False,False,False
31|120,428,False,False,False,True
11|3,297,False,False,False,True
34|43,414,False,False,False,True
11|3,298,False,False,False,True
31|120,440,False,False,False,True
117|120,326,False,False,False,True
34|41,396,False,False,False,True
61|42,302,False,False,False,True
117|41,508,False,False,False,True
11|10,72,False,False,False,False
5|120,485,False,False,False,True
97|95,100,False,False,False,False
117|112,386,False,False,False,True
11|3,296,False,False,False,True
31|112,522,False,False,False,True
31|43,301,False,False,False,True
5|120,503,False,False,False,True
40|10,100,False,False,False,False
5|120,484,False,False,False,True
40|10,98,False,False,False,False
34|41,377,False,False,False,True
61|95,299,False,False,False,True
34|43,418,False,False,False,True
11|10,72,False,False,False,False
5|120,486,False,False,False,True
40|10,97,False,False,False,False
117|41,494,False,False,False,True
97|95,97,False,False,False,False
5|120,486,False,False,False,True
61|95,304,False,False,False,True
117|41,505,False,False,False,True
5|41,334,False,False,False,True
5|43,355,False,False,False,True
31|43,298,False,False,False,True
