route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
29|36,316,False,False,False,False,False,0.7416927926126391,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
34|60,447,False,False,False,False,False,0.8118105831419345,True
34|23,296,False,False,False,False,False,0.4870304756439616,True
19|23,838,False,False,False,False,False,0.4569327615374917,True
34|6,720,False,False,False,False,False,0.7858986768163688,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
1|33,442,False,False,False,False,False,0.6352645066052371,True
26|25,438,False,False,False,False,False,0.7925639062212722,True
11|32,168,False,False,False,False,True,0.5497368221859046,False
17|29,206,False,False,False,False,True,0.5867566364909607,False
13|25,329,False,False,False,False,False,0.5476045740760869,True
17|29,250,False,False,False,False,True,0.6578740165235856,True
1|12,633,False,False,False,False,False,0.6659292539392059,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
1|12,694,False,False,False,False,False,0.6846058762285652,True
13|25,318,False,False,False,False,False,0.4994911179689946,True
1|12,608,False,False,False,False,False,0.6728676580513004,True
0|6,379,False,False,False,False,False,0.6217249439555649,True
11|32,148,False,False,False,False,True,0.6143940524896845,False
13|25,338,False,False,False,False,False,0.5491720391356791,True
1|30,357,False,False,False,True,False,0.36254856700027605,False
11|32,148,False,False,False,False,True,0.7045369821066189,False
1|33,501,False,False,False,False,False,0.5224582139449726,True
1|30,442,False,False,False,False,False,0.4346376073547788,True
11|32,160,False,False,False,False,True,0.713545828106977,False
26|12,425,False,False,False,False,False,0.40582994147678175,True
0|6,415,False,False,False,False,False,0.7687689647508212,True
34|33,149,False,False,False,False,True,0.7995150747868646,False
0|19,203,False,False,False,False,True,0.619889259551792,False
26|12,339,False,False,False,False,False,0.4150035542641463,True
34|25,508,False,False,False,False,False,0.9410776335651163,True
0|19,250,False,False,False,False,True,0.6509683715302829,False
34|33,147,False,False,False,False,True,0.9288444240264272,False
1|12,659,False,False,False,False,False,0.7280054619837673,True
17|29,247,False,False,False,False,True,0.5227637290011382,False
0|6,413,False,False,False,False,False,0.8443184229730807,True
13|33,587,False,False,False,False,False,0.9159968077986369,True
11|19,158,False,False,False,False,True,0.6429257313085789,False
26|25,452,False,False,False,False,False,0.7166082313498217,True
1|30,364,False,False,False,True,False,0.49653355885032924,False
1|30,449,False,False,False,False,False,0.36957267344581823,True
1|30,461,False,False,False,False,False,0.4243963127566061,True
1|33,418,False,False,False,False,False,0.693660462533048,True
34|25,478,False,False,False,False,False,0.929979279182414,True
13|25,323,False,False,False,False,False,0.536625102674269,True
17|32,457,False,False,False,False,False,0.5505950511857012,True
34|33,152,False,False,False,False,True,0.9446781512326835,False
26|25,468,False,False,False,False,False,0.6623827536546983,True
34|25,492,False,False,False,False,False,0.9103950254881268,True
1|12,606,False,False,False,False,False,0.7327126351012434,True
34|25,509,False,False,False,False,False,0.8726246993467802,True
34|33,292,False,False,False,False,False,0.7648084606150662,True
11|19,138,False,False,False,False,True,0.6039398921730041,False
26|30,529,False,False,False,False,False,0.6948177761466805,True
1|33,476,False,False,False,False,False,0.6936672861372671,True
26|30,564,False,False,False,True,False,0.7848960368590665,False
26|25,395,False,False,False,False,False,0.7583047927644859,True
13|25,371,False,False,False,False,False,0.4407265542412104,True
13|33,474,False,False,False,False,False,0.8705264198006792,True
34|25,536,False,False,False,False,False,0.9410887597063586,True
34|25,544,False,False,False,False,False,1.0020621899977222,True
1|30,373,False,False,False,True,False,0.38119410207667476,False
13|25,356,False,False,False,False,False,0.4906506577345826,True
0|6,453,False,False,False,False,False,0.65351390368537,True
1|30,469,False,False,False,False,False,0.37314197097456003,True
11|32,142,False,False,False,False,True,0.6730926317895521,False
11|32,177,False,False,False,False,True,0.5912646602410349,False
26|30,494,False,False,False,False,False,0.7649768253860859,True
17|29,240,False,False,False,False,True,0.4867357505371063,False
17|29,203,False,False,False,False,True,0.5640002928223461,False
34|33,258,False,False,False,False,False,0.716519373243187,True
1|12,602,False,False,False,False,False,0.6561257828990208,True
17|32,445,False,False,False,False,False,0.5629276030875884,True
13|25,359,False,False,False,False,False,0.5233742131590634,True
1|12,595,False,False,False,False,False,0.6505760295795637,True
1|30,342,True,False,False,False,False,0.43000709399623854,False
17|29,246,False,False,False,False,False,0.7044222984071633,True
26|12,387,False,False,False,False,False,0.48750146083296436,True
13|25,366,False,False,False,False,False,0.5459384974525571,True
34|25,497,False,False,False,False,True,0.8407606578916176,False
13|33,575,False,False,False,False,False,0.8672284242975913,True
11|19,147,False,False,False,False,True,0.6444930778474668,False
26|25,419,False,False,False,False,False,0.8513640460311761,True
1|33,505,False,False,False,False,False,0.5962341568044217,True
13|33,467,False,False,False,False,False,0.8612162961457714,True
34|33,299,False,False,False,False,False,0.6590661722757114,True
13|33,527,False,False,False,False,False,0.8137969633626501,True
17|29,251,False,False,False,False,True,0.6972698136371631,False
0|6,378,False,False,False,False,False,0.7513702953361825,True
26|12,376,False,False,False,False,False,0.4231174497825248,True
26|25,477,False,False,False,False,False,0.6745518072137785,True
34|25,533,False,False,False,False,False,0.9775325244376439,True
1|33,432,False,False,False,False,False,0.8426851886990194,True
17|32,418,False,False,False,False,False,0.7151285018479704,True
34|25,146,False,False,False,True,False,0.6582434695772957,False
0|19,214,False,False,False,False,True,0.6626746321924631,False
0|6,374,False,False,False,False,False,0.6853374372482317,True
13|25,322,False,False,False,False,False,0.519290974898842,True
34|25,553,False,False,False,False,False,0.9745084592349578,True
1|12,608,False,False,False,False,False,0.6728427503260883,True
26|25,400,False,False,False,False,False,0.8057981013856992,True
1|33,505,False,False,False,False,False,0.6380208554774168,True
0|19,207,False,False,False,False,True,0.6560423997630255,False
26|25,490,False,False,False,False,False,0.5775800238966712,True
17|29,206,False,False,False,False,True,0.5142804403867539,False
34|33,138,False,False,False,False,True,0.7526372244334968,False
0|19,195,False,False,False,False,True,0.6799465542950285,False
17|29,196,False,False,False,False,True,0.5652502108052156,True
26|30,501,False,False,False,True,False,0.80890812427642,False
26|25,426,False,False,False,False,False,0.6612872931162738,True
1|12,615,False,False,False,False,False,0.7099270672097927,True
26|12,472,False,False,False,False,False,0.43161428792398293,True
13|33,466,False,False,False,False,False,0.8648644718327855,True
1|30,407,False,False,False,False,False,0.45805489586060827,True
26|30,455,False,False,False,True,False,0.7805649814866448,False
34|33,215,False,False,False,True,False,1.0531780708134322,False
11|19,142,False,False,False,False,True,0.5499428033395443,False
26|25,402,False,False,False,False,False,0.6641479307838793,True
26|30,632,False,False,False,False,False,0.6931934995240638,True
0|19,231,False,False,False,False,True,0.567397202175575,False
34|25,477,False,False,False,False,False,1.0772923363747022,True
26|12,434,False,False,False,False,False,0.4317649949844458,True
0|19,219,False,False,False,False,False,0.6493295333567222,True
0|6,433,False,False,False,False,False,0.668814863716269,True
13|25,361,False,False,False,False,False,0.47657946801460566,True
34|25,487,False,False,False,False,False,1.0793432970315202,True
13|33,519,False,False,False,False,False,0.8792179927681802,True
1|12,603,False,False,False,False,False,0.6806308530506863,True
26|12,426,False,False,False,False,False,0.39978821272926474,True
26|25,409,False,False,False,False,False,0.6268744483320399,True
11|32,297,False,False,False,False,False,0.8458233860609868,True
11|19,143,False,False,False,False,True,0.5815999790934121,False
1|30,374,False,False,False,True,False,0.4175183703427879,False
1|30,441,False,False,False,False,False,0.3882542033653103,True
1|12,637,False,False,False,False,False,0.7519539378469212,True
