route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
15|14,132,False,False,False,True,False,0.6550798215206713,False
5|6,441,False,False,False,False,False,0.47219488075192123,True
5|0,103,False,False,True,False,False,0.5660097350809579,False
15|14,442,True,False,False,False,False,0.2403532973481748,False
15|9,296,False,True,False,False,False,0.3085875231149464,False
8|9,895,False,False,False,False,False,0.18721761289093355,True
11|12,440,False,False,False,False,False,0.25435373265692224,True
8|10,386,False,False,False,False,False,0.23091995625440428,True
8|14,174,True,False,False,False,False,0.33699070739222026,False
13|10,398,False,False,False,True,False,0.20968003136680535,False
13|9,609,False,False,False,False,False,0.2589482505959961,True
8|12,282,False,False,False,True,False,0.2277076977031261,False
8|14,333,False,False,False,True,False,0.24821539833960754,False
13|14,512,False,False,False,False,False,0.22807470796580606,True
7|2,126,False,False,False,False,True,0.32536864849675046,False
5|0,501,False,False,False,False,False,0.38698865383691106,True
8|9,443,False,True,False,False,False,0.18956919521586296,False
11|12,429,False,False,False,False,False,0.2805132697005604,True
7|6,703,False,False,False,False,False,0.2565571531302337,True
8|12,478,False,False,False,True,False,0.2044083108756614,False
7|2,225,False,False,False,False,True,0.26305235010504746,False
13|9,581,False,False,False,False,False,0.2328109432074315,True
7|0,261,False,True,False,False,False,0.2965328998911777,False
15|9,389,False,False,False,False,False,0.2200352067422023,True
11|9,744,False,False,False,False,False,0.27480000801582083,True
13|10,805,False,False,False,False,False,0.2081801992561463,True
11|14,264,False,False,False,True,False,0.32721170462491594,False
13|10,690,False,False,False,False,False,0.23116296568161077,True
3|4,347,False,False,False,False,False,0.2201974045244196,True
3|4,304,False,False,False,False,True,0.1826743933031007,False
11|10,167,True,False,False,False,False,0.3783551895479018,False
3|4,362,False,False,False,False,False,0.24572996630959473,True
1|2,400,False,False,False,False,False,0.2520112745422501,True
11|14,510,False,False,False,False,False,0.2812326497422481,True
8|10,399,False,False,False,False,False,0.22188441625388605,True
11|12,497,False,False,False,False,False,0.3145664297599009,True
13|14,394,False,False,False,False,False,0.2407960545073065,True
5|0,270,False,False,False,False,True,0.29089139232113104,False
1|4,447,False,False,False,False,False,0.3392411172803287,True
8|9,622,True,False,False,False,False,0.19754726918974166,False
5|4,316,True,False,False,False,False,0.37616256760590583,False
3|4,382,False,False,False,False,False,0.3729381316391411,True
5|2,613,False,False,False,False,False,0.33306154335800764,True
7|4,265,False,False,False,False,True,0.32759484046763804,False
11|9,707,False,False,False,False,False,0.3178060299330675,True
7|6,137,False,False,False,False,True,0.2786449820732312,False
11|12,430,False,False,False,False,False,0.2864312555126806,True
5|2,607,False,False,False,False,False,0.3411936454511959,True
7|4,527,False,False,False,False,False,0.3203201565020808,True
15|14,824,False,False,False,False,False,0.2637379281756781,True
7|0,428,False,False,False,False,False,0.31680059199816873,True
8|9,447,True,False,False,False,False,0.22529016731267348,False
3|2,287,False,False,False,True,False,0.2937072513091518,False
1|4,225,False,False,False,True,False,0.2591493096492951,False
7|4,331,False,False,False,True,False,0.3172580215370085,False
11|14,520,False,False,False,False,False,0.36839186774282173,True
5|4,298,False,False,False,False,True,0.40969370958306345,False
8|12,591,False,False,False,False,False,0.24780521020117013,True
