route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
119|103,253,False,False,True,False,False,0.15908217477854608,False
31|112,287,False,False,False,True,False,3.546537721445596,False
34|112,267,False,False,False,False,False,1.6174955081304558,True
96|94,386,False,False,False,False,False,2.973159860086171,False
16|111,253,False,False,True,False,False,0.2606481918149613,False
96|94,401,False,False,False,True,False,2.5039016815951016,False
96|76,388,False,False,False,False,False,2.545774837497827,False
31|120,266,False,False,False,False,False,2.4732476513650923,False
61|95,253,False,False,True,False,False,0.5731064528759213,False
5|120,253,False,False,True,False,False,0.6577569194175026,False
31|43,258,False,False,False,False,False,1.773542098023215,True
73|37,253,False,False,True,False,False,1.0217975090597105,False
96|26,431,False,False,False,False,False,1.457073746716116,True
31|120,261,False,False,False,False,False,2.470271024684022,False
22|105,290,False,False,False,True,False,1.8270059685483655,False
117|41,348,False,False,False,False,False,1.7927119421398037,False
22|105,305,False,False,False,True,False,1.2943806923747267,False
55|105,280,False,False,False,False,False,2.0417673401887964,False
40|42,253,False,False,True,False,False,0.09122161965502926,False
73|37,253,False,False,True,False,False,1.0217975090597105,False
31|43,270,False,False,False,False,False,1.7289987849914716,True
5|120,461,False,False,False,False,False,1.882085438376928,False
119|103,253,False,False,True,False,False,0.15908217477854608,False
55|94,245,False,False,False,False,False,2.0705209135251446,False
31|43,285,False,False,False,False,False,1.9424925264320445,True
58|74,253,False,False,True,False,False,0.10052239090230239,False
5|41,519,False,False,False,False,False,1.6444189046522342,True
55|76,231,True,False,False,False,False,1.5408578753885505,False
11|10,253,False,False,True,False,False,0.17089391024834164,False
73|74,253,False,False,True,False,False,1.0217975090597105,False
119|103,253,False,False,True,False,False,0.15908217477854608,False
58|74,253,False,False,True,False,False,0.10052239090230239,False
96|76,339,False,False,False,True,False,2.4664973918868998,False
73|74,253,False,False,True,False,False,1.0217975090597105,False
22|105,295,False,False,False,True,False,1.8645493037249323,False
55|105,266,False,False,False,False,False,1.9202580283315986,False
58|111,253,False,False,True,False,False,0.10141081262596283,False
5|43,485,False,False,False,False,False,1.798775294305403,False
119|103,253,False,False,True,False,False,0.15908217477854608,False
5|43,446,False,False,False,False,False,1.8794828741030158,False
16|111,253,False,False,True,False,False,0.2606481918149613,False
5|120,253,False,False,True,False,False,0.6577569194175026,False
97|95,253,False,False,True,False,False,0.29870890974172254,False
31|120,263,False,False,False,False,False,2.3873548519458803,False
61|42,253,False,False,True,False,False,0.5731064528759213,False
96|94,384,False,False,False,False,False,2.9106449114933173,False
16|111,253,False,False,True,False,False,0.2606481918149613,False
117|112,276,False,False,False,True,False,2.866985042606817,False
22|76,292,False,False,False,False,False,1.9981932251055083,False
117|41,384,False,False,False,False,False,1.9489306280599412,False
96|26,389,False,False,False,False,False,1.587390718348572,True
117|41,406,False,False,False,False,False,1.8802703514961916,False
22|105,331,False,False,False,True,False,1.8236590208093906,False
34|41,168,False,False,False,True,False,1.8138527166331213,False
61|95,253,False,False,True,False,False,0.5731064528759213,False
34|41,183,False,False,False,False,False,2.4071783228481594,False
22|105,388,False,False,False,True,False,1.9548477602644063,False
31|120,278,False,False,False,False,False,2.8100538452450903,False
117|120,304,False,False,False,False,False,1.7824414046247299,True
96|94,387,False,False,False,False,False,2.64103811433299,False
96|26,464,False,False,False,False,False,1.621768720820316,True
5|120,460,False,False,False,False,False,1.799997408250309,False
22|105,329,False,False,False,True,False,1.8445033157541846,False
96|94,378,False,False,False,False,False,2.765375013656764,False
5|41,518,False,False,False,False,False,1.5185702770855682,True
117|112,250,False,False,False,True,False,2.3433591884539537,False
40|10,253,False,False,True,False,False,0.09092862709811134,False
117|112,255,False,False,False,True,False,2.0488091918915665,False
96|26,423,False,False,False,False,False,1.7899403739742727,True
31|120,266,False,False,False,False,False,2.4732476513650923,False
11|3,253,False,False,True,False,False,0.17089391024834164,False
55|105,269,False,False,False,False,False,1.8072920802286498,False
40|42,253,False,False,True,False,False,0.09098072326054148,False
15|26,481,False,False,False,False,False,1.6739244017389259,False
40|42,253,False,False,True,False,False,0.09122161965502926,False
5|120,253,False,False,True,False,False,0.6577569194175026,False
