route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
16|103,123,False,False,False,False,True,0.7519252252951121,False
73|37,112,False,False,False,False,True,0.8190558602967379,False
119|37,346,False,False,False,False,False,1.7864248848481554,True
5|120,206,False,False,False,False,False,2.53708365850749,False
119|37,344,False,False,False,False,False,1.7331681534523826,True
34|43,178,False,False,False,False,False,2.973772833725391,False
22|26,536,False,False,False,False,False,2.276061494261134,True
31|112,200,False,False,False,False,True,2.5868215896301314,False
22|26,530,False,False,False,False,False,2.0756774562829476,True
55|105,715,False,False,False,False,False,2.594167200215517,True
61|42,241,False,False,False,False,False,1.21324808523349,True
5|120,206,False,False,False,False,False,2.5461660814668505,False
119|103,384,False,False,False,False,False,1.277317955831128,True
31|120,188,False,False,False,False,False,1.976476521222486,False
16|103,126,False,False,False,False,True,0.7938212578070579,False
55|76,440,False,False,False,False,False,1.743478095876469,True
5|41,268,False,False,False,False,False,1.3753552994323288,True
117|112,247,False,False,False,False,False,4.494887033141181,False
96|76,533,False,False,False,False,False,2.1430786568588376,True
5|43,204,False,False,False,False,False,2.5502101005688576,False
119|103,379,False,False,False,False,False,1.195561094053705,True
58|74,437,False,False,False,False,False,1.4396259366109518,True
11|10,134,False,False,False,False,False,2.3115824721082423,False
34|41,176,False,False,False,False,False,2.6698445704626184,False
119|103,389,False,False,False,False,False,1.0921505725685978,True
15|26,721,False,False,False,False,False,2.5936361214515915,True
119|37,346,False,False,False,False,False,1.7864248848481554,True
58|74,439,False,False,False,False,False,1.4689603177769444,True
117|120,268,False,False,False,False,False,1.6555121612342052,True
34|41,176,False,False,False,False,False,2.6698445704626184,False
16|111,330,False,False,False,False,False,1.8046414683963392,True
31|120,182,False,False,False,False,True,1.8180546397547859,False
16|111,331,False,False,False,False,False,1.6740561589232998,True
55|94,672,False,False,False,False,False,2.0140206725942527,True
61|42,242,False,False,False,False,False,1.1832967732844637,True
34|43,179,False,False,False,False,False,2.9516571260238167,False
22|105,391,False,False,False,False,False,2.0674749172527247,True
58|74,438,False,False,False,False,False,1.4329978967025088,True
119|103,378,False,False,False,False,False,1.3210183974210299,True
55|94,669,False,False,False,False,False,2.0590274620084625,True
11|10,123,False,False,False,True,False,1.7442395614707857,False
55|76,436,False,False,False,False,False,1.7614874213388632,True
97|95,288,False,False,False,False,False,2.1116375430343615,True
5|43,204,False,False,False,False,False,2.5502101005688576,False
117|120,270,False,False,False,False,False,1.6434942709292009,True
117|112,247,False,False,False,False,False,4.494887033141181,False
11|3,240,False,False,False,False,False,0.8146659680636718,True
34|43,175,False,False,False,False,False,2.8110651346132918,False
22|76,340,False,False,False,False,False,2.4505159124232105,False
5|120,206,False,False,False,False,False,2.53708365850749,False
34|112,249,False,False,False,False,False,1.8048392390504433,True
15|26,729,False,False,False,False,False,2.453459433034572,True
11|10,126,False,False,False,True,False,1.8430449515782852,False
5|43,204,False,False,False,False,False,2.5475455333155703,False
16|103,115,False,False,False,False,True,0.5696893417278635,False
