route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
29|36,312,False,False,False,False,False,1.3564580482544693,True
29|55,272,False,False,False,True,False,1.3347665539126041,False
5|67,157,False,False,False,True,False,0.8475838953481458,False
10|64,622,False,False,False,False,False,2.7733839091767156,True
66|67,751,False,False,False,False,False,1.3494599902591509,True
66|46,234,False,False,False,True,False,0.9758039858058615,False
21|48,1069,False,False,False,False,False,2.535589095204068,True
21|64,915,False,False,False,False,False,2.2926841190720744,True
4|64,718,False,False,False,False,False,2.4123306776906706,True
10|9,840,False,False,False,False,False,2.3802175375582046,True
35|9,1326,False,False,False,False,False,2.878386174492144,True
35|48,1874,False,False,False,False,False,2.764183704425114,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
61|95,319,False,False,False,False,False,1.4048669284478164,True
61|42,185,False,False,False,True,False,1.2499061279369732,False
117|120,347,False,False,False,False,False,2.5808044290123036,True
40|42,207,False,False,False,False,False,1.1830513465437495,True
40|10,238,False,False,False,True,False,0.9654649126037643,False
34|112,317,False,False,False,False,False,1.9401894871447967,True
11|10,240,False,False,False,False,False,1.610533737809867,True
11|3,316,False,False,False,False,False,1.0607529038495,True
5|41,358,False,False,False,False,False,2.604713569825601,True
97|95,206,False,False,False,True,False,0.5304674366919246,False
119|37,472,False,False,False,False,False,1.1145431895626925,True
119|103,288,False,False,False,True,False,1.0825800708145394,False
22|105,535,False,False,False,False,False,2.3980360437094785,True
22|26,742,False,False,False,False,False,2.5831830151326507,True
22|76,1027,False,False,False,False,False,2.314878272543528,True
16|103,185,False,False,False,False,False,2.908849432049512,False
