route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
61|95,324,False,False,False,False,False,0.8275889559367534,True
61|42,183,False,False,False,True,False,0.8274732837824825,False
117|120,352,False,False,False,False,False,2.349845782700897,True
40|42,207,False,False,False,False,False,0.9178367961611208,True
40|10,382,False,False,False,False,False,0.7115506421747715,True
34|112,324,False,False,False,False,False,2.082528871292638,True
11|10,243,False,False,False,False,False,1.0289185682499966,True
11|3,193,False,False,False,True,False,0.5725033330484529,False
5|41,367,False,False,False,False,False,2.546755089013564,True
97|95,386,False,False,False,False,False,0.49234269708867573,True
119|37,474,False,False,False,False,False,0.8939695295706646,True
119|103,532,False,False,False,False,False,0.8056806758814493,True
22|105,487,False,False,False,False,True,2.5494519285905604,False
22|26,749,False,False,False,False,False,2.3708242610549366,True
22|76,1042,False,False,False,False,False,2.4137943701686524,True
16|103,151,False,False,False,False,True,1.1371662539687124,False
16|111,468,False,False,False,False,False,0.6285488015637593,True
96|26,460,False,False,False,False,False,2.4834802630626585,True
96|76,752,False,False,False,False,False,2.4844831513484253,True
58|111,335,False,False,False,False,False,0.6517489031108541,True
31|120,471,False,False,False,False,False,2.1854754695801564,True
31|112,546,False,False,False,False,False,1.801203202176619,True
117|112,435,False,False,False,False,False,1.9295154107349688,True
117|41,530,False,False,False,False,False,2.029437252877198,True
34|41,425,False,False,False,False,False,2.0753935811588544,True
34|43,436,False,False,False,False,False,1.9238366415741246,True
5|43,376,False,False,False,False,False,2.309413026959421,True
5|120,526,False,False,False,False,False,2.277073609173501,True
73|74,418,False,False,False,False,False,1.1770168929304292,True
73|37,766,False,False,False,False,False,1.0005162305190913,True
15|94,150,False,False,False,False,True,1.718015306959317,False
15|105,140,False,False,False,False,True,1.896930567979952,False
15|26,143,False,False,False,False,True,1.86830394919576,False
55|94,948,False,False,False,False,False,2.2401649855752703,True
55|105,958,False,False,False,False,True,2.463908368957605,False
96|94,1084,False,False,False,False,False,2.3262682090840836,True
58|74,258,False,False,False,True,False,0.6022108866236944,False
55|76,619,False,False,False,False,False,2.445411596505515,True
31|43,324,False,False,False,False,False,2.024439815344928,True
61|95,325,False,False,False,False,False,0.8200511481992429,True
61|42,185,False,False,False,True,False,0.8740123565769768,False
117|120,353,False,False,False,False,False,2.333840596372991,True
40|42,207,False,False,False,False,False,0.9095297795879471,True
40|10,380,False,False,False,False,False,0.7016482702316518,True
34|112,327,False,False,False,False,False,2.0163714698201236,True
11|10,241,False,False,False,False,False,1.036366224301873,True
11|3,199,False,False,False,True,False,0.5210614573222556,False
5|41,367,False,False,False,False,False,2.531214065125074,True
97|95,386,False,False,False,False,False,0.49153826483198587,True
119|37,473,False,False,False,False,False,0.9001813307406124,True
119|103,534,False,False,False,False,False,0.7999384319718299,True
22|105,484,False,False,False,False,True,2.5215577011568646,False
22|26,751,False,False,False,False,False,2.392960568504911,True
22|76,1045,False,False,False,False,False,2.40929793227911,True
16|103,150,False,False,False,False,True,1.0842622007459786,False
16|111,465,False,False,False,False,False,0.5047284839748368,True
96|26,459,False,False,False,False,False,2.47920064353938,True
96|76,753,False,False,False,False,False,2.466556642677678,True
58|111,335,False,False,False,False,False,0.634106684130231,True
31|120,470,False,False,False,False,False,2.1132461000104046,True
31|112,546,False,False,False,False,False,1.786466185112253,True
117|112,436,False,False,False,False,False,1.933540841229054,True
117|41,527,False,False,False,False,False,2.0001153751787024,True
34|41,426,False,False,False,False,False,2.0757001595803564,True
34|43,437,False,False,False,False,False,1.9135111405315588,True
5|43,376,False,False,False,False,False,2.300119814012793,True
5|120,526,False,False,False,False,False,2.30070483170214,True
73|74,422,False,False,False,False,False,1.1784873812498056,True
73|37,767,False,False,False,False,False,1.004283437406672,True
15|94,150,False,False,False,False,True,1.7250512736480808,False
15|105,141,False,False,False,False,True,1.8847768370501328,False
15|26,145,False,False,False,False,True,1.8701710934878217,False
55|94,951,False,False,False,False,False,2.2704551748174127,True
55|105,963,False,False,False,False,True,2.4142780309335383,False
96|94,1081,False,False,False,False,False,2.3012414515542754,True
58|74,287,False,False,False,True,False,0.6151324170652194,False
55|76,621,False,False,False,False,False,2.477141735280511,True
31|43,322,False,False,False,False,False,2.0547650787752922,True
61|95,324,False,False,False,False,False,0.8185282580167587,True
61|42,327,False,False,False,False,False,0.7625189780881125,True
117|120,353,False,False,False,False,False,2.3329942667533676,True
40|42,208,False,False,False,False,False,0.9287437051963371,True
40|10,380,False,False,False,False,False,0.7045047378859416,True
34|112,325,False,False,False,False,False,2.0976756817155477,True
11|10,241,False,False,False,False,False,1.0630050619986229,True
11|3,201,False,False,False,True,False,0.5277056078037251,False
5|41,368,False,False,False,False,False,2.5568158131723404,True
97|95,386,False,False,False,False,False,0.4815628768670518,True
119|37,472,False,False,False,False,False,0.8860538503665307,True
119|103,532,False,False,False,False,False,0.7820304284661527,True
22|105,481,False,False,False,False,True,2.6184989503247778,False
22|26,751,False,False,False,False,False,2.413422971026369,True
22|76,1043,False,False,False,False,False,2.372418685329791,True
16|103,150,False,False,False,False,True,1.0926086026175899,False
16|111,465,False,False,False,False,False,0.5821805135493441,True
96|26,460,False,False,False,False,False,2.4482284388275817,True
96|76,751,False,False,False,False,False,2.466499844124361,True
58|111,334,False,False,False,False,False,0.6445387883350242,True
