route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
22|76,1006,False,False,False,False,False,0.7310250131256704,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
11|10,235,False,False,False,False,False,0.6088669761630183,0,True
5|120,426,False,False,False,True,False,1.0863995544136438,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|120,429,False,False,False,True,False,1.0986957420349521,0,False
5|120,428,False,False,False,True,False,1.0982416217781477,0,False
5|120,530,False,False,False,False,False,0.9537553434147957,0,True
5|120,529,False,False,False,False,False,0.9408982315956461,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
73|37,122,False,False,False,False,True,0.5664142950126991,0,False
73|37,124,False,False,False,False,True,0.5906086358948154,0,False
73|37,124,False,False,False,False,True,0.5987958941228391,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
15|94,770,False,False,False,False,False,0.5026136522160888,0,True
15|94,767,False,False,False,False,False,0.47350769534255494,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
17|29,230,False,False,False,False,True,0.5710925475578849,0,False
17|32,448,False,False,False,False,False,0.5602431642912058,0,True
13|25,400,False,False,False,False,False,0.45997997859493506,0,True
13|33,608,False,False,False,False,False,0.8856334259130211,0,True
11|32,172,False,False,False,False,True,0.6499532578677438,0,False
11|19,166,False,False,False,False,True,0.5664200970307622,0,False
1|30,505,False,False,False,False,False,0.35794125662186044,0,True
1|33,541,False,False,False,False,False,0.6684997468769652,0,True
1|12,728,False,False,False,False,False,0.7381539456569469,0,True
0|19,233,False,False,False,False,True,0.631246921626879,0,False
0|6,444,False,False,False,False,False,0.5821570132088185,0,True
34|33,168,False,False,False,False,True,0.7666467762347837,0,False
34|25,624,False,False,False,False,False,0.9052901518441712,0,True
26|12,450,False,False,False,False,False,0.37077956058010947,0,True
26|25,509,False,False,False,False,False,0.6480060397278214,0,True
26|30,689,False,False,False,False,False,0.7778489535417737,0,True
17|29,230,False,False,False,False,True,0.5872644408384978,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
17|29,219,False,False,False,False,True,0.6077920635489024,0,False
17|32,438,False,False,False,False,False,0.5741037487189992,0,True
13|25,385,False,False,False,False,False,0.4526199751781299,0,True
13|33,598,False,False,False,False,False,0.912228979544297,0,True
11|32,160,False,False,False,False,True,0.6262039745793015,0,False
11|19,156,False,False,False,False,True,0.602450825179857,0,False
1|30,387,False,False,False,True,False,0.43491212400537715,0,False
1|33,529,False,False,False,False,False,0.671360980219268,0,True
1|12,719,False,False,False,False,False,0.7777009963447845,0,True
0|19,225,False,False,False,False,True,0.6411381852010718,0,False
0|6,153,False,False,False,False,True,0.5174568013610527,0,False
34|33,159,False,False,False,False,True,0.750050234869647,0,False
34|25,616,False,False,False,False,False,0.9709527629379763,0,True
26|12,438,False,False,False,False,False,0.35819449604690146,0,True
26|25,504,False,False,False,False,False,0.68979069854277,0,True
26|30,581,False,False,False,True,False,0.9509729383130858,0,False
17|29,221,False,False,False,False,True,0.5756571315973034,0,False
17|32,433,False,False,False,False,False,0.5572031718132578,0,True
13|25,391,False,False,False,False,False,0.48127952524763534,0,True
