route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
5|67,840,False,False,False,False,False,1.65730653421884,1.6113269387745042,True
10|64,597,False,False,False,False,False,0.39101670617853534,0.42382803086364906,True
66|67,747,False,False,False,False,False,1.7984302793376634,1.5504193264193125,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,228,False,False,False,True,False,0.22055283738767362,0.35188195737241923,False
40|42,200,False,False,False,False,False,0.7442785165243396,0.16829543286293602,True
40|10,363,False,False,False,False,False,1.2416441559069218,0.9663989404623978,True
34|112,310,False,False,False,False,False,0.9747948556207322,0.8152737776975532,True
11|10,232,False,False,False,False,False,1.0751763709784783,0.518997154383201,True
11|3,310,False,False,False,False,False,0.7928781275809897,0.5508400502278193,True
5|41,48,False,False,False,True,False,0.6286645287790732,0.7442214413374608,False
97|95,368,False,False,False,False,False,1.388463549461908,1.2407814901374623,True
119|37,451,False,False,False,False,False,0.7637738810939898,0.4137879406356505,True
119|103,504,False,False,False,False,False,0.7079070760481657,0.605835684987663,True
22|105,507,False,False,False,False,False,0.24942490870041117,0.4045111577143558,True
22|26,675,False,False,False,False,False,0.2853089556670795,0.3033225823456184,True
22|76,941,False,False,False,False,False,0.37483658205450243,0.28649049357611,True
16|103,117,False,False,False,False,True,0.4569359456252695,0.18211009649753965,False
16|111,439,False,False,False,False,False,1.0695066226344045,1.0678032205604435,True
96|26,417,False,False,False,False,False,0.2064776119427987,0.1915836291592492,True
96|76,680,False,False,False,False,False,0.31127567368221326,0.2742510126481142,True
58|111,315,False,False,False,False,False,1.0464511329102135,0.7741420403888951,True
31|120,262,False,False,False,True,False,1.6622643266746113,0.9854622816385449,False
31|112,260,False,False,False,True,False,1.6054061856882325,0.9006650328177132,False
117|112,181,False,False,False,False,True,0.25184335574605515,0.350977129746721,False
117|41,181,False,False,False,False,True,0.16540286840947585,0.3605861339130005,False
34|41,221,False,False,False,True,False,1.2728891046086561,0.6349145672551503,False
34|43,221,False,False,False,True,False,1.0778020112038462,0.5262373540750974,False
5|43,172,False,False,False,False,True,0.3563996257795964,0.49234015279118454,False
5|120,178,False,False,False,False,True,0.3367514085965389,0.5482502294611199,False
73|74,111,False,False,False,False,True,0.5006570935867825,0.37776715136989464,False
73|37,111,False,False,False,False,True,0.5031597005707614,0.3696573833771772,False
15|94,724,False,False,False,False,False,0.3345360931504559,0.44057074279291086,True
15|105,759,False,False,False,False,False,0.3603190121864165,0.4150502743171921,True
15|26,924,False,False,False,False,False,0.40986759891609964,0.3489990088352916,True
