route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
34|6,103,False,False,True,False,False,0.23384714192814415,0,False
19|60,1105,False,False,False,False,False,0.3908453989066652,0,True
19|60,1227,False,False,False,False,False,0.4342684660190436,0,True
19|60,1075,False,False,False,False,False,0.4078246114702864,0,True
34|6,103,False,False,True,False,False,0.23660100254045677,0,False
19|60,1070,False,False,False,False,False,0.40557311665238716,0,True
19|60,1161,False,False,False,False,False,0.4157427901766749,0,True
19|60,1130,False,False,False,False,False,0.44665451185223626,0,True
19|60,1079,False,False,False,False,False,0.43972788661265017,0,True
34|6,103,False,False,True,False,False,0.23694804841805872,0,False
34|6,103,False,False,True,False,False,0.23469091275316606,0,False
34|6,103,False,False,True,False,False,0.23567238164422205,0,False
34|6,730,False,False,False,False,False,0.4310841466320868,0,True
19|60,1087,False,False,False,False,False,0.42373571591698234,0,True
34|6,103,False,False,True,False,False,0.23928195591294593,0,False
19|60,1087,False,False,False,False,False,0.452590831546304,0,True
34|6,103,False,False,True,False,False,0.23625798275534923,0,False
34|6,103,False,False,True,False,False,0.2037115559982428,0,False
34|6,703,False,False,False,False,False,0.47386099384594976,0,True
34|6,103,False,False,True,False,False,0.23442009287255575,0,False
19|60,1173,False,False,False,False,False,0.40241172790120405,0,True
34|6,103,False,False,True,False,False,0.23737105420606722,0,False
19|60,1191,False,False,False,False,False,0.3938627655935444,0,True
19|60,1072,False,False,False,False,False,0.4091905345533422,0,True
