route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
19|60,851,False,False,False,False,False,0.4960579986047491,0,True
19|60,897,False,False,False,False,False,0.4972152325077011,0,True
19|60,803,False,False,False,False,False,0.4978932970908182,0,True
19|60,837,False,False,False,False,False,0.5079696855139516,0,True
19|60,889,False,False,False,False,False,0.48740324860437223,0,True
19|60,935,False,False,False,False,False,0.47096648707257927,0,True
19|60,874,False,False,False,False,False,0.4697489051690645,0,True
19|60,831,False,False,False,False,False,0.48253391760590686,0,True
19|60,829,False,False,False,False,False,0.4805294057031377,0,True
19|60,859,False,False,False,False,False,0.4888930282523546,0,True
19|60,860,False,False,False,False,False,0.519804342755855,0,True
19|60,892,False,False,False,False,False,0.4870413416095625,0,True
19|60,906,False,False,False,False,False,0.46083009272199227,0,True
19|60,838,False,False,False,False,False,0.5223712720374042,0,True
19|60,863,False,False,False,False,False,0.4915180905510689,0,True
19|60,820,False,False,False,False,False,0.46680049705005855,0,True
19|60,912,False,False,False,False,False,0.47416925703984825,0,True
19|60,871,False,False,False,False,False,0.49613859899071083,0,True
19|60,845,False,False,False,False,False,0.4844041391538532,0,True
19|60,829,False,False,False,False,False,0.4872723897709852,0,True
19|60,846,False,False,False,False,False,0.5021408759930547,0,True
19|60,880,False,False,False,False,False,0.4679982433169346,0,True
19|60,877,False,False,False,False,False,0.4783204248911994,0,True
19|60,899,False,False,False,False,False,0.46926018771194683,0,True
19|60,887,False,False,False,False,False,0.49231575753604784,0,True
19|60,815,False,False,False,False,False,0.48727226222343933,0,True
19|60,882,False,False,False,False,False,0.5099681085020763,0,True
19|60,819,False,False,False,False,False,0.5061424638627047,0,True
19|60,818,False,False,False,False,False,0.48666165912003057,0,True
19|60,895,False,False,False,False,False,0.48259060974296625,0,True
19|60,953,False,False,False,False,False,0.48851198935928764,0,True
19|60,869,False,False,False,False,False,0.49543280930445643,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
19|60,873,False,False,False,False,False,0.47920713900543543,0,True
19|60,825,False,False,False,False,False,0.4760886830542308,0,True
19|60,858,False,False,False,False,False,0.46641524485077773,0,True
19|60,890,False,False,False,False,False,0.4707540510687677,0,True
19|60,900,False,False,False,False,False,0.48124729851941445,0,True
19|60,836,False,False,False,False,False,0.4901731009719454,0,True
19|60,866,False,False,False,False,False,0.48604391573947553,0,True
19|60,823,False,False,False,False,False,0.48576925811014454,0,True
19|60,921,False,False,False,False,False,0.50926617632486,0,True
19|60,903,False,False,False,False,False,0.4725564409301802,0,True
19|60,809,False,False,False,False,False,0.49009889086963276,0,True
19|60,907,False,False,False,False,False,0.4839257100496787,0,True
19|60,891,False,False,False,False,False,0.48945872735381735,0,True
19|60,858,False,False,False,False,False,0.49813918638994825,0,True
19|60,872,False,False,False,False,False,0.48153868160482594,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
31|112,174,False,False,False,False,True,0.24506329692646664,0,False
5|120,161,False,False,False,False,True,0.43874791065596935,0,False
31|112,178,False,False,False,False,True,0.30062096354491646,0,False
117|120,179,False,False,False,True,False,0.2978617709549275,0,False
31|112,170,False,False,False,False,True,0.20908690773757665,0,False
117|120,178,False,False,False,True,False,0.30306804137357946,0,False
31|112,182,False,False,False,False,True,0.3301688231868836,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,184,False,False,False,True,False,0.309217462981008,0,False
31|112,180,False,False,False,False,True,0.2842189666157157,0,False
5|120,158,False,False,False,False,True,0.41891068317342905,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
117|120,186,True,False,False,True,False,0.26232353910282197,0,False
117|120,180,False,False,False,True,False,0.2701188674588036,0,False
117|120,179,False,False,False,True,False,0.2996731960425751,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
0|6,335,False,False,False,False,False,0.44279863661296803,0,True
34|25,119,False,False,False,True,False,0.7583574933856114,0,False
1|30,345,False,False,False,False,False,0.28094097071693286,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
26|12,334,False,False,False,False,False,0.2667867894468187,0,True
26|30,298,False,False,False,False,True,0.5260795793143608,0,False
26|30,286,False,False,False,False,True,0.5434563920700428,0,False
34|25,125,False,False,False,True,False,0.8932692956804364,0,False
34|25,120,False,False,False,True,False,0.7806402680467828,0,False
1|30,346,False,False,False,False,False,0.25823862907636735,0,True
0|6,328,False,False,False,False,False,0.48763226346332,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
34|25,385,False,False,False,False,False,0.8143965298076954,0,True
26|30,455,False,False,False,False,False,0.5388713672360065,0,True
1|30,281,False,False,False,True,False,0.3047509331818251,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
17|29,207,False,False,False,False,False,0.5099929655977341,0,True
17|29,203,False,False,False,False,False,0.5132145416501427,0,True
17|29,210,False,False,False,False,False,0.5106869586688034,0,True
17|29,208,False,False,False,False,False,0.5113050731020752,0,True
17|29,213,False,False,False,False,False,0.5247525655004923,0,True
17|29,211,False,False,False,False,False,0.4964672435489119,0,True
17|29,207,False,False,False,False,False,0.5520356990727502,0,True
17|29,212,False,False,False,False,True,0.5081331224817913,0,True
17|29,224,False,False,False,False,False,0.488604254524406,0,True
17|29,215,False,False,False,False,False,0.5175468391159818,0,True
17|29,212,False,False,False,False,False,0.572570054459199,0,True
17|29,212,False,False,False,False,False,0.518003383642225,0,True
17|29,206,False,False,False,False,False,0.5542930821031633,0,True
17|29,208,False,False,False,False,False,0.5750945714866922,0,True
17|29,204,False,False,False,False,False,0.5442436116979789,0,True
17|29,203,False,False,False,False,False,0.5138528208264102,0,True
17|29,203,False,False,False,False,False,0.522285446079785,0,True
17|29,209,False,False,False,False,False,0.5443805133574732,0,True
17|29,208,False,False,False,False,False,0.5163218049693563,0,True
17|29,210,False,False,False,False,False,0.5121489770768068,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
31|112,180,False,False,False,False,True,0.2990901213086183,0,False
31|112,185,False,False,False,False,True,0.33593908517375415,0,False
31|112,184,False,False,False,False,True,0.2544329844303321,0,False
31|112,174,False,False,False,False,True,0.30048610296399986,0,False
31|112,173,False,False,False,False,True,0.2451778597132464,0,False
31|112,180,False,False,False,False,True,0.28755679284246666,0,False
31|112,178,False,False,False,False,True,0.3098264541117243,0,False
31|112,181,False,False,False,False,True,0.2717316101141273,0,False
31|112,189,False,True,False,False,False,0.45017153785283065,0,False
31|112,172,False,False,False,False,True,0.25138678881350884,0,False
31|112,177,False,False,False,False,True,0.3405101811519633,0,False
31|112,166,False,False,False,False,True,0.24120093507759394,0,False
31|112,174,False,False,False,False,True,0.24538219868863587,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
31|112,170,False,False,False,False,True,0.2336662482939562,0,False
31|112,169,False,False,False,False,True,0.2380612022821023,0,False
31|112,174,False,False,False,False,True,0.28776515654847873,0,False
31|112,175,False,False,False,False,True,0.264112662467861,0,False
31|112,188,False,False,False,False,True,0.3285052215592452,0,False
31|112,172,False,False,False,False,True,0.25491044939052654,0,False
31|112,166,False,False,False,False,True,0.26470442228432534,0,False
31|112,176,False,False,False,False,True,0.24183468722432946,0,False
31|112,173,False,False,False,False,True,0.25591328580644784,0,False
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
66|67,573,False,False,False,False,False,0.3934547541620484,0,True
66|67,605,False,False,False,False,False,0.3957027155223951,0,True
66|67,604,False,False,False,False,False,0.3625419666910327,0,True
route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,trailer_distance_to_center_of_lane,completed
1|30,352,False,False,False,False,False,0.26768508125529017,0,True
1|30,274,False,False,False,True,False,0.3396462153365673,0,False
1|30,386,False,False,False,False,False,0.22861905437032226,0,True
1|30,304,False,False,False,True,False,0.3027177556901198,0,False
1|30,364,False,False,False,False,False,0.264222468976076,0,True
